name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,totalCross,duelLost,duelWon,challengeLost,dispossessed,totalContest,onTargetScoringAttempt,goals,totalClearance,totalTackle,wasFouled,fouls,aerialWon,shotOffTarget,outfielderBlock,interceptionWon,totalOffside,aerialLost,blockedScoringAttempt,wonContest,accurateCross,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,clearanceOffLine
Santiago Mele,santiago-mele,S. Mele,G,25,182,610,846421,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,873504000,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. ميلي', 'hi': 'एस. मेले', 'bn': 'এস. মেলে'}}",,,77,False,25.0,22.0,11.0,8.0,0.0,90.0,27.0,6.5,3.0,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,,
Jhomier Guerrero,jhomier-guerrero,J. Guerrero,D,34,170,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400,"{'value': 485000, 'currency': 'EUR'}",,Jhomier Guerrero,,34,False,34.0,29.0,7.0,7.0,0.0,90.0,54.0,7.5,12.0,1.0,"{'original': 7.5, 'alternative': None}",4.0,6.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,Junior Barranquilla,home,,,,,
Christian Javier Báez,christian-javier-baez,C. J. Báez,D,66,180,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200,"{'value': 290000, 'currency': 'EUR'}",,,,66,False,40.0,32.0,13.0,8.0,0.0,90.0,56.0,7.7,9.0,1.0,"{'original': 7.7, 'alternative': None}",,,3.0,,,,1.0,,7.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,Junior Barranquilla,home,,,,,
Daniel Rivera,daniel-rivera,D. Rivera,D,5,184,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000,"{'value': 775000, 'currency': 'EUR'}",,Daniel Rivera,,5,False,49.0,46.0,12.0,11.0,0.0,90.0,53.0,6.7,5.0,,"{'original': 6.7, 'alternative': None}",,3.0,,,1.0,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,Junior Barranquilla,home,,,,,
Edwin Herrera,edwin-herrera,E. Herrera,D,3,170,69,931354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904694400,"{'value': 730000, 'currency': 'EUR'}",,,,3,False,44.0,36.0,7.0,1.0,0.0,90.0,66.0,6.8,13.0,1.0,"{'original': 6.8, 'alternative': None}",2.0,4.0,6.0,,1.0,,,,2.0,2.0,1.0,,3.0,1.0,,2.0,,3.0,1.0,,,,Junior Barranquilla,home,,,,,
Didier Moreno,didier-moreno,D. Moreno,M,6,177,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800,"{'value': 520000, 'currency': 'EUR'}",,,,6,False,47.0,42.0,7.0,5.0,0.0,90.0,56.0,7.4,5.0,,"{'original': 7.4, 'alternative': None}",,1.0,4.0,,,,,,,4.0,,1.0,,,,3.0,,,,,,,Junior Barranquilla,home,,,,,
Yimmi Chará,yimmi-chara,Y. Chará,M,8,169,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",,,8,False,40.0,38.0,5.0,5.0,0.0,75.0,45.0,7.1,3.0,,"{'original': 7.1, 'alternative': None}",,3.0,3.0,1.0,,1.0,,,,2.0,,1.0,,,,1.0,,1.0,,1.0,,,Junior Barranquilla,home,,,,,
Jordan Barrera,jordan-andres-barrera-herrera,J. Barrera,M,7,175,508,1899902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1144713600,"{'value': 235000, 'currency': 'EUR'}",,Jordan Andres,Barrera Herrera,7,False,17.0,14.0,1.0,,1.0,70.0,29.0,7.1,8.0,1.0,"{'original': 7.1, 'alternative': None}",3.0,3.0,4.0,,1.0,2.0,1.0,,,,3.0,,,,,1.0,,1.0,,1.0,1.0,,Junior Barranquilla,home,,,,,
Guillermo Paiva,guillermo-paiva,G. Paiva,F,9,182,391,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000,"{'value': 850000, 'currency': 'EUR'}",,,,9,False,16.0,12.0,3.0,2.0,0.0,75.0,28.0,7.0,10.0,2.0,"{'original': 7, 'alternative': None}",,4.0,2.0,,,2.0,2.0,,,,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,,Junior Barranquilla,home,,,,,
Bryan Castrillón,bryan-castrillon,B. Castrillón,F,88,169,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000,"{'value': 485000, 'currency': 'EUR'}",,,,88,False,13.0,10.0,,,0.0,61.0,33.0,7.4,10.0,3.0,"{'original': 7.4, 'alternative': None}",9.0,1.0,4.0,,,1.0,,,,2.0,2.0,,,1.0,,,,,2.0,,4.0,,Junior Barranquilla,home,,,,,
