name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,totalTackle,wasFouled,fouls,keyPass,challengeLost,interceptionWon,aerialLost,onTargetScoringAttempt,outfielderBlock,blockedScoringAttempt,aerialWon,totalContest,shotOffTarget,dispossessed,goals,penaltyWon,wonContest,totalOffside,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,penaltyConceded
Alejandro Rodríguez,Alejandro Rodríguez,,alejandro-rodriguez,A. Rodríguez,G,38,188.0,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",38,False,23.0,17.0,9.0,3.0,0.0,2.0,1.0,90.0,29.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,,
Fabián Viáfara,,,fabian-viafara,F. Viáfara,D,27,167.0,35,588548,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,700704000,"{'value': 430000, 'currency': 'EUR'}",,27,False,26.0,20.0,5.0,1.0,0.0,1.0,,89.0,40.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",5.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,Deportivo Cali,home,,,
Juan Quintero,,,juan-quintero,Juan Quintero,D,3,183.0,140,589394,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,795916800,"{'value': 670000, 'currency': 'EUR'}",,3,False,43.0,33.0,11.0,4.0,0.0,4.0,,90.0,54.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",,,2.0,3.0,3.0,,1.0,,1.0,2.0,,,,,,,,,,,,,True,Deportivo Cali,home,,,
José Caldera,José Caldera,,jose-caldera,J. Caldera,D,12,185.0,41,1127886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1012780800,"{'value': 470000, 'currency': 'EUR'}",,12,False,47.0,36.0,9.0,4.0,0.0,,,90.0,56.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",,,1.0,3.0,2.0,1.0,1.0,,,,1.0,1.0,3.0,,,,,,,,,,,Deportivo Cali,home,,,
Yulián Gómez,,,yulian-gomez,Y. Gómez,D,26,170.0,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800,"{'value': 440000, 'currency': 'EUR'}",,26,False,34.0,26.0,5.0,1.0,0.0,6.0,,90.0,54.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",1.0,,,3.0,3.0,,,,,,,,,1.0,,,,,,,,,,Deportivo Cali,home,,,
Victor Mejia,,,victor-mejia,V. Mejia,M,6,182.0,20,355878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,728784000,"{'value': 390000, 'currency': 'EUR'}",,6,False,13.0,9.0,4.0,1.0,0.0,2.0,,45.0,20.0,6.3,7.0,"{'original': 6.3, 'alternative': None}",,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,Deportivo Cali,home,,,
Jean Colorado,,,colorado-jean,J. Colorado,M,23,180.0,34,985106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,968630400,"{'value': 485000, 'currency': 'EUR'}",,23,False,37.0,30.0,1.0,1.0,0.0,2.0,,81.0,47.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,2.0,3.0,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,Deportivo Cali,home,,,
Jarlan Barrera,,,jarlan-barrera,J. Barrera,M,7,171.0,286,796511,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,811209600,"{'value': 595000, 'currency': 'EUR'}",,7,False,31.0,18.0,8.0,3.0,0.0,1.0,,90.0,47.0,6.8,22.0,"{'original': 6.8, 'alternative': None}",3.0,1.0,3.0,4.0,1.0,3.0,,4.0,2.0,,,,,,,,,1.0,,,,,,Deportivo Cali,home,,,
Javier Reina,,,javier-reina,J. Reina,M,10,173.0,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200,"{'value': 210000, 'currency': 'EUR'}",,10,False,9.0,7.0,1.0,,0.0,,,45.0,12.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,Deportivo Cali,home,,,
Andrey Estupiñán,,,andrey-estupinan,A. Estupiñán,F,11,175.0,124,944462,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773366400,"{'value': 320000, 'currency': 'EUR'}",,11,False,26.0,16.0,2.0,1.0,0.0,2.0,,90.0,46.0,7.9,15.0,"{'original': 7.9, 'alternative': None}",1.0,,2.0,9.0,2.0,7.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,Deportivo Cali,home,,,
