name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,keyPass,aerialLost,shotOffTarget,outfielderBlock,fouls,wonContest,wasFouled,blockedScoringAttempt,goals,bigChanceCreated,captain,team,teamType,goodHighClaim,totalOffside,bigChanceMissed
Alejandro Rodríguez,Alejandro Rodríguez,,alejandro-rodriguez,A. Rodríguez,G,38,188.0,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600.0,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",38,False,21.0,18.0,10.0,7.0,0.0,2.0,6.0,90.0,30.0,7.6,3.0,"{'original': 7.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,,
Fabián Viáfara,,,fabian-viafara,F. Viáfara,D,27,167.0,35,588548,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,700704000.0,"{'value': 430000, 'currency': 'EUR'}",,27,False,22.0,20.0,3.0,2.0,0.0,,,83.0,55.0,6.4,16.0,"{'original': 6.4, 'alternative': None}",8.0,2.0,2.0,9.0,3.0,3.0,1.0,5.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,Deportivo Cali,home,,,
Juan Quintero,,,juan-quintero,Juan Quintero,D,3,183.0,140,589394,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,795916800.0,"{'value': 670000, 'currency': 'EUR'}",,3,False,46.0,40.0,7.0,5.0,0.0,,,90.0,60.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",,,3.0,3.0,4.0,1.0,,,,5.0,1.0,1.0,,1.0,2.0,1.0,1.0,,,,,,True,Deportivo Cali,home,,,
Guzmán Corujo,,,guzman-corujo,G. Corujo,D,16,189.0,116,874970,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,838944000.0,"{'value': 390000, 'currency': 'EUR'}",,16,False,34.0,27.0,3.0,,0.0,,,90.0,45.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,,,3.0,3.0,1.0,,,,5.0,,3.0,,,,,2.0,,,,,,,Deportivo Cali,home,,,
Yulián Gómez,,,yulian-gomez,Y. Gómez,D,26,170.0,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800.0,"{'value': 440000, 'currency': 'EUR'}",,26,False,24.0,22.0,,,0.0,,,90.0,43.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",1.0,,,5.0,2.0,,,2.0,,2.0,,1.0,1.0,1.0,1.0,,3.0,1.0,,,,,,Deportivo Cali,home,,,
Andrey Estupiñán,,,andrey-estupinan,A. Estupiñán,F,11,175.0,124,944462,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773366400.0,"{'value': 320000, 'currency': 'EUR'}",,11,False,25.0,24.0,1.0,1.0,0.0,,,55.0,33.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,1.0,3.0,5.0,,,2.0,,,,1.0,,1.0,,,1.0,1.0,2.0,,,,,Deportivo Cali,home,,,
Yeison Gordillo,,,yeison-gordillo,Y. Gordillo,M,30,176.0,75,285429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709430400.0,"{'value': 310000, 'currency': 'EUR'}",,30,False,42.0,38.0,1.0,,0.0,,,84.0,53.0,7.3,4.0,"{'original': 7.3, 'alternative': None}",,,,3.0,6.0,,,,,,2.0,5.0,,1.0,,1.0,2.0,,1.0,,,,,Deportivo Cali,home,,,
Jean Colorado,,,colorado-jean,J. Colorado,M,23,180.0,34,985106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,968630400.0,"{'value': 485000, 'currency': 'EUR'}",,23,False,46.0,40.0,2.0,2.0,0.0,,,82.0,56.0,7.0,8.0,"{'original': 7, 'alternative': None}",,,1.0,2.0,5.0,,2.0,,,2.0,,3.0,1.0,,1.0,,,,1.0,,,,,Deportivo Cali,home,,,
Fabián Castillo,,,fabian-castillo,F. Castillo,F,8,172.0,107,151561,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708739200.0,"{'value': 195000, 'currency': 'EUR'}",,8,False,15.0,13.0,1.0,1.0,0.0,,,55.0,27.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",2.0,1.0,,4.0,,,1.0,2.0,,,,,3.0,,,,1.0,,,1.0,,,,Deportivo Cali,home,,,
Jarlan Barrera,,,jarlan-barrera,J. Barrera,M,7,171.0,286,796511,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,811209600.0,"{'value': 595000, 'currency': 'EUR'}",,7,False,44.0,35.0,6.0,4.0,0.0,,,90.0,59.0,7.9,14.0,"{'original': 7.9, 'alternative': None}",3.0,1.0,,2.0,2.0,1.0,,1.0,2.0,1.0,,,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,Deportivo Cali,home,,,
