name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,dispossessed,shotOffTarget,interceptionWon,totalTackle,fouls,aerialLost,outfielderBlock,hitWoodwork,totalContest,wonContest,keyPass,challengeLost,blockedScoringAttempt,bigChanceMissed,bigChanceCreated,onTargetScoringAttempt,totalOffside,captain,team,teamType,goodHighClaim
Santiago Mele,santiago-mele,S. Mele,G,25,182.0,610,846421,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,873504000.0,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. ميلي', 'hi': 'एस. मेले', 'bn': 'এস. মেলে'}}",,,77,False,24.0,12.0,17.0,5.0,0.0,1.0,1.0,1.0,5.0,8.0,1.0,90.0,38.0,8.5,12.0,"{'original': 8.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,True,Junior Barranquilla,home,
Jhon Lerma,jhon-lerma,J. Lerma,D,27,177.0,54,1414729,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041379200.0,"{'value': 315000, 'currency': 'EUR'}",,,,27,False,51.0,41.0,5.0,3.0,0.0,6.0,3.0,1.0,,,,90.0,80.0,7.3,17.0,"{'original': 7.3, 'alternative': None}",4.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,Junior Barranquilla,home,
José Cuenú,jose-cuenu,J. Cuenú,D,4,192.0,28,1098309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792979200.0,"{'value': 495000, 'currency': 'EUR'}",,José Cuenú,,4,False,43.0,32.0,8.0,4.0,0.0,4.0,3.0,,,,,90.0,51.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",1.0,,4.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,Junior Barranquilla,home,
Daniel Rivera,daniel-rivera,D. Rivera,D,5,184.0,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000.0,"{'value': 775000, 'currency': 'EUR'}",,Daniel Rivera,,33,False,41.0,35.0,4.0,2.0,0.0,4.0,3.0,1.0,,,,90.0,53.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",2.0,,3.0,3.0,1.0,1.0,2.0,,2.0,,,1.0,,,,,,,,,,,Junior Barranquilla,home,
Jhomier Guerrero,jhomier-guerrero,J. Guerrero,D,34,170.0,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400.0,"{'value': 485000, 'currency': 'EUR'}",,Jhomier Guerrero,,34,False,42.0,34.0,10.0,6.0,0.0,3.0,2.0,,,,,90.0,67.0,7.6,14.0,"{'original': 7.6, 'alternative': None}",4.0,,1.0,3.0,,1.0,3.0,1.0,2.0,1.0,,,1.0,1.0,2.0,,,,,,,,Junior Barranquilla,home,
Didier Moreno,didier-moreno,D. Moreno,M,6,177.0,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800.0,"{'value': 520000, 'currency': 'EUR'}",,,,6,False,52.0,43.0,9.0,5.0,0.0,8.0,2.0,,,,,90.0,68.0,7.0,13.0,"{'original': 7, 'alternative': None}",,,3.0,7.0,1.0,2.0,1.0,5.0,3.0,1.0,,,1.0,,,1.0,1.0,,,,,,Junior Barranquilla,home,
Harold Rivera,harold-rivera,H. Rivera,M,17,166.0,38,162563,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,732499200.0,"{'value': 380000, 'currency': 'EUR'}",,,,17,False,28.0,27.0,3.0,3.0,0.0,3.0,,2.0,,,,66.0,32.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,1.0,3.0,,,2.0,,1.0,1.0,,,,,,1.0,,,,,,,Junior Barranquilla,home,
José Enamorado,enamorado-jose,J. Enamorado,M,99,167.0,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600.0,"{'value': 1900000, 'currency': 'EUR'}",,,,99,False,16.0,10.0,1.0,1.0,0.0,5.0,2.0,2.0,,,,73.0,30.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",1.0,,1.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,,,2.0,1.0,,,,1.0,,,,,Junior Barranquilla,home,
Yimmi Chará,yimmi-chara,Y. Chará,M,8,169.0,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400.0,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",,,8,False,35.0,32.0,2.0,1.0,0.0,3.0,,,,,,81.0,54.0,7.5,13.0,"{'original': 7.5, 'alternative': None}",4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,1.0,,3.0,1.0,3.0,,,,1.0,1.0,,,Junior Barranquilla,home,
Déiber Caicedo,deiber-caicedo,D. Caicedo,M,20,169.0,315,906010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953942400.0,"{'value': 1500000, 'currency': 'EUR'}",,,,20,False,16.0,10.0,3.0,1.0,0.0,4.0,2.0,2.0,,,,66.0,36.0,6.7,16.0,"{'original': 6.7, 'alternative': None}",5.0,2.0,1.0,4.0,,,,1.0,1.0,,,,3.0,,3.0,,,,,,,,Junior Barranquilla,home,
