name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,shotOffTarget,outfielderBlock,interceptionWon,wasFouled,fouls,challengeLost,totalTackle,keyPass,totalCross,accurateCross,dispossessed,totalContest,totalOffside,wonContest,bigChanceCreated,bigChanceMissed,onTargetScoringAttempt,goals,captain,team,teamType,blockedScoringAttempt
Cristopher Varela,cristopher-varela,C. Varela,G,1,189.0,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800.0,"{'value': 400000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}",,,1,False,43.0,16.0,33.0,6.0,0.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,90.0,58.0,7.6,27.0,"{'original': 7.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Miguel Amaya,miguel-amaya,M. Amaya,,20,,5,2048968,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,Miguel Amaya,,20,False,20.0,14.0,5.0,3.0,0.0,4.0,5.0,8.0,,,,,90.0,43.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",2.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Daniel Polanco,daniel-polanco,D. Polanco,D,2,,5,1170892,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400.0,,,Daniel Polanco,,2,False,15.0,14.0,1.0,,0.0,1.0,3.0,9.0,,,,,90.0,30.0,7.1,2.0,"{'original': 7.1, 'alternative': None}",1.0,4.0,,,2.0,,2.0,1.0,2.0,1.0,,,,,,,,,,,,Deportivo La Equidad,home,
Bleiner Agrón,bleiner-agron,B. Agrón,D,30,185.0,27,1066910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,982972800.0,"{'value': 260000, 'currency': 'EUR'}",,Bleiner Agrón,,31,False,29.0,22.0,6.0,2.0,0.0,4.0,6.0,16.0,,,,,90.0,51.0,7.7,7.0,"{'original': 7.7, 'alternative': None}",1.0,2.0,,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,Deportivo La Equidad,home,
Andres Correa,andres-correa,A. Correa,D,3,174.0,10,329607,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,759801600.0,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,22.0,19.0,,,0.0,2.0,3.0,4.0,,,,,89.0,48.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",1.0,4.0,2.0,,,1.0,2.0,,,3.0,4.0,2.0,1.0,,,,,,,,True,Deportivo La Equidad,home,
Yair Joao Abonia Vasquez,yair-abonia,J. Abonia,D,13,170.0,9,1175080,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949968000.0,"{'value': 310000, 'currency': 'EUR'}",,Yair Joao,Abonia Vásquez,13,False,10.0,8.0,2.0,1.0,0.0,,1.0,1.0,,,,,82.0,19.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,1.0,,,,,,,1.0,,2.0,,,1.0,1.0,,,,,,,Deportivo La Equidad,home,
Santiago Orozco,santiago-orozco,S. Orozco,M,6,172.0,8,1016205,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,826934400.0,"{'value': 270000, 'currency': 'EUR'}",,,,6,False,41.0,31.0,7.0,4.0,0.0,1.0,7.0,4.0,,,,,90.0,55.0,6.8,14.0,"{'original': 6.8, 'alternative': None}",1.0,7.0,,,,2.0,3.0,,4.0,1.0,,,2.0,1.0,,,,,,,,Deportivo La Equidad,home,
Felipe Acosta,felipe-acosta,F. Acosta,M,14,190.0,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000.0,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,26.0,18.0,,,0.0,4.0,11.0,3.0,,,,,90.0,57.0,7.9,15.0,"{'original': 7.9, 'alternative': None}",,3.0,2.0,1.0,6.0,3.0,1.0,,4.0,1.0,1.0,,2.0,,,,,,,,,Deportivo La Equidad,home,
Fabian Chaverra,fabian-chaverra,F. Chaverra,M,28,,10,1818123,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084233600.0,,,Fabian Chaverra,,28,False,11.0,9.0,1.0,,1.0,1.0,5.0,,,,,,74.0,22.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",4.0,9.0,,,,1.0,,,1.0,2.0,,,2.0,5.0,1.0,2.0,1.0,1.0,,,,Deportivo La Equidad,home,
Samir Mayo,mayo-samir,S. Mayo,M,16,,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800.0,"{'value': 335000, 'currency': 'EUR'}",,,,16,False,16.0,8.0,1.0,1.0,0.0,3.0,3.0,1.0,,,,,82.0,33.0,8.5,19.0,"{'original': 8.5, 'alternative': None}",2.0,4.0,1.0,,,,,1.0,,1.0,5.0,1.0,1.0,,,,,,2.0,2.0,,Deportivo La Equidad,home,
Wilmar Cruz,wilmar-cruz,W. Cruz,F,10,171.0,31,925131,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,743731200.0,"{'value': 260000, 'currency': 'EUR'}",,,,10,False,11.0,8.0,,,1.0,2.0,5.0,2.0,,,,,82.0,25.0,7.5,9.0,"{'original': 7.5, 'alternative': None}",1.0,5.0,2.0,,,3.0,3.0,,,2.0,,,1.0,,,,2.0,,,,,Deportivo La Equidad,home,
Beckham Castro,beckham-castro,B. Castro,F,11,176.0,129,1173560,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1063324800.0,"{'value': 760000, 'currency': 'EUR'}",,Beckham Castro,,11,True,5.0,5.0,1.0,1.0,0.0,,1.0,,,,,,16.0,7.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,Deportivo La Equidad,home,
