name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,totalContest,onTargetScoringAttempt,penaltyConceded,wasFouled,fouls,outfielderBlock,totalTackle,totalCross,challengeLost,wonContest,dispossessed,shotOffTarget,keyPass,blockedScoringAttempt,interceptionWon,bigChanceCreated,goals,bigChanceMissed,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,penaltyWon,totalOffside,accurateCross
Cristopher Varela,cristopher-varela,C. Varela,G,1,189.0,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800.0,"{'value': 400000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}",,,1,False,28.0,17.0,12.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,90.0,41.0,6.2,11.0,"{'original': 6.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,True,Deportivo La Equidad,home,,,,,
Yair Joao Abonia Vasquez,yair-abonia,J. Abonia,D,13,170.0,9,1175080,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949968000.0,"{'value': 310000, 'currency': 'EUR'}",,Yair Joao,Abonia Vásquez,13,False,24.0,21.0,4.0,3.0,0.0,,1.0,2.0,,,,,84.0,41.0,5.7,7.0,"{'original': 5.7, 'alternative': None}",1.0,4.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,,
Guillermo Tegüe,guillermo-tegue,G. Tegüe,D,4,186.0,8,906007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949795200.0,"{'value': 315000, 'currency': 'EUR'}",,,,4,False,33.0,30.0,6.0,3.0,0.0,,,1.0,,,,,90.0,34.0,5.9,3.0,"{'original': 5.9, 'alternative': None}",1.0,1.0,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,,
Brayan Montaño,brayan-montano,B. Montaño,D,24,176.0,25,1003376,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1020297600.0,"{'value': 340000, 'currency': 'EUR'}",,,,24,False,59.0,52.0,9.0,4.0,0.0,,2.0,5.0,,,,,90.0,68.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,Deportivo La Equidad,home,,,,,
Julián Hernández,julian-hernandez,J. Hernández,,38,,3,2155361,{},EUR,,,,Julián Hernández,,27,False,16.0,12.0,1.0,,0.0,,1.0,,,,,,45.0,21.0,5.8,5.0,"{'original': 5.8, 'alternative': None}",,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,Deportivo La Equidad,home,,,,,
Deyson Copete,deyson-david-copete-cuesta,D. Copete,M,33,187.0,7,1901819,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,998438400.0,"{'value': 145000, 'currency': 'EUR'}",,Deyson David,Copete Cuesta,33,False,29.0,22.0,3.0,2.0,0.0,,10.0,,,,,,90.0,43.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",2.0,10.0,,,,,5.0,,10.0,,1.0,,2.0,,,,,,,,,Deportivo La Equidad,home,,,,,
Yeider García,yeider-garcia,Y. García,,22,,2,2155362,{},EUR,,,,Yeider García,,32,False,14.0,12.0,,,0.0,1.0,6.0,,,,,,84.0,29.0,6.3,10.0,"{'original': 6.3, 'alternative': None}",1.0,6.0,3.0,,,3.0,2.0,,,,1.0,2.0,1.0,1.0,2.0,,,,,,,Deportivo La Equidad,home,,,,,
Santiago Orozco,santiago-orozco,S. Orozco,M,6,172.0,8,1016205,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,826934400.0,"{'value': 270000, 'currency': 'EUR'}",,,,6,False,25.0,22.0,1.0,1.0,0.0,,1.0,,,,,,45.0,29.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,Deportivo La Equidad,home,,,,,
Samir Mayo,mayo-samir,S. Mayo,M,16,,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800.0,"{'value': 335000, 'currency': 'EUR'}",,,,16,False,42.0,34.0,6.0,3.0,0.0,,5.0,,,,,,90.0,55.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",,5.0,3.0,,,1.0,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,Deportivo La Equidad,home,,,,,
Wilmar Cruz,wilmar-cruz,W. Cruz,F,10,171.0,31,925131,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,743731200.0,"{'value': 260000, 'currency': 'EUR'}",,,,10,False,9.0,8.0,,,0.0,,4.0,,,,,,45.0,16.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",,2.0,2.0,,,2.0,1.0,,,,,2.0,1.0,,,,,,,,,Deportivo La Equidad,home,,,,,
