name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,totalContest,bigChanceCreated,shotOffTarget,blockedScoringAttempt,totalClearance,interceptionWon,wasFouled,fouls,keyPass,aerialWon,outfielderBlock,totalTackle,challengeLost,totalOffside,onTargetScoringAttempt,dispossessed,wonContest,goals,captain,team,teamType,fieldTranslations
Diego Martínez,diego-martinez,D. Martínez,G,1,180.0,7,819196,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,628300800,"{'value': 210000, 'currency': 'EUR'}",,,1,False,19.0,11.0,13.0,5.0,0.0,1.0,2.0,90.0,26.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,True,Deportivo Pasto,home,
Israel Alba,israel-alba,I. Alba,D,22,175.0,19,822106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,799718400,"{'value': 430000, 'currency': 'EUR'}",,,22,False,15.0,9.0,4.0,2.0,1.0,,,80.0,30.0,7.0,10.0,"{'original': 7, 'alternative': None}",4.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,Deportivo Pasto,home,
Luis Caicedo,luis-caicedo,L. Caicedo,D,4,185.0,54,339963,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,705542400,"{'value': 215000, 'currency': 'EUR'}",,,4,False,32.0,30.0,5.0,5.0,0.0,,,90.0,44.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,2.0,4.0,2.0,,,,,2.0,1.0,,2.0,,1.0,1.0,1.0,,,,,,,,Deportivo Pasto,home,
Andrés Alarcón,andres-alarcon,A. Alarcón,D,24,192.0,43,1179168,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990230400,,Andrés Alarcón,,24,False,40.0,35.0,10.0,5.0,0.0,,,90.0,47.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,,,1.0,1.0,,,,,4.0,,,,1.0,1.0,1.0,,1.0,,,,,,,Deportivo Pasto,home,
Joyce Ossa,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000,"{'value': 280000, 'currency': 'EUR'}",Joyce Ossa,,23,False,30.0,28.0,4.0,2.0,0.0,,,90.0,47.0,7.2,2.0,"{'original': 7.2, 'alternative': None}",,,1.0,4.0,7.0,,,,,5.0,1.0,4.0,2.0,,1.0,3.0,2.0,1.0,1.0,,,,,,Deportivo Pasto,home,
Mauricio Castaño,mauricio-castano,M. Castaño,D,20,177.0,13,1098313,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 105000, 'currency': 'EUR'}",Mauricio Castaño,,20,False,22.0,19.0,4.0,2.0,0.0,,,90.0,45.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",1.0,,,1.0,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,,1.0,,,,,Deportivo Pasto,home,
Déinner Quiñones,deinner-quinones,D. Quiñones,M,70,172.0,95,846799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,808531200,"{'value': 515000, 'currency': 'EUR'}",,,70,False,21.0,14.0,,,0.0,,,76.0,41.0,6.6,15.0,"{'original': 6.6, 'alternative': None}",1.0,,2.0,10.0,8.0,6.0,,1.0,,,1.0,4.0,4.0,,,,,,,,2.0,4.0,,,Deportivo Pasto,home,
Felipe Jaramillo,felipe-jaramillo,F. Jaramillo,M,17,185.0,31,924429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829785600,"{'value': 310000, 'currency': 'EUR'}",,,17,False,40.0,34.0,3.0,2.0,0.0,,,90.0,52.0,7.0,7.0,"{'original': 7, 'alternative': None}",,,,2.0,5.0,2.0,,,,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,Deportivo Pasto,home,
Juan Castilla,juan-castilla,J. Castilla,M,13,172.0,177,1025325,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090886400,"{'value': 440000, 'currency': 'EUR'}",,,13,False,29.0,26.0,2.0,,0.0,,,80.0,35.0,7.5,3.0,"{'original': 7.5, 'alternative': None}",,,1.0,2.0,3.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,2.0,1.0,,Deportivo Pasto,home,
Facundo Boné,facundo-bone,F. Boné,M,77,176.0,84,924738,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,816480000,"{'value': 280000, 'currency': 'EUR'}",,,77,False,17.0,16.0,,,1.0,,,80.0,36.0,8.5,5.0,"{'original': 8.5, 'alternative': None}",1.0,1.0,,6.0,8.0,3.0,1.0,,1.0,1.0,,4.0,2.0,2.0,,,3.0,1.0,,1.0,1.0,1.0,1.0,,Deportivo Pasto,home,
Diego Castillo,castillo-diego,D. Castillo,F,19,,18,1175044,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938649600,"{'value': 325000, 'currency': 'EUR'}",Diego Castillo,,19,False,10.0,7.0,,,0.0,,,67.0,23.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,,3.0,6.0,5.0,,,,,1.0,,2.0,2.0,,3.0,,,,,1.0,1.0,,,,Deportivo Pasto,home,
