name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,totalContest,shotOffTarget,blockedScoringAttempt,totalClearance,wasFouled,fouls,keyPass,totalTackle,aerialLost,aerialWon,challengeLost,interceptionWon,dispossessed,onTargetScoringAttempt,penaltyConceded,totalOffside,wonContest,outfielderBlock,captain,team,teamType,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,bigChanceMissed,goals,bigChanceCreated
Andres Perez,andres-perez,A. Perez,G,12,180.0,5,1177555,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,926035200.0,"{'value': 49000, 'currency': 'EUR'}",,,,12,False,17.0,13.0,6.0,2.0,0.0,1.0,2.0,90.0,22.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,,,
Yair Joao Abonia Vasquez,yair-abonia,J. Abonia,D,13,170.0,9,1175080,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949968000.0,"{'value': 310000, 'currency': 'EUR'}",Yair Joao,Abonia Vásquez,,13,False,19.0,13.0,3.0,,0.0,,,90.0,34.0,6.5,11.0,"{'original': 6.5, 'alternative': None}",4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,Deportivo La Equidad,home,,,,,,
Miguel Amaya,miguel-amaya,M. Amaya,,20,,5,2048968,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,Miguel Amaya,,,20,False,10.0,7.0,4.0,1.0,0.0,,,45.0,16.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,,2.0,,,,2.0,1.0,,,1.0,,,,,,,,,,,,Deportivo La Equidad,home,,,,,,
Guillermo Tegüe,guillermo-tegue,G. Tegüe,D,4,186.0,8,906007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949795200.0,"{'value': 315000, 'currency': 'EUR'}",,,,4,False,32.0,28.0,6.0,2.0,0.0,,,85.0,38.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,2.0,3.0,,1.0,,4.0,,,,,1.0,3.0,1.0,1.0,,,,,,,,Deportivo La Equidad,home,,,,,,
Brayan Montaño,brayan-montano,B. Montaño,D,24,176.0,25,1003376,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1020297600.0,"{'value': 340000, 'currency': 'EUR'}",,,,24,False,50.0,45.0,5.0,3.0,0.0,,,90.0,60.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,Deportivo La Equidad,home,,,,,,
Felipe Acosta,felipe-acosta,F. Acosta,M,14,190.0,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000.0,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,39.0,32.0,4.0,2.0,0.0,,,90.0,49.0,7.0,11.0,"{'original': 7, 'alternative': None}",,,5.0,5.0,,1.0,,,2.0,2.0,2.0,1.0,,2.0,1.0,1.0,3.0,1.0,,,,,,Deportivo La Equidad,home,,,,,,
Santiago Orozco,santiago-orozco,S. Orozco,M,6,172.0,8,1016205,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,826934400.0,"{'value': 270000, 'currency': 'EUR'}",,,,6,False,17.0,14.0,3.0,2.0,0.0,,,45.0,22.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,3.0,3.0,,,1.0,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,Deportivo La Equidad,home,,,,,,
Andres Correa,andres-correa,A. Correa,D,3,174.0,10,329607,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,759801600.0,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,30.0,23.0,5.0,3.0,0.0,,,90.0,55.0,6.6,14.0,"{'original': 6.6, 'alternative': None}",6.0,3.0,9.0,4.0,1.0,,1.0,,,6.0,1.0,1.0,1.0,3.0,1.0,,1.0,2.0,1.0,,,,True,Deportivo La Equidad,home,,,,,,
Ayron Del Valle,ayron-del-valle,A. D. Valle,F,7,178.0,97,47735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,601862400.0,"{'value': 160000, 'currency': 'EUR'}",,,,7,False,10.0,9.0,1.0,,0.0,,,64.0,16.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",1.0,,3.0,1.0,,1.0,,,,,,1.0,2.0,,,,1.0,,,1.0,,,,Deportivo La Equidad,home,,,,,,
Renan Oliveira,renan-oliveira,R. Oliveira,F,9,186.0,263,888598,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863049600.0,"{'value': 575000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. أوليفيرا', 'hi': 'आर. ओलिवेरा', 'bn': 'আর. অলিভেইরা'}}",9,False,9.0,6.0,1.0,,0.0,,,90.0,16.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,3.0,1.0,,,1.0,,1.0,,,,1.0,,,,2.0,2.0,,,,,,Deportivo La Equidad,home,,,,,,
Samir Mayo,mayo-samir,S. Mayo,M,16,,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800.0,"{'value': 335000, 'currency': 'EUR'}",,,,16,False,19.0,16.0,1.0,1.0,0.0,,,85.0,42.0,7.2,14.0,"{'original': 7.2, 'alternative': None}",8.0,3.0,6.0,3.0,3.0,2.0,,,,2.0,5.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,Deportivo La Equidad,home,,,,,,
Daniel Polanco,daniel-polanco,D. Polanco,D,2,,5,1170892,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400.0,,Daniel Polanco,,,2,True,28.0,25.0,4.0,1.0,0.0,,,45.0,32.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,1.0,2.0,,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,Deportivo La Equidad,home,,,,,,
Beckham Castro,beckham-castro,B. Castro,F,11,176.0,129,1173560,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1063324800.0,"{'value': 760000, 'currency': 'EUR'}",Beckham Castro,,,11,True,11.0,9.0,1.0,1.0,0.0,,,45.0,22.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",1.0,,3.0,2.0,5.0,1.0,1.0,,,,,,,,,,,,,,2.0,,,Deportivo La Equidad,home,,,,,,
Santiago Lopez,lopez-santiago,S. López,M,8,,10,1512397,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013212800.0,,Santiago López,,,25,True,5.0,5.0,1.0,1.0,0.0,,,26.0,9.0,7.1,,"{'original': 7.1, 'alternative': None}",1.0,1.0,1.0,3.0,1.0,1.0,,,,,2.0,1.0,,1.0,1.0,,,,,,1.0,,,Deportivo La Equidad,home,,,,,,
Amaury Torralvo,torralvo-amaury,A. Torralvo,F,36,169.0,11,821915,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758332800.0,"{'value': 260000, 'currency': 'EUR'}",,,,26,True,11.0,9.0,1.0,,0.0,,,12.0,14.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",1.0,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,,,
