name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,challengeLost,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelWon,totalTackle,wasFouled,fouls,keyPass,aerialWon,blockedScoringAttempt,outfielderBlock,aerialLost,interceptionWon,dispossessed,totalContest,shotOffTarget,wonContest,totalOffside,onTargetScoringAttempt,goals,captain,team,teamType,goodHighClaim,clearanceOffLine
James Aguirre,james-aguirre,J. Aguirre,G,12,181.0,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400.0,"{'value': 290000, 'currency': 'EUR'}",,,,12,False,45.0,27.0,29.0,11.0,0.0,1.0,1.0,1.0,2.0,3.0,90.0,54.0,7.1,20.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Once Caldas,home,,
Juan David Cuesta,juan-david-cuesta,J. D. Cuesta,D,22,174.0,31,1188964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,880070400.0,"{'value': 630000, 'currency': 'EUR'}",Juan David Cuesta,,,22,False,32.0,25.0,6.0,3.0,1.0,2.0,1.0,3.0,,,90.0,51.0,7.2,9.0,"{'original': 7.2, 'alternative': None}",2.0,1.0,4.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,Once Caldas,home,,
Jerson Malagón,jerson-malagon,J. Malagón,D,3,185.0,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800.0,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,58.0,48.0,12.0,5.0,0.0,3.0,1.0,1.0,,,90.0,64.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",,,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,Once Caldas,home,,
Jaider Riquett,jaider-riquett,J. Riquett,D,18,184.0,11,924615,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,642297600.0,"{'value': 215000, 'currency': 'EUR'}",,,,18,False,52.0,44.0,6.0,2.0,0.0,3.0,,7.0,,,90.0,67.0,7.6,9.0,"{'original': 7.6, 'alternative': None}",,,4.0,2.0,,2.0,,2.0,,3.0,1.0,1.0,,,,,,,,,Once Caldas,home,,
Juan Patiño,juan-patino,J. Patiño,D,33,184.0,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600.0,"{'value': 605000, 'currency': 'EUR'}",,,,33,False,43.0,25.0,10.0,3.0,0.0,3.0,,2.0,,,79.0,64.0,6.8,25.0,"{'original': 6.8, 'alternative': None}",,,5.0,1.0,2.0,1.0,,2.0,,,,,2.0,,,,,,,,Once Caldas,home,,
Iván Rojas,ivan-rojas,I. Rojas,M,5,177.0,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400.0,"{'value': 670000, 'currency': 'EUR'}",,,,5,False,31.0,27.0,4.0,2.0,0.0,2.0,,,,,90.0,42.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",1.0,,2.0,1.0,,,,1.0,,,,1.0,,2.0,1.0,,,,,,Once Caldas,home,,
Jefry Zapata,jefry-zapata,J. Zapata,M,14,176.0,54,1478221,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949536000.0,"{'value': 570000, 'currency': 'EUR'}",Jefry Zapata,,,14,False,16.0,13.0,,,0.0,4.0,2.0,,,,45.0,23.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,4.0,1.0,2.0,,2.0,,,,1.0,,1.0,1.0,,1.0,1.0,,,,Once Caldas,home,,
Mateo García,mateo-garcia,M. García,M,19,178.0,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400.0,"{'value': 955000, 'currency': 'EUR'}",,,,19,False,30.0,25.0,6.0,3.0,0.0,4.0,,,,,45.0,33.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,,1.0,,1.0,3.0,,,,,1.0,,,,,,,,,,Once Caldas,home,,
Alejandro García,alejandro-garcia,A. García,M,20,185.0,85,912291,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983318400.0,"{'value': 835000, 'currency': 'EUR'}",,,,20,False,26.0,21.0,3.0,2.0,0.0,5.0,1.0,,,,76.0,39.0,7.0,12.0,"{'original': 7, 'alternative': None}",6.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,2.0,,1.0,,,,,1.0,,,Once Caldas,home,,
Joel Contreras,contreras-joel,J. Contreras,F,16,165.0,24,994306,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,925516800.0,"{'value': 310000, 'currency': 'EUR'}",,,,16,False,9.0,7.0,1.0,1.0,0.0,1.0,,1.0,,,62.0,16.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",,,5.0,1.0,4.0,1.0,,,,,,,,,,,,,,,Once Caldas,home,,
