name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,ratingVersions,totalCross,aerialLost,duelLost,duelWon,challengeLost,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,totalOffside,possessionLostCtrl,keyPass,aerialWon,onTargetScoringAttempt,goals,totalContest,wonContest,blockedScoringAttempt,dispossessed,outfielderBlock,shotOffTarget,accurateCross,bigChanceMissed,hitWoodwork,captain,team,teamType,errorLeadToAShot,totalKeeperSweeper,accurateKeeperSweeper,clearanceOffLine,bigChanceCreated
Aldair Quintana,aldair-quintana,A. Quintana,G,1,194.0,154,844584,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 930000, 'currency': 'EUR'}",,,,1,False,15.0,15.0,3.0,3.0,0.0,1.0,1.0,2.0,90.0,26.0,6.8,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,,
Aldair Gutiérrez,aldair-gutierrez,A. Gutiérrez,D,19,176.0,66,857498,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,898041600,"{'value': 490000, 'currency': 'EUR'}",,,,19,False,53.0,42.0,5.0,1.0,0.0,,,,90.0,70.0,7.1,"{'original': 7.1, 'alternative': None}",2.0,1.0,5.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,15.0,1.0,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,,
Cristián Zapata,cristian-zapata,C. Zapata,D,25,187.0,593,12673,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,528422400,"{'value': 54000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. زاباتا', 'hi': 'सी. ज़ापाटा', 'bn': 'সি. জাপাটা'}}",,,25,False,45.0,41.0,10.0,8.0,0.0,,,,90.0,54.0,7.8,"{'original': 7.8, 'alternative': None}",,2.0,2.0,3.0,,5.0,1.0,2.0,,,,4.0,,1.0,1.0,1.0,,,,,,,,,,,Atlético Bucaramanga,home,,,,,
Jefferson Mena,jefferson-mena,J. Mena,D,2,183.0,66,355850,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,613872000,"{'value': 97000, 'currency': 'EUR'}",,,,2,False,40.0,37.0,3.0,3.0,0.0,,,,90.0,47.0,6.7,"{'original': 6.7, 'alternative': None}",,,4.0,3.0,,2.0,3.0,1.0,,4.0,,4.0,,2.0,,,,,,,,,,,,True,Atlético Bucaramanga,home,,,,,
Fredy Hinestroza,fredy-hinestroza,F. Hinestroza,D,8,178.0,94,249075,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,639273600,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. هينستروزا', 'hi': 'एफ. हिनेस्ट्रोज़ा', 'bn': 'এফ. হিনেস্ট্রোজা'}}",,,8,False,28.0,28.0,,,0.0,,,,45.0,43.0,6.5,"{'original': 6.5, 'alternative': None}",2.0,,3.0,4.0,,,,1.0,2.0,1.0,,6.0,,,,,3.0,1.0,1.0,,,,,,,,Atlético Bucaramanga,home,,,,,
Edwin Castro,edwin-castro,E. Castro,M,22,183.0,86,339719,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698630400,"{'value': 210000, 'currency': 'EUR'}",,,,22,False,67.0,62.0,4.0,3.0,0.0,,,,90.0,76.0,7.0,"{'original': 7, 'alternative': None}",,1.0,8.0,2.0,1.0,,1.0,,1.0,2.0,,9.0,,1.0,1.0,1.0,3.0,,,1.0,1.0,,,,,,Atlético Bucaramanga,home,,,,,
Diego Chávez,diego-chavez,D. Chávez,M,15,180.0,55,1169585,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,875059200,"{'value': 585000, 'currency': 'EUR'}",,Diego Chavez,,15,False,53.0,47.0,9.0,6.0,0.0,,,,67.0,62.0,6.9,"{'original': 6.9, 'alternative': None}",1.0,,4.0,2.0,,,1.0,1.0,1.0,3.0,,9.0,,,,,,,,1.0,,1.0,,,,,Atlético Bucaramanga,home,,,,,
Frank Castañeda,frank-castaneda,F. Castañeda,M,70,171.0,241,923112,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,774403200,"{'value': 465000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. كاستانيدا', 'hi': 'एफ. कास्टेनेडा', 'bn': 'এফ. কাস্টেনেডা'}}",,,70,False,27.0,24.0,3.0,2.0,0.0,,,,45.0,33.0,6.7,"{'original': 6.7, 'alternative': None}",4.0,,1.0,,1.0,,1.0,,,,,7.0,1.0,,,,,,,,,,1.0,,,,Atlético Bucaramanga,home,,,,,
Fabián Sambueza,fabian-sambueza,F. Sambueza,M,10,173.0,211,789379,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,586396800,"{'value': 230000, 'currency': 'EUR'}",,,,10,False,35.0,26.0,4.0,2.0,1.0,,,,84.0,49.0,7.6,"{'original': 7.6, 'alternative': None}",3.0,,5.0,4.0,,,1.0,1.0,2.0,3.0,,14.0,3.0,,,,2.0,1.0,,1.0,1.0,,2.0,,,,Atlético Bucaramanga,home,,,,,
Kevin Londoño,kevin-londono,K. Londoño,F,7,180.0,142,1104827,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,754012800,"{'value': 420000, 'currency': 'EUR'}",,,,7,False,32.0,27.0,2.0,2.0,0.0,,,,67.0,40.0,7.1,"{'original': 7.1, 'alternative': None}",,1.0,2.0,1.0,,,1.0,,,1.0,1.0,6.0,,1.0,,,,,,,,3.0,,,,,Atlético Bucaramanga,home,,,,,
