name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,dispossessed,totalContest,onTargetScoringAttempt,goals,totalTackle,wasFouled,fouls,keyPass,interceptionWon,wonContest,blockedScoringAttempt,aerialWon,shotOffTarget,totalOffside,captain,team,teamType,savedShotsFromInsideTheBox,saves,outfielderBlock
David Ospina,,,david-ospina,D. Ospina,G,1,183.0,5709,33596,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800,"{'value': 655000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. أوسبينا', 'hi': 'डी. ओस्पिना', 'bn': 'ডি. ওসপিনা'}}",1,False,34.0,30.0,8.0,4.0,0.0,1.0,1.0,90.0,38.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,True,Atlético Nacional,home,,,
Andrés Román,,,andres-roman,A. Román,D,6,183.0,376,870013,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812851200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رومان', 'hi': 'ए. रोमान', 'bn': 'এ. রোমান'}}",6,False,48.0,42.0,4.0,2.0,0.0,,,90.0,62.0,7.8,11.0,"{'original': 7.8, 'alternative': None}",2.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,Atlético Nacional,home,,,
Simon Garcia,Simon Garcia,,garcia-simon,S. Garcia,D,28,186.0,154,1602863,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1105401600,"{'value': 235000, 'currency': 'EUR'}",,28,False,34.0,33.0,2.0,2.0,0.0,3.0,,60.0,40.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,Atlético Nacional,home,,,
William Tesillo,,,william-tesillo,W. Tesillo,D,16,184.0,317,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800,"{'value': 520000, 'currency': 'EUR'}",,16,False,99.0,88.0,12.0,8.0,0.0,5.0,,90.0,110.0,7.6,11.0,"{'original': 7.6, 'alternative': None}",,,,2.0,,,,,,,,,2.0,,5.0,,,,,,,Atlético Nacional,home,,,
Camilo Cándido,,,camilo-candido,C. Cándido,D,13,174.0,281,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200,"{'value': 1100000, 'currency': 'EUR'}",,13,False,39.0,35.0,2.0,2.0,0.0,1.0,,90.0,64.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",4.0,1.0,1.0,7.0,2.0,2.0,1.0,2.0,,,1.0,,2.0,2.0,2.0,1.0,1.0,,,,,Atlético Nacional,home,,,
Matheus Uribe,,,mateus-uribe,M. Uribe,M,8,182.0,1809,247773,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,669513600,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. أوريبي', 'hi': 'एम. उरीबे', 'bn': 'এম. উরিবে'}}",8,False,49.0,43.0,5.0,3.0,1.0,,,60.0,54.0,7.7,6.0,"{'original': 7.7, 'alternative': None}",,,1.0,1.0,3.0,,,1.0,1.0,,1.0,,,3.0,1.0,1.0,,1.0,,,,Atlético Nacional,home,,,
Jorman Campuzano,,,jorman-campuzano,J. Campuzano,M,21,175.0,706,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",21,False,86.0,77.0,5.0,4.0,0.0,1.0,,84.0,93.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",,,,4.0,3.0,,,1.0,,,3.0,,3.0,1.0,,,,,,,,Atlético Nacional,home,,,
Andrés Sarmiento,,,andres-sarmiento,A. Sarmiento,M,29,170.0,200,842663,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884822400,"{'value': 720000, 'currency': 'EUR'}",,29,False,7.0,7.0,,,0.0,,,60.0,13.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",2.0,2.0,,2.0,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,Atlético Nacional,home,,,
Edwin Cardona,,,edwin-cardona,E. Cardona,M,10,183.0,2260,153793,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,723772800,"{'value': 960000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. كاردونا', 'hi': 'ई. कार्डोना', 'bn': 'ই. কার্ডোনা'}}",10,False,90.0,72.0,15.0,10.0,0.0,,,90.0,116.0,9.4,27.0,"{'original': 9.4, 'alternative': None}",7.0,3.0,,4.0,4.0,1.0,2.0,1.0,3.0,2.0,,2.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,Atlético Nacional,home,,,
Billy Arce,,,billy-arce,B. Arce,M,11,177.0,503,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600,"{'value': 680000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",11,False,40.0,32.0,2.0,1.0,0.0,,,60.0,53.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,,7.0,3.0,,4.0,,,,,2.0,3.0,1.0,,,2.0,1.0,1.0,,,Atlético Nacional,home,,,
Alfredo Morelos,,,alfredo-morelos,A. Morelos,F,9,177.0,2269,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",9,False,45.0,41.0,1.0,1.0,1.0,,,90.0,52.0,8.2,4.0,"{'original': 8.2, 'alternative': None}",,,1.0,4.0,3.0,,,,2.0,,1.0,,3.0,4.0,,,1.0,2.0,3.0,1.0,,Atlético Nacional,home,,,
Juan Arias,,,arias-juan,J. Arias,D,23,184.0,73,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000,,,23,True,36.0,34.0,2.0,1.0,0.0,,,30.0,39.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,1.0,3.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,Atlético Nacional,home,,,
Elkin Rivero,,,elkin-rivero,E. Rivero,M,26,,70,1940903,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1140998400,,,26,True,19.0,16.0,1.0,1.0,0.0,,,30.0,22.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,4.0,1.0,1.0,,,,,1.0,,3.0,2.0,,,,,1.0,,,Atlético Nacional,home,,,
Kevin Parra,Kevin Parra,,kevin-parra,K. Parra,M,30,165.0,152,1185972,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045872000,"{'value': 620000, 'currency': 'EUR'}",,30,True,15.0,14.0,,,0.0,,,30.0,19.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,2.0,,,Atlético Nacional,home,,,
Dairon Asprilla,,,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000,"{'value': 720000, 'currency': 'EUR'}",,27,True,9.0,8.0,,,0.0,,,30.0,10.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Sebastián Guzmán,,,sebastian-guzman,S. Guzmán,M,32,177.0,110,924567,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864604800,"{'value': 720000, 'currency': 'EUR'}",,32,True,6.0,6.0,1.0,1.0,0.0,,,9.0,6.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Harlen Castillo,,,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600,"{'value': 330000, 'currency': 'EUR'}",,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Andrés Salazar,Andrés Salazar,,andres-salazar,A. Salazar,D,17,182.0,251,1174790,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042588800,"{'value': 580000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. سالازار', 'hi': 'ए. सालाज़ार', 'bn': 'এ. সালাজার'}}",17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Victor Cabezas,,,victor-cabezas,V. Cabezas,G,12,191.0,3,829963,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878428800,"{'value': 52000, 'currency': 'EUR'}",,12,False,22.0,15.0,8.0,2.0,0.0,1.0,,90.0,32.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,,,,1.0,,,,,,,1.0,,,,,,,,,,Deportivo Pasto,away,3.0,5.0,
