name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,totalTackle,fouls,interceptionWon,wasFouled,aerialLost,onTargetScoringAttempt,goals,outfielderBlock,accurateCross,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,totalOffside,dispossessed,keyPass,challengeLost,captain,team,teamType,fieldTranslations,goodHighClaim
Victor Cabezas,victor-cabezas,V. Cabezas,G,12,191.0,3,829963,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878428800,"{'value': 52000, 'currency': 'EUR'}",,,12,False,17.0,14.0,6.0,4.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,90.0,23.0,7.0,3.0,"{'original': 7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,
Juan Franco,juan-franco,J. Franco,D,15,178.0,27,1102277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1009929600,"{'value': 165000, 'currency': 'EUR'}",Juan Franco,,15,False,13.0,12.0,3.0,3.0,0.0,,2.0,1.0,,,,62.0,21.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,
Luis Caicedo,luis-caicedo,L. Caicedo,D,4,185.0,54,339963,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,705542400,"{'value': 215000, 'currency': 'EUR'}",,,4,False,25.0,21.0,5.0,4.0,0.0,2.0,3.0,3.0,,,,90.0,32.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",1.0,2.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,Deportivo Pasto,home,,
Andrés Alarcón,andres-alarcon,A. Alarcón,D,24,192.0,43,1179168,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990230400,,Andrés Alarcón,,24,False,22.0,19.0,3.0,2.0,0.0,2.0,4.0,9.0,,,,90.0,34.0,7.5,3.0,"{'original': 7.5, 'alternative': None}",,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,Deportivo Pasto,home,,
Joyce Ossa,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000,"{'value': 280000, 'currency': 'EUR'}",Joyce Ossa,,23,False,30.0,22.0,10.0,6.0,0.0,3.0,4.0,2.0,,,,90.0,42.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",1.0,,,,1.0,1.0,,,,2.0,,,,,,,,,,,Deportivo Pasto,home,,
Mauricio Castaño,mauricio-castano,M. Castaño,D,20,177.0,13,1098313,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 105000, 'currency': 'EUR'}",Mauricio Castaño,,20,False,22.0,19.0,5.0,3.0,0.0,1.0,5.0,,,,,90.0,53.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",6.0,1.0,3.0,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,True,Deportivo Pasto,home,,
Déinner Quiñones,deinner-quinones,D. Quiñones,M,70,172.0,95,846799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,808531200,"{'value': 515000, 'currency': 'EUR'}",,,70,False,23.0,20.0,3.0,3.0,0.0,,4.0,,,,,69.0,39.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",5.0,4.0,1.0,,,3.0,,,,,1.0,1.0,,,,,3.0,1.0,,,Deportivo Pasto,home,,
Felipe Jaramillo,felipe-jaramillo,F. Jaramillo,M,17,185.0,31,924429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829785600,"{'value': 310000, 'currency': 'EUR'}",,,17,False,41.0,35.0,8.0,5.0,0.0,2.0,6.0,3.0,,,,90.0,53.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",,3.0,4.0,2.0,1.0,,,1.0,,,,,,,1.0,,,,1.0,,Deportivo Pasto,home,,
Juan Castilla,juan-castilla,J. Castilla,M,13,172.0,177,1025325,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090886400,"{'value': 440000, 'currency': 'EUR'}",,,13,False,28.0,27.0,3.0,2.0,0.0,,2.0,,,,,87.0,35.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,2.0,,,Deportivo Pasto,home,,
Facundo Boné,facundo-bone,F. Boné,M,77,176.0,84,924738,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,816480000,"{'value': 280000, 'currency': 'EUR'}",,,77,False,8.0,5.0,2.0,,1.0,1.0,2.0,2.0,,,,69.0,17.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",3.0,2.0,,1.0,,1.0,,,,,1.0,,,,,,1.0,1.0,,,Deportivo Pasto,home,,
