name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,bigChanceCreated,totalClearance,totalTackle,keyPass,fouls,aerialWon,onTargetScoringAttempt,blockedScoringAttempt,goals,challengeLost,shotOffTarget,outfielderBlock,totalOffside,dispossessed,totalContest,wasFouled,penaltyConceded,wonContest,interceptionWon,bigChanceMissed,captain,team,teamType,fieldTranslations,penaltyWon
Victor Cabezas,victor-cabezas,V. Cabezas,G,12,191.0,3,829963,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878428800,"{'value': 52000, 'currency': 'EUR'}",,,12,False,11.0,7.0,7.0,3.0,0.0,1.0,2.0,90.0,14.0,6.1,4.0,"{'original': 6.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,
Israel Alba,israel-alba,I. Alba,D,22,175.0,19,822106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,799718400,"{'value': 430000, 'currency': 'EUR'}",,,22,False,27.0,15.0,9.0,3.0,0.0,,,90.0,47.0,6.7,23.0,"{'original': 6.7, 'alternative': None}",8.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,True,Deportivo Pasto,home,,
Luis Caicedo,luis-caicedo,L. Caicedo,D,4,185.0,54,339963,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,705542400,"{'value': 215000, 'currency': 'EUR'}",,,4,False,9.0,7.0,2.0,1.0,0.0,,,38.0,14.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,,1.0,,,3.0,,,1.0,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,
Andrés Alarcón,andres-alarcon,A. Alarcón,D,24,192.0,43,1179168,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990230400,,Andrés Alarcón,,24,False,29.0,25.0,12.0,8.0,0.0,,,90.0,36.0,8.5,4.0,"{'original': 8.5, 'alternative': None}",,,,,2.0,,3.0,1.0,1.0,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,Deportivo Pasto,home,,
Joyce Ossa,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000,"{'value': 280000, 'currency': 'EUR'}",Joyce Ossa,,23,False,38.0,31.0,9.0,2.0,0.0,,,90.0,49.0,6.3,10.0,"{'original': 6.3, 'alternative': None}",1.0,,1.0,2.0,2.0,,2.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,Deportivo Pasto,home,,
Mauricio Castaño,mauricio-castano,M. Castaño,D,20,177.0,13,1098313,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 105000, 'currency': 'EUR'}",Mauricio Castaño,,20,False,26.0,21.0,3.0,,1.0,,,90.0,50.0,7.3,12.0,"{'original': 7.3, 'alternative': None}",2.0,1.0,,3.0,8.0,1.0,1.0,7.0,2.0,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,,Deportivo Pasto,home,,
Johan Caicedo,johan-caicedo,J. Caicedo,M,6,,53,1170681,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079049600,"{'value': 455000, 'currency': 'EUR'}",Johan Caicedo,,6,False,22.0,20.0,3.0,2.0,0.0,,,90.0,36.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,,2.0,7.0,4.0,,4.0,2.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,3.0,1.0,,,,,,Deportivo Pasto,home,,
Felipe Jaramillo,felipe-jaramillo,F. Jaramillo,M,17,185.0,31,924429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829785600,"{'value': 310000, 'currency': 'EUR'}",,,17,False,36.0,31.0,5.0,4.0,0.0,,,90.0,46.0,6.3,6.0,"{'original': 6.3, 'alternative': None}",,,,5.0,6.0,,1.0,3.0,,3.0,1.0,,,,2.0,1.0,,,,,2.0,1.0,,,,,Deportivo Pasto,home,,
Juan Castilla,juan-castilla,J. Castilla,M,13,172.0,177,1025325,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090886400,"{'value': 440000, 'currency': 'EUR'}",,,13,False,26.0,17.0,2.0,1.0,1.0,,,67.0,40.0,7.0,15.0,"{'original': 7, 'alternative': None}",3.0,2.0,,3.0,1.0,,,,1.0,1.0,,1.0,,,,1.0,,,1.0,2.0,,,1.0,1.0,,,Deportivo Pasto,home,,
Gustavo Torres,gustavo-torres,G. Torres,M,9,181.0,94,886720,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834796800,"{'value': 320000, 'currency': 'EUR'}",,,9,False,16.0,12.0,1.0,1.0,0.0,,,81.0,23.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",1.0,,3.0,4.0,3.0,,,,1.0,1.0,1.0,,,,1.0,,,,,2.0,,,2.0,,,,Deportivo Pasto,home,,
