name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalClearance,interceptionWon,totalTackle,fouls,totalOffside,shotOffTarget,outfielderBlock,totalContest,wonContest,keyPass,dispossessed,bigChanceCreated,blockedScoringAttempt,wasFouled,accurateCross,hitWoodwork,onTargetScoringAttempt,goals,captain,team,teamType,totalKeeperSweeper,accurateKeeperSweeper
Jorge Soto,jorge-soto,J. Soto,G,12,187.0,147,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600.0,"{'value': 410000, 'currency': 'EUR'}",,,,12,False,30.0,23.0,10.0,3.0,0.0,1.0,3.0,90.0,37.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,
Yerson Candelo,yerson-candelo,Y. Candelo,D,92,172.0,144,158593,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698889600.0,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. كانديلو', 'hi': 'वाई. कैंडेलो', 'bn': 'ওয়াই. ক্যান্ডেলো'}}",,,92,False,22.0,18.0,1.0,1.0,0.0,,,90.0,38.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,América de Cali,home,,
Jean Carlos Pestaña,jean-carlos-pestana,J. C. Pestaña,D,24,186.0,73,882658,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872467200.0,"{'value': 825000, 'currency': 'EUR'}",,,,24,False,46.0,45.0,4.0,3.0,0.0,,,90.0,54.0,7.2,1.0,"{'original': 7.2, 'alternative': None}",,,1.0,2.0,2.0,,3.0,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,América de Cali,home,,
Brayan Medina,medina-brayan,B. Medina,D,23,195.0,106,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000.0,"{'value': 910000, 'currency': 'EUR'}",,,,23,False,46.0,45.0,4.0,4.0,0.0,,,90.0,61.0,7.4,2.0,"{'original': 7.4, 'alternative': None}",,1.0,,2.0,2.0,,8.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,América de Cali,home,,
Marcos Mina,marcos-mina,M. Mina,D,14,163.0,80,1098198,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923875200.0,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,25.0,20.0,2.0,,1.0,,,90.0,48.0,7.6,12.0,"{'original': 7.6, 'alternative': None}",1.0,,,6.0,4.0,,4.0,4.0,3.0,3.0,,1.0,,3.0,1.0,2.0,1.0,1.0,,,,,,,,América de Cali,home,,
Cristian Barrios,cristian-barrios,C. Barrios,M,7,163.0,267,910158,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895536000.0,"{'value': 1200000, 'currency': 'EUR'}",,,,7,False,21.0,20.0,2.0,1.0,0.0,,,66.0,31.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,1.0,1.0,6.0,3.0,,,,2.0,1.0,1.0,1.0,,2.0,,,2.0,,,,,,,,,América de Cali,home,,
Rafael Carrascal,rafael-carrascal,R. Carrascal,M,15,173.0,256,818936,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,722736000.0,"{'value': 325000, 'currency': 'EUR'}",,,,15,False,52.0,49.0,5.0,4.0,0.0,,,78.0,59.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,,6.0,1.0,2.0,,1.0,,3.0,,1.0,,,,,1.0,,1.0,1.0,,,,,,América de Cali,home,,
José Cavadia,cavadia,J. Cavadia,M,29,177.0,70,2034583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127260800.0,"{'value': 310000, 'currency': 'EUR'}",,,,29,False,40.0,37.0,,,0.0,,,69.0,46.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",1.0,,3.0,1.0,3.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,América de Cali,home,,
Duván Vergara,duvan-vergara,D. Vergara,M,11,173.0,932,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200.0,"{'value': 2900000, 'currency': 'EUR'}",,,,11,False,24.0,18.0,2.0,,0.0,,,90.0,48.0,6.9,15.0,"{'original': 6.9, 'alternative': None}",3.0,1.0,,7.0,5.0,,1.0,1.0,2.0,2.0,,2.0,,4.0,1.0,2.0,2.0,,,2.0,2.0,,,,True,América de Cali,home,,
Juan Fernando Quintero,juan-quintero,J. F. Quintero,M,8,168.0,9629,221162,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727315200.0,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. كوينتيرو', 'hi': 'जुआन क्विंटेरो', 'bn': 'জুয়ান কুইন্টেরো'}}",,,8,False,67.0,54.0,8.0,8.0,1.0,,,90.0,77.0,7.6,18.0,"{'original': 7.6, 'alternative': None}",1.0,,,4.0,2.0,1.0,,,,,,1.0,,1.0,,3.0,2.0,,1.0,2.0,1.0,1.0,,,,América de Cali,home,,
Luis Ramos,luis-ramos,L. Ramos,F,9,175.0,1211,984107,"{'alpha2': 'PE', 'alpha3': 'PER', 'name': 'Peru', 'slug': 'peru'}",EUR,945043200.0,"{'value': 730000, 'currency': 'EUR'}",,,,9,False,9.0,8.0,1.0,1.0,0.0,,,78.0,21.0,7.7,4.0,"{'original': 7.7, 'alternative': None}",,,2.0,3.0,6.0,1.0,2.0,,,1.0,1.0,,1.0,,,1.0,1.0,,,4.0,,,1.0,1.0,,América de Cali,home,,
