name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,keyPass,challengeLost,shotOffTarget,wasFouled,fouls,hitWoodwork,onTargetScoringAttempt,accurateCross,outfielderBlock,dispossessed,captain,team,teamType,goodHighClaim,goals,totalOffside,blockedScoringAttempt
Aldair Quintana,aldair-quintana,A. Quintana,G,1,194.0,154,844584,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800.0,"{'value': 930000, 'currency': 'EUR'}",,,,1,False,11.0,8.0,5.0,2.0,0.0,2.0,2.0,90.0,18.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Aldair Gutiérrez,aldair-gutierrez,A. Gutiérrez,D,19,176.0,66,857498,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,898041600.0,"{'value': 490000, 'currency': 'EUR'}",,,,19,False,51.0,39.0,5.0,2.0,0.0,,,90.0,77.0,7.1,19.0,"{'original': 7.1, 'alternative': None}",5.0,3.0,3.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Carlos Romaña,carlos-romana,C. Romaña,D,23,187.0,42,933442,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942192000.0,"{'value': 475000, 'currency': 'EUR'}",,,,23,False,70.0,56.0,7.0,3.0,0.0,,,90.0,79.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",,1.0,4.0,3.0,6.0,,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,Atlético Bucaramanga,home,,,,
Jefferson Mena,jefferson-mena,J. Mena,D,2,183.0,66,355850,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,613872000.0,"{'value': 97000, 'currency': 'EUR'}",,,,2,False,58.0,48.0,10.0,5.0,0.0,,,90.0,67.0,7.3,11.0,"{'original': 7.3, 'alternative': None}",,,5.0,,7.0,,,1.0,1.0,2.0,,,3.0,,,1.0,,,,,True,Atlético Bucaramanga,home,,,,
Fredy Hinestroza,fredy-hinestroza,F. Hinestroza,D,8,178.0,94,249075,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,639273600.0,"{'value': 360000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. هينستروزا', 'hi': 'एफ. हिनेस्ट्रोज़ा', 'bn': 'এফ. হিনেস্ট্রোজা'}}",8,False,43.0,37.0,4.0,2.0,0.0,,,90.0,65.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",4.0,,,1.0,5.0,,,1.0,,3.0,,,,2.0,1.0,,,,,,,Atlético Bucaramanga,home,,,,
Diego Chávez,diego-chavez,D. Chávez,M,15,180.0,55,1169585,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,875059200.0,"{'value': 585000, 'currency': 'EUR'}",Diego Chavez,,,15,False,34.0,29.0,2.0,1.0,0.0,,,64.0,40.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,,2.0,2.0,,,,,1.0,,,,1.0,1.0,,,,,,,Atlético Bucaramanga,home,,,,
Edwin Castro,edwin-castro,E. Castro,M,22,183.0,86,339719,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698630400.0,"{'value': 210000, 'currency': 'EUR'}",,,,22,False,45.0,41.0,2.0,1.0,0.0,,,90.0,51.0,7.2,4.0,"{'original': 7.2, 'alternative': None}",,1.0,2.0,3.0,3.0,,,,,1.0,,,4.0,,2.0,,1.0,,,,,Atlético Bucaramanga,home,,,,
Leonardo Flores,leonardo-flores,L. Flores,M,28,176.0,186,874451,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,807580800.0,"{'value': 385000, 'currency': 'EUR'}",,,,28,False,60.0,48.0,6.0,5.0,0.0,,,90.0,77.0,7.9,16.0,"{'original': 7.9, 'alternative': None}",4.0,,2.0,3.0,5.0,1.0,,,1.0,1.0,5.0,,,2.0,2.0,,1.0,2.0,1.0,,,Atlético Bucaramanga,home,,,,
Kevin Londoño,kevin-londono,K. Londoño,F,7,180.0,142,1104827,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,754012800.0,"{'value': 420000, 'currency': 'EUR'}",,,,7,False,42.0,35.0,3.0,1.0,0.0,,,90.0,56.0,7.3,16.0,"{'original': 7.3, 'alternative': None}",5.0,2.0,,3.0,1.0,1.0,1.0,,,,3.0,,,,,,2.0,,,1.0,,Atlético Bucaramanga,home,,,,
Fabián Sambueza,fabian-sambueza,F. Sambueza,M,10,173.0,211,789379,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,586396800.0,"{'value': 230000, 'currency': 'EUR'}",,,,10,False,38.0,29.0,2.0,1.0,0.0,,,85.0,63.0,7.4,21.0,"{'original': 7.4, 'alternative': None}",4.0,3.0,,8.0,8.0,2.0,,,,2.0,2.0,,1.0,6.0,1.0,,1.0,,,2.0,,Atlético Bucaramanga,home,,,,
