name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,fieldTranslations,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,shotOffTarget,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,bigChanceCreated,totalClearance,interceptionWon,totalTackle,keyPass,aerialLost,onTargetScoringAttempt,blockedScoringAttempt,wasFouled,fouls,dispossessed,accurateCross,bigChanceMissed,penaltyWon,goals,outfielderBlock,captain,team,teamType,savedShotsFromInsideTheBox,punches,penaltyConceded,totalOffside
Harlen Castillo,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600.0,"{'value': 330000, 'currency': 'EUR'}",,,,15,False,43.0,35.0,14.0,8.0,0.0,1.0,1.0,3.0,1.0,1.0,90.0,55.0,7.4,8.0,"{'original': 7.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,,
Cristian Uribe,cristian-uribe,C. Uribe,D,,173.0,43,2036740,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1191715200.0,,Cristian Uribe,,,36,False,32.0,22.0,2.0,,0.0,,,,,,90.0,53.0,7.6,12.0,"{'original': 7.6, 'alternative': None}",1.0,1.0,3.0,6.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,,,,,,,,,,,,,Atlético Nacional,home,,,,
Juan Felipe Aguirre,juan-felipe-aguirre,J. F. Aguirre,D,3,186.0,134,925173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,841276800.0,"{'value': 825000, 'currency': 'EUR'}",,,,3,False,47.0,46.0,4.0,4.0,0.0,,,,,,90.0,61.0,7.5,1.0,"{'original': 7.5, 'alternative': None}",,2.0,4.0,3.0,,,,,5.0,2.0,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,Atlético Nacional,home,,,,
William Tesillo,william-tesillo,W. Tesillo,D,16,184.0,315,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800.0,"{'value': 520000, 'currency': 'EUR'}",,,,16,False,63.0,59.0,3.0,2.0,0.0,,,,,,90.0,72.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",,2.0,1.0,3.0,,,,,4.0,1.0,1.0,,,1.0,,,,1.0,,,,,,True,Atlético Nacional,home,,,,
Camilo Cándido,camilo-candido,C. Cándido,D,13,174.0,282,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200.0,"{'value': 1100000, 'currency': 'EUR'}",,,,13,False,29.0,19.0,1.0,,0.0,,,,,,74.0,44.0,7.0,14.0,"{'original': 7, 'alternative': None}",3.0,,1.0,,,,,,,2.0,,3.0,,,,,1.0,,1.0,,,,,,Atlético Nacional,home,,,,
Faber Andrés Gil,faber-andres-gil,F. A. Gil,M,7,178.0,148,831377,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796003200.0,"{'value': 665000, 'currency': 'EUR'}",,,,7,False,20.0,16.0,,,0.0,1.0,,,,,70.0,33.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",1.0,,6.0,5.0,,3.0,1.0,,,,1.0,1.0,,,1.0,3.0,3.0,1.0,,1.0,,,,,Atlético Nacional,home,,,,
Matheus Uribe,mateus-uribe,M. Uribe,M,8,182.0,1810,247773,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,669513600.0,"{'value': 1500000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. أوريبي', 'hi': 'एम. उरीबे', 'bn': 'এম. উরিবে'}}",,8,False,41.0,37.0,4.0,3.0,0.0,,,,,,70.0,52.0,7.5,7.0,"{'original': 7.5, 'alternative': None}",1.0,1.0,6.0,4.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,3.0,1.0,,,1.0,,,,Atlético Nacional,home,,,,
Sebastián Guzmán,sebastian-guzman,S. Guzmán,M,32,177.0,110,924567,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864604800.0,"{'value': 720000, 'currency': 'EUR'}",,,,32,False,79.0,73.0,6.0,3.0,0.0,,,,,,90.0,86.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,1.0,1.0,4.0,,,,,2.0,,2.0,1.0,1.0,,,1.0,,,,,,,,,Atlético Nacional,home,,,,
Billy Arce,billy-arce,B. Arce,M,11,177.0,507,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600.0,"{'value': 680000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",,11,False,23.0,19.0,3.0,2.0,0.0,,,,,,45.0,32.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",2.0,,3.0,2.0,1.0,,,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,Atlético Nacional,home,,,,
Alfredo Morelos,alfredo-morelos,A. Morelos,F,9,177.0,2275,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200.0,"{'value': 2100000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",,9,False,21.0,18.0,,,1.0,3.0,,,,,60.0,30.0,8.3,6.0,"{'original': 8.3, 'alternative': None}",,,2.0,2.0,,1.0,1.0,,,,,3.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,Atlético Nacional,home,,,,
