name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,shotOffTarget,outfielderBlock,totalTackle,wasFouled,fouls,keyPass,onTargetScoringAttempt,interceptionWon,totalCross,wonContest,dispossessed,goals,totalOffside,accurateCross,blockedScoringAttempt,captain,team,teamType,goodHighClaim
Salvador Ichazo,salvador-ichazo,S. Ichazo,G,1,185.0,63,158605,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,696384000.0,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. إشازو', 'hi': 'एस. इचाज़ो', 'bn': 'এস. ইচাজো'}}",,,1,False,23.0,9.0,17.0,3.0,0.0,1.0,2.0,3.0,90.0,30.0,6.4,15.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Walmer Pacheco,walmer-pacheco,W. Pacheco,D,21,172.0,52,819169,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,790214400.0,"{'value': 700000, 'currency': 'EUR'}",,,,21,False,20.0,14.0,6.0,3.0,0.0,2.0,,,90.0,50.0,7.2,13.0,"{'original': 7.2, 'alternative': None}",1.0,1.0,4.0,8.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,,,,,,,,,,,Deportivo Pereira,home,
Julián Bazán,julian-bazan,J. Bazán,D,34,183.0,66,1485232,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1132876800.0,"{'value': 240000, 'currency': 'EUR'}",,,,34,False,22.0,17.0,4.0,2.0,0.0,9.0,,,90.0,40.0,7.4,6.0,"{'original': 7.4, 'alternative': None}",,5.0,2.0,7.0,1.0,1.0,1.0,3.0,1.0,1.0,,,1.0,,,,,,,,,,Deportivo Pereira,home,
José Moya,jose-moya,J. Moya,D,3,184.0,24,285501,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,713145600.0,"{'value': 410000, 'currency': 'EUR'}",,,,3,False,21.0,17.0,2.0,,0.0,3.0,,,90.0,27.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",2.0,1.0,4.0,2.0,,,,1.0,,1.0,2.0,,,1.0,,,,,,,,,Deportivo Pereira,home,
Jeison Suárez,jeison-suarez,J. Suárez,D,26,174.0,33,819096,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,868320000.0,"{'value': 500000, 'currency': 'EUR'}",,,,26,False,17.0,11.0,2.0,1.0,0.0,2.0,,,90.0,26.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,2.0,1.0,3.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,Deportivo Pereira,home,
Kelvin Osorio,kelvin-osorio,K. Osorio,M,33,181.0,29,818997,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,751852800.0,"{'value': 465000, 'currency': 'EUR'}",,,,33,False,13.0,10.0,2.0,1.0,0.0,,,,36.0,16.0,5.4,4.0,"{'original': 5.4, 'alternative': None}",,,2.0,,,,,1.0,,,2.0,,,1.0,1.0,,,,,,,,Deportivo Pereira,home,
Juan David Ríos,juan-david-rios,J. D. Ríos,M,14,173.0,30,829864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686793600.0,"{'value': 470000, 'currency': 'EUR'}",,,,14,False,15.0,13.0,1.0,,0.0,4.0,,,90.0,26.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",1.0,,7.0,4.0,,2.0,,1.0,3.0,,5.0,1.0,,,,1.0,,,,,,,Deportivo Pereira,home,
Adrián Estacio,adrian-estacio,A. Estacio,M,97,178.0,35,931632,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,893030400.0,"{'value': 435000, 'currency': 'EUR'}",,,,97,False,2.0,2.0,1.0,1.0,0.0,,,,45.0,17.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,,3.0,4.0,,1.0,1.0,1.0,3.0,1.0,,,,,1.0,,2.0,,,,,,Deportivo Pereira,home,
Felipe Mosquera,felipe-mosquera,F. Mosquera,F,77,174.0,24,1173951,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023235200.0,"{'value': 240000, 'currency': 'EUR'}",,Felipe Mosquera,,77,False,13.0,11.0,,,0.0,1.0,,,89.0,18.0,7.4,4.0,"{'original': 7.4, 'alternative': None}",1.0,,2.0,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,Deportivo Pereira,home,
Yuber Quiñones,yuber-quinones,Y. Quiñones,M,13,173.0,96,1111115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1034035200.0,"{'value': 385000, 'currency': 'EUR'}",,Yuber Quiñones,,13,False,16.0,13.0,1.0,,0.0,,,,90.0,29.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",,1.0,4.0,4.0,2.0,,3.0,,1.0,2.0,1.0,2.0,1.0,1.0,3.0,,1.0,,,1.0,,,Deportivo Pereira,home,
