name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,interceptionWon,totalTackle,fouls,keyPass,aerialWon,challengeLost,outfielderBlock,totalOffside,wasFouled,dispossessed,blockedScoringAttempt,totalContest,wonContest,onTargetScoringAttempt,goals,shotOffTarget,captain,team,teamType,fieldTranslations,goodHighClaim,errorLeadToAGoal
Ruben Escobar,,,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",12,False,15.0,10.0,8.0,3.0,0.0,2.0,1.0,2.0,90.0,23.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,
Neymar Uribe,Neymar Uribe,,neymar-uribe,N. Uribe,D,27,172.0,32,1977622,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073606400.0,"{'value': 280000, 'currency': 'EUR'}",27,False,26.0,19.0,8.0,5.0,0.0,,,,90.0,48.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,Envigado FC,home,,,
Jhon Gamboa,,,jhon-gamboa,J. Gamboa,D,28,194.0,4,1414723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985046400.0,"{'value': 230000, 'currency': 'EUR'}",28,False,43.0,31.0,11.0,3.0,0.0,,,,90.0,47.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",,,,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,Envigado FC,home,,,
Carlos Ramirez,,,carlos-ramirez,C. Ramirez,D,29,182.0,68,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",29,False,50.0,41.0,11.0,4.0,0.0,,,,90.0,54.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",1.0,,,,2.0,,,,,1.0,,,,1.0,,,,,,,,True,Envigado FC,home,,,
Juan Holguin,,,juan-holguin,J. Holguin,D,3,,10,1939490,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1104796800.0,,3,False,39.0,30.0,5.0,1.0,0.0,1.0,,,90.0,60.0,6.3,17.0,"{'original': 6.3, 'alternative': None}",2.0,,2.0,5.0,,,,1.0,1.0,,,,,,2.0,1.0,,,,,,,Envigado FC,home,,,
Luis Díaz,Luis Díaz,,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,34,False,17.0,15.0,,,0.0,2.0,,,83.0,27.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",1.0,,1.0,3.0,2.0,,,,1.0,2.0,1.0,,,,,2.0,1.0,,,,,,Envigado FC,home,,,
Edison López,,,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",21,False,53.0,46.0,6.0,6.0,0.0,1.0,,,89.0,64.0,7.9,9.0,"{'original': 7.9, 'alternative': None}",1.0,1.0,1.0,5.0,1.0,3.0,,3.0,2.0,,1.0,,,,,,1.0,1.0,2.0,1.0,,,Envigado FC,home,,,
Johan Hinestroza,Johan Hinestroza,,johan-hinestroza,J. Hinestroza,M,14,176.0,11,1106571,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1016064000.0,"{'value': 205000, 'currency': 'EUR'}",14,False,24.0,22.0,3.0,3.0,0.0,,,,56.0,27.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,1.0,2.0,,1.0,1.0,,,,,,1.0,,,,,,,,,Envigado FC,home,,,
Didier Dawson,Didier Dawson,,didier-dawson,D. Dawson,M,7,173.0,46,2048967,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1128902400.0,"{'value': 81000, 'currency': 'EUR'}",7,False,16.0,13.0,2.0,1.0,0.0,1.0,,,56.0,24.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,,,,4.0,,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,Envigado FC,home,,,
Bayron Garcés,,,bayron-garces,B. Garcés,F,11,175.0,148,1017019,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,738720000.0,"{'value': 320000, 'currency': 'EUR'}",11,False,16.0,14.0,,,0.0,,,,83.0,26.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,1.0,2.0,3.0,,1.0,,,,,,,1.0,,,2.0,1.0,,,2.0,,Envigado FC,home,,,
Daniel Arcila,Daniel Arcila,,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,26,False,38.0,36.0,,,0.0,1.0,,,90.0,52.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",4.0,,,2.0,3.0,,,,3.0,1.0,,,,2.0,2.0,,,,,,2.0,,Envigado FC,home,,,
Julián Palacios,Julián Palacio,,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",6,True,18.0,15.0,,,0.0,,,,34.0,21.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",,,,2.0,,2.0,,1.0,,,1.0,,,,,,,,,,,,Envigado FC,home,,,
Carlos Torres,Carlos Torres,,carlos-torres,C. Torres,F,30,,109,1116061,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1035072000.0,"{'value': 320000, 'currency': 'EUR'}",80,True,5.0,4.0,1.0,,0.0,,,,34.0,9.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",1.0,,,,2.0,,,,,1.0,,,,1.0,,,,,,,2.0,,Envigado FC,home,,,
Miguel Marulanda,Miguel Marulanda,,miguel-marulanda,M. Marulanda,M,17,,8,2072991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,38,True,2.0,1.0,,,0.0,,,,14.0,3.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,,1.0,,1.0,,,,,,,,,,,,,,,,Envigado FC,home,,,
