name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,shotOffTarget,wasFouled,fouls,aerialLost,blockedScoringAttempt,outfielderBlock,totalTackle,keyPass,dispossessed,totalContest,onTargetScoringAttempt,goals,interceptionWon,challengeLost,wonContest,totalOffside,captain,team,teamType,goodHighClaim,penaltyConceded
Darío Denis,dario-denis,D. Denis,G,23,186.0,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600.0,"{'value': 105000, 'currency': 'EUR'}",,,,23,False,21.0,18.0,6.0,4.0,0.0,1.0,1.0,3.0,90.0,26.0,7.2,3.0,"{'original': 7.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
José Ampudia,jose-ampudia,J. Ampudia,D,17,175.0,1,1065364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954288000.0,"{'value': 52000, 'currency': 'EUR'}",José Ampudia,,,17,False,33.0,27.0,3.0,1.0,0.0,,,,90.0,51.0,6.7,15.0,"{'original': 6.7, 'alternative': None}",5.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Elian Peralta,elian-peralta,E. Peralta,D,4,,3,1066612,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981590400.0,,Elian Peralta,,,4,False,51.0,46.0,10.0,6.0,0.0,3.0,,,90.0,61.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",,,,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,Boyacá Chicó FC,home,,
Arlen Banguero,arlen-banguero,A. Banguero,D,26,,3,2035889,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953856000.0,,Arlen Banguero,,,26,False,50.0,42.0,3.0,2.0,0.0,3.0,,,90.0,59.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",,,,2.0,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,Boyacá Chicó FC,home,,
Yael López,yael-lopez,Y. López,D,22,178.0,33,971249,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,913852800.0,"{'value': 205000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. لوبيز', 'hi': 'वाए. लोपेज़', 'bn': 'ওয়াই. লোপেজ'}}",22,False,37.0,28.0,2.0,1.0,0.0,,,,90.0,60.0,6.5,17.0,"{'original': 6.5, 'alternative': None}",2.0,1.0,,8.0,5.0,,2.0,3.0,,,,3.0,1.0,1.0,4.0,,,,,,,,Boyacá Chicó FC,home,,
Frank Lozano,frank-lozano,F. Lozano,M,19,175.0,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600.0,"{'value': 340000, 'currency': 'EUR'}",,,,19,False,45.0,39.0,3.0,1.0,0.0,2.0,,,90.0,54.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",,,2.0,4.0,2.0,,,1.0,3.0,,,,,,,2.0,1.0,1.0,,,,True,Boyacá Chicó FC,home,,
Estefáno Arango,estefano-arango,E. Arango,M,24,170.0,35,819034,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758851200.0,"{'value': 195000, 'currency': 'EUR'}",,,,24,False,32.0,23.0,1.0,1.0,0.0,,,,90.0,57.0,7.1,24.0,"{'original': 7.1, 'alternative': None}",11.0,3.0,1.0,3.0,5.0,,2.0,,,,,,3.0,1.0,3.0,,,,1.0,2.0,,,Boyacá Chicó FC,home,,
Edgard Camargo,edgard-camargo,E. Camargo,M,28,181.0,29,1108692,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010102400.0,"{'value': 140000, 'currency': 'EUR'}",Edgard Camargo,,,28,False,24.0,21.0,,,0.0,,,,61.0,30.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",1.0,,,4.0,,,,2.0,,,,,,1.0,2.0,1.0,,,,,,,Boyacá Chicó FC,home,,
Kevin Londoño,kevin-londono,K. Londoño,M,27,180.0,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800.0,"{'value': 440000, 'currency': 'EUR'}",Kevin Londoño,,,8,False,29.0,25.0,1.0,1.0,0.0,2.0,,,82.0,38.0,7.0,5.0,"{'original': 7, 'alternative': None}",1.0,1.0,,2.0,3.0,,1.0,1.0,,1.0,,2.0,2.0,,1.0,,,,,,,,Boyacá Chicó FC,home,,
Vladimir Hernández,vladimir-hernandez,V. Hernández,M,16,160.0,108,47093,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,602899200.0,"{'value': 52000, 'currency': 'EUR'}",,,,16,False,7.0,7.0,,,0.0,,,,24.0,7.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Jairo Molina,jairo-molina,J. Molina,F,9,183.0,66,247931,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 49000, 'currency': 'EUR'}",,,,9,False,7.0,4.0,,,0.0,,,,82.0,14.0,7.0,4.0,"{'original': 7, 'alternative': None}",,,2.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,,,2.0,,,,,,,,2.0,,Boyacá Chicó FC,home,,
Delio Ramírez,delio-ramirez,D. Ramírez,M,10,160.0,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400.0,"{'value': 53000, 'currency': 'EUR'}",,,,10,True,27.0,21.0,2.0,1.0,0.0,,,,66.0,42.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",1.0,,1.0,4.0,6.0,1.0,4.0,,1.0,,,,,2.0,2.0,,,1.0,,1.0,,,Boyacá Chicó FC,home,,
John Sánchez,john-sanchez,J. Sánchez,M,77,168.0,6,829865,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800496000.0,"{'value': 48000, 'currency': 'EUR'}",,,,77,True,5.0,4.0,,,0.0,,,,29.0,6.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,1.0,,,1.0,,Boyacá Chicó FC,home,,
Wilmar Arango,wilmar-arango,W. Arango,M,20,170.0,1,1174981,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,887328000.0,"{'value': 185000, 'currency': 'EUR'}",Wilmar Arango,,,20,True,8.0,6.0,1.0,,0.0,1.0,,,8.0,12.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",2.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Sebastián Colón,sebastian-colon,S. Colón,F,29,177.0,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600.0,,Sebastián Colón,,,29,True,1.0,1.0,,,0.0,,,,8.0,3.0,6.8,,"{'original': 6.8, 'alternative': None}",,,,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,,Boyacá Chicó FC,home,,
Rogerio Caicedo,rogerio-caicedo,R. Caicedo,G,1,187.0,3,942347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729993600.0,"{'value': 97000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Andres Aedo,aedo-andres,A. Aedo,M,6,183.0,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400.0,"{'value': 145000, 'currency': 'EUR'}",Andres Aedo,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Jhonier Negrete,jhonier-negrete,J. Negrete,M,7,,2,2037361,{},EUR,,,Jhonier Negrete,,,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Ruben Escobar,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",,,,12,False,15.0,4.0,12.0,1.0,0.0,,1.0,2.0,90.0,24.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",,,,,1.0,,1.0,,,,,,,,,,,,,,,,Envigado FC,away,1.0,
