name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,totalContest,wonContest,shotOffTarget,totalTackle,wasFouled,fouls,keyPass,clearanceOffLine,outfielderBlock,interceptionWon,totalCross,challengeLost,accurateCross,dispossessed,onTargetScoringAttempt,goals,blockedScoringAttempt,bigChanceCreated,totalOffside,captain,team,teamType,fieldTranslations,ownGoals
Ruben Escobar,,,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",12,False,22.0,10.0,16.0,4.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,90.0,31.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,
Geindry Cuervo,Geindry Cuervo,,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,15,False,14.0,7.0,3.0,1.0,0.0,2.0,7.0,4.0,,,,90.0,33.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",1.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,Envigado FC,home,,
Jhon Gamboa,,,jhon-gamboa,J. Gamboa,D,28,194.0,4,1414723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985046400.0,"{'value': 230000, 'currency': 'EUR'}",28,False,7.0,2.0,4.0,1.0,0.0,4.0,4.0,11.0,,,,90.0,27.0,7.9,7.0,"{'original': 7.9, 'alternative': None}",,,,,1.0,,,,,1.0,4.0,,,,,,,,,,,,Envigado FC,home,,
Didier Palacios,Didier Palacios,,didier-palacios,D. Palacios,D,2,185.0,29,1647753,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1086220800.0,"{'value': 390000, 'currency': 'EUR'}",2,False,15.0,7.0,11.0,4.0,0.0,1.0,3.0,9.0,,,,90.0,28.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,1.0,,,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,Envigado FC,home,,
Emanuel Londoño,Emanuel Londoño,,emanuel-londono,E. Londoño,,33,,9,2063961,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,33,False,14.0,10.0,6.0,3.0,0.0,,2.0,3.0,,,,89.0,32.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",1.0,5.0,,,,2.0,,2.0,,,,,1.0,2.0,,,,,,,,,Envigado FC,home,,
Johan Hinestroza,Johan Hinestroza,,johan-hinestroza,J. Hinestroza,M,14,176.0,11,1106571,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1016064000.0,"{'value': 205000, 'currency': 'EUR'}",14,False,27.0,17.0,12.0,7.0,0.0,,3.0,3.0,,,,90.0,39.0,6.7,13.0,"{'original': 6.7, 'alternative': None}",2.0,4.0,4.0,2.0,,1.0,,,,,,1.0,,,,,,,,,,,Envigado FC,home,,
Julián Palacios,Julián Palacio,,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",6,False,14.0,9.0,4.0,1.0,0.0,,1.0,1.0,,,,90.0,20.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",1.0,3.0,,,,,1.0,2.0,,,,1.0,1.0,,1.0,,,,,,,,Envigado FC,home,,
Carlos Torres,Carlos Torres,,carlos-torres,C. Torres,F,30,,109,1116061,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1035072000.0,"{'value': 320000, 'currency': 'EUR'}",80,False,13.0,12.0,1.0,,0.0,1.0,7.0,,,,,78.0,34.0,7.2,13.0,"{'original': 7.2, 'alternative': None}",,7.0,4.0,2.0,,2.0,2.0,2.0,1.0,,,1.0,2.0,,1.0,3.0,1.0,1.0,,,,,Envigado FC,home,,
Daniel Arcila,Daniel Arcila,,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,26,False,28.0,20.0,6.0,5.0,0.0,3.0,3.0,,,,,78.0,41.0,6.9,16.0,"{'original': 6.9, 'alternative': None}",,2.0,1.0,,,,,,2.0,,,1.0,3.0,,1.0,1.0,,,1.0,,,True,Envigado FC,home,,
Luis Díaz,Luis Díaz,,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,34,False,19.0,13.0,2.0,1.0,1.0,3.0,5.0,1.0,,,,89.0,31.0,7.8,8.0,"{'original': 7.8, 'alternative': None}",2.0,5.0,,,1.0,1.0,1.0,3.0,1.0,,2.0,1.0,,,,,,,,1.0,2.0,,Envigado FC,home,,
Santiago Londono,Santiago Londoño,,londono-santiago,S. Londoño,F,9,184.0,191,1508614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1204243200.0,,19,False,13.0,8.0,,,0.0,,1.0,1.0,,,,64.0,23.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,2.0,,,1.0,1.0,,2.0,1.0,,,,2.0,,1.0,,,,,,1.0,,Envigado FC,home,,
Bayron Garcés,,,bayron-garces,B. Garcés,F,11,175.0,148,1017019,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,738720000.0,"{'value': 320000, 'currency': 'EUR'}",11,True,5.0,3.0,1.0,1.0,0.0,,,,,,,26.0,6.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,1.0,,,,,,1.0,,,,,,,,,,,,,,,Envigado FC,home,,
Nilzo Ramírez,,,nilzo-ramirez,N. Ramírez,M,16,170.0,20,1831399,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115078400.0,,16,True,4.0,3.0,,,0.0,,2.0,,,,,12.0,6.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,2.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,Envigado FC,home,,
Didier Dawson,Didier Dawson,,didier-dawson,D. Dawson,M,7,173.0,46,2048967,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1128902400.0,"{'value': 81000, 'currency': 'EUR'}",7,True,4.0,3.0,,,0.0,,1.0,1.0,,,,12.0,10.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,Envigado FC,home,,
Juan Jose Catano,Juan José Cataño,,juan-jose-catano,J. J. Cataño,M,20,173.0,24,2039310,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1211328000.0,,20,True,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,
Juan Quejada,Juan Quejada,,juan-quejada,J. Quejada,,37,,2,2125636,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,37,True,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,
Andrés Tovar,Andrés Tovar,,andres-tovar,A. Tovar,G,88,188.0,64,1388644,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1143244800.0,"{'value': 320000, 'currency': 'EUR'}",88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,
Edison López,,,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,
William Cuesta,,,william-cuesta,W. Cuesta,G,1,195.0,24,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000.0,"{'value': 270000, 'currency': 'EUR'}",1,False,16.0,11.0,5.0,,0.0,,,,,,,90.0,19.0,5.7,5.0,"{'original': 5.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,
Yhorman Hurtado,,,hurtado-yhorman,Y. Hurtado,D,26,170.0,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600.0,"{'value': 535000, 'currency': 'EUR'}",26,False,40.0,27.0,7.0,4.0,0.0,2.0,4.0,1.0,,,,90.0,68.0,6.4,24.0,"{'original': 6.4, 'alternative': None}",3.0,4.0,,,,1.0,1.0,,2.0,,,,3.0,,1.0,1.0,,,,,,,Deportes Tolima,away,,
Marlon Torres,,,marlon-torres,M. Torres,D,17,180.0,44,869990,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829699200.0,"{'value': 590000, 'currency': 'EUR'}",17,False,52.0,45.0,9.0,6.0,0.0,,2.0,4.0,,,,90.0,64.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,1.0,,,,1.0,1.0,1.0,,,,2.0,,,,,,,1.0,,,,Deportes Tolima,away,,1.0
Fabián Mosquera,,,fabian-mosquera,F. Mosquera,M,19,177.0,13,870084,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794188800.0,"{'value': 235000, 'currency': 'EUR'}",19,False,31.0,26.0,2.0,1.0,0.0,,3.0,4.0,,,,90.0,42.0,6.2,5.0,"{'original': 6.2, 'alternative': None}",,,,,,2.0,1.0,,,,,,,,,,,,1.0,,,,Deportes Tolima,away,,1.0
Samuel Velásquez,Samuel Velásquez,,samuel-velasquez,S. Velásquez,D,33,174.0,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400.0,"{'value': 770000, 'currency': 'EUR'}",33,False,30.0,24.0,3.0,1.0,0.0,,4.0,4.0,,,,90.0,58.0,6.4,15.0,"{'original': 6.4, 'alternative': None}",,4.0,,,,4.0,,2.0,,,,,7.0,1.0,2.0,1.0,,,,,,,Deportes Tolima,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",
Jersson González,,,jersson-gonzalez,J. González,M,7,172.0,89,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000.0,"{'value': 955000, 'currency': 'EUR'}",7,False,21.0,16.0,2.0,2.0,0.0,,4.0,,,,,65.0,36.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",,4.0,3.0,1.0,1.0,,3.0,1.0,,,,,5.0,1.0,1.0,,,,,,,,Deportes Tolima,away,,
Juan Pablo Nieto,,,juan-pablo-nieto,J. P. Nieto,M,15,178.0,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400.0,"{'value': 470000, 'currency': 'EUR'}",15,False,42.0,36.0,4.0,3.0,0.0,,5.0,,,,,90.0,53.0,7.3,8.0,"{'original': 7.3, 'alternative': None}",3.0,3.0,,,,,5.0,,2.0,,,3.0,1.0,,,,1.0,,,,,True,Deportes Tolima,away,,
Cristian Trujillo,,,cristian-trujillo,C. Trujillo,M,6,174.0,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800.0,"{'value': 580000, 'currency': 'EUR'}",6,False,46.0,32.0,10.0,3.0,0.0,1.0,2.0,,,,,90.0,50.0,6.3,16.0,"{'original': 6.3, 'alternative': None}",2.0,3.0,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,Deportes Tolima,away,,
Kevin Pérez,,,kevin-perez,K. Pérez,M,18,170.0,40,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000.0,"{'value': 605000, 'currency': 'EUR'}",18,False,30.0,26.0,5.0,4.0,1.0,,2.0,,,,,83.0,47.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",2.0,9.0,3.0,,,1.0,1.0,1.0,2.0,,,,3.0,1.0,1.0,2.0,1.0,,1.0,,,,Deportes Tolima,away,,
