name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,dispossessed,totalContest,onTargetScoringAttempt,interceptionWon,wasFouled,fouls,keyPass,aerialWon,totalTackle,blockedScoringAttempt,outfielderBlock,wonContest,bigChanceMissed,shotOffTarget,goals,penaltyWon,bigChanceCreated,totalOffside,challengeLost,captain,team,teamType,penaltyConceded,savedShotsFromInsideTheBox
Aldair Quintana,aldair-quintana,A. Quintana,G,1,194.0,154,844584,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800.0,"{'value': 930000, 'currency': 'EUR'}",,,,1,False,24.0,21.0,7.0,4.0,0.0,1.0,1.0,1.0,1.0,90.0,28.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,
Aldair Gutiérrez,aldair-gutierrez,A. Gutiérrez,D,19,176.0,66,857498,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,898041600.0,"{'value': 490000, 'currency': 'EUR'}",,,,19,False,54.0,42.0,17.0,12.0,1.0,1.0,,,,90.0,79.0,7.5,17.0,"{'original': 7.5, 'alternative': None}",4.0,3.0,1.0,9.0,1.0,1.0,1.0,1.0,4.0,1.0,6.0,2.0,,,,,,,,,,,,,,Atlético Bucaramanga,home,,
Carlos Romaña,carlos-romana,C. Romaña,D,23,187.0,42,933442,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942192000.0,"{'value': 475000, 'currency': 'EUR'}",,,,23,False,38.0,30.0,6.0,6.0,0.0,1.0,,,,90.0,47.0,7.3,11.0,"{'original': 7.3, 'alternative': None}",1.0,,1.0,3.0,5.0,,1.0,,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,Atlético Bucaramanga,home,,
Carlos Henao,carlos-henao,C. Henao,D,29,187.0,65,822085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,597110400.0,"{'value': 105000, 'currency': 'EUR'}",,,,29,False,46.0,37.0,7.0,3.0,0.0,4.0,,,,90.0,62.0,7.5,10.0,"{'original': 7.5, 'alternative': None}",,,1.0,3.0,5.0,,,1.0,3.0,,2.0,,3.0,2.0,1.0,1.0,,,,,,,,,,Atlético Bucaramanga,home,,
Fredy Hinestroza,fredy-hinestroza,F. Hinestroza,D,8,178.0,94,249075,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,639273600.0,"{'value': 360000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. هينستروزا', 'hi': 'एफ. हिनेस्ट्रोज़ा', 'bn': 'এফ. হিনেস্ট্রোজা'}}",8,False,48.0,44.0,3.0,2.0,0.0,3.0,,,,90.0,62.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",1.0,,,,2.0,,2.0,,1.0,,,1.0,,,,,2.0,,,,,,,,,Atlético Bucaramanga,home,,
Frank Castañeda,frank-castaneda,F. Castañeda,M,70,171.0,241,923112,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,774403200.0,"{'value': 465000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. كاستانيدا', 'hi': 'एफ. कास्टेनेडा', 'bn': 'এফ. কাস্টেনেডা'}}",70,False,29.0,21.0,2.0,2.0,0.0,,,,,78.0,51.0,8.1,13.0,"{'original': 8.1, 'alternative': None}",5.0,2.0,,3.0,4.0,,2.0,4.0,1.0,3.0,1.0,1.0,1.0,,2.0,,,1.0,1.0,1.0,1.0,,,,,Atlético Bucaramanga,home,,
Edwin Castro,edwin-castro,E. Castro,M,22,183.0,86,339719,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698630400.0,"{'value': 210000, 'currency': 'EUR'}",,,,22,False,33.0,28.0,5.0,4.0,0.0,1.0,,,,79.0,42.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",,,1.0,1.0,4.0,,1.0,,,1.0,,2.0,1.0,1.0,,,1.0,,,,,,,,True,Atlético Bucaramanga,home,,
Leonardo Flores,leonardo-flores,L. Flores,M,28,176.0,186,874451,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,807580800.0,"{'value': 385000, 'currency': 'EUR'}",,,,28,False,41.0,33.0,6.0,5.0,0.0,2.0,,,,67.0,49.0,7.6,11.0,"{'original': 7.6, 'alternative': None}",2.0,,,2.0,2.0,1.0,,1.0,,,1.0,2.0,1.0,1.0,,,,,,1.0,,,,,,Atlético Bucaramanga,home,,
Kevin Londoño,kevin-londono,K. Londoño,F,7,180.0,142,1104827,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,754012800.0,"{'value': 420000, 'currency': 'EUR'}",,,,7,False,21.0,16.0,3.0,2.0,0.0,2.0,,,,79.0,39.0,6.9,15.0,"{'original': 6.9, 'alternative': None}",2.0,,1.0,2.0,3.0,,2.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,Atlético Bucaramanga,home,,
Andrés Ibargüen,andres-ibarguen,A. Ibargüen,F,92,168.0,176,805024,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,705196800.0,"{'value': 365000, 'currency': 'EUR'}",,,,92,False,36.0,31.0,2.0,1.0,0.0,,,,,66.0,49.0,7.4,8.0,"{'original': 7.4, 'alternative': None}",1.0,,,1.0,8.0,1.0,4.0,,1.0,1.0,,,2.0,1.0,,,4.0,,1.0,,,,,,,Atlético Bucaramanga,home,,
Luciano Pons,luciano-pons,L. Pons,F,27,180.0,1312,940264,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,640396800.0,"{'value': 315000, 'currency': 'EUR'}",,,,27,False,18.0,15.0,1.0,1.0,1.0,,,,,90.0,32.0,9.0,7.0,"{'original': 9, 'alternative': None}",,,3.0,4.0,4.0,1.0,1.0,2.0,,3.0,,3.0,,,,,1.0,,2.0,1.0,,1.0,1.0,,,Atlético Bucaramanga,home,,
Jhon Vásquez,jhon-vasquez,Jhon Vásquez,F,11,176.0,98,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200.0,"{'value': 580000, 'currency': 'EUR'}",,,,11,True,11.0,9.0,2.0,2.0,0.0,,,,,24.0,16.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",3.0,,,,,,,2.0,,,,,,,,,,1.0,,1.0,,,,,,Atlético Bucaramanga,home,,
