name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,duelWon,challengeLost,shotOffTarget,outfielderBlock,interceptionWon,wasFouled,totalContest,totalTackle,fouls,aerialWon,keyPass,accurateCross,dispossessed,wonContest,blockedScoringAttempt,totalOffside,onTargetScoringAttempt,captain,team,teamType,goodHighClaim,goals
Darío Denis,dario-denis,D. Denis,G,23,186.0,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600.0,"{'value': 105000, 'currency': 'EUR'}",,,23,False,21.0,14.0,17.0,10.0,0.0,1.0,2.0,4.0,90.0,28.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
José Ampudia,jose-ampudia,J. Ampudia,D,17,175.0,1,1065364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954288000.0,"{'value': 52000, 'currency': 'EUR'}",José Ampudia,,17,False,12.0,9.0,,,0.0,4.0,,,81.0,35.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Elian Peralta,elian-peralta,E. Peralta,D,4,,3,1066612,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981590400.0,,Elian Peralta,,4,False,35.0,18.0,19.0,5.0,0.0,5.0,,,90.0,52.0,6.8,19.0,"{'original': 6.8, 'alternative': None}",,5.0,7.0,6.0,,,3.0,,1.0,1.0,5.0,1.0,,,,,,,,,,Boyacá Chicó FC,home,,
Kevin Riascos,kevin-riascos,K. Riascos,D,2,188.0,16,986979,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,803692800.0,"{'value': 140000, 'currency': 'EUR'}",,,2,False,15.0,8.0,5.0,2.0,0.0,3.0,,,45.0,21.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,,,4.0,,,,1.0,,,1.0,,3.0,,,,,,,,,Boyacá Chicó FC,home,,
Juan Ojeda,juan-ojeda,J. Ojeda,D,30,188.0,9,822796,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,891648000.0,"{'value': 110000, 'currency': 'EUR'}",,,30,False,31.0,23.0,9.0,3.0,0.0,1.0,,,90.0,36.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,1.0,1.0,3.0,,,,,,,2.0,,1.0,1.0,,,,,,,,Boyacá Chicó FC,home,,
Eduardo Banguero,eduardo-banguero,E. Banguero,D,22,177.0,14,963284,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981244800.0,"{'value': 410000, 'currency': 'EUR'}",,,22,False,26.0,22.0,5.0,5.0,0.0,4.0,,,90.0,66.0,6.7,19.0,"{'original': 6.7, 'alternative': None}",10.0,,4.0,3.0,,1.0,1.0,1.0,1.0,3.0,,,1.0,,1.0,2.0,1.0,2.0,,,,Boyacá Chicó FC,home,,
Frank Lozano,frank-lozano,F. Lozano,M,19,175.0,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600.0,"{'value': 340000, 'currency': 'EUR'}",,,19,False,24.0,19.0,2.0,1.0,0.0,1.0,,,90.0,37.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",,1.0,1.0,4.0,,,2.0,1.0,2.0,,1.0,,1.0,,,,,,,,True,Boyacá Chicó FC,home,,
Wilmar Arango,wilmar-arango,W. Arango,M,20,170.0,1,1174981,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,887328000.0,"{'value': 185000, 'currency': 'EUR'}",Wilmar Arango,,20,False,21.0,18.0,3.0,3.0,0.0,,,,62.0,29.0,7.0,4.0,"{'original': 7, 'alternative': None}",3.0,,,2.0,,,,,1.0,,1.0,,,1.0,2.0,,,,,,,Boyacá Chicó FC,home,,
Andres Aedo,aedo-andres,A. Aedo,M,6,183.0,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400.0,"{'value': 145000, 'currency': 'EUR'}",Andres Aedo,,6,False,27.0,17.0,5.0,2.0,0.0,1.0,,,81.0,30.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",,2.0,4.0,3.0,,,1.0,,,,1.0,2.0,2.0,,,,,,,,,Boyacá Chicó FC,home,,
Vladimir Hernández,vladimir-hernandez,V. Hernández,M,16,160.0,108,47093,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,602899200.0,"{'value': 52000, 'currency': 'EUR'}",,,16,False,16.0,16.0,2.0,2.0,0.0,1.0,,,90.0,24.0,7.0,2.0,"{'original': 7, 'alternative': None}",,1.0,4.0,4.0,,,,,4.0,,,2.0,,3.0,,1.0,,,1.0,,,Boyacá Chicó FC,home,,
Hassan Vergara,hassan-vergara,H. Vergara,F,99,185.0,11,988798,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923097600.0,"{'value': 110000, 'currency': 'EUR'}",,,99,False,12.0,8.0,,,0.0,1.0,,,90.0,23.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",,5.0,7.0,9.0,,,,,4.0,,,1.0,5.0,1.0,,1.0,,1.0,1.0,1.0,,Boyacá Chicó FC,home,,
Delio Ramírez,delio-ramirez,D. Ramírez,M,10,160.0,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400.0,"{'value': 53000, 'currency': 'EUR'}",,,10,True,10.0,5.0,3.0,,0.0,1.0,,,45.0,22.0,6.4,11.0,"{'original': 6.4, 'alternative': None}",2.0,,,3.0,,,,,3.0,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Edgard Camargo,edgard-camargo,E. Camargo,M,28,181.0,29,1108692,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010102400.0,"{'value': 140000, 'currency': 'EUR'}",Edgard Camargo,,28,True,4.0,1.0,1.0,,0.0,1.0,,,28.0,6.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,,,,1.0,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
