name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,dispossessed,outfielderBlock,totalTackle,challengeLost,totalContest,onTargetScoringAttempt,totalClearance,fouls,keyPass,aerialLost,shotOffTarget,interceptionWon,wonContest,blockedScoringAttempt,wasFouled,bigChanceCreated,goals,totalOffside,captain,team,teamType,fieldTranslations,totalKeeperSweeper,accurateKeeperSweeper
Jordan García,Jordan García,,jordan-garcia,J. García,G,12,184.0,76,1478317,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119225600.0,"{'value': 420000, 'currency': 'EUR'}",12,False,33.0,18.0,18.0,3.0,0.0,1.0,1.0,1.0,3.0,5.0,90.0,43.0,7.1,15.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,
Diego Ruiz,,,diego-ruiz,D. Ruiz,D,30,,3,974032,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,875750400.0,"{'value': 205000, 'currency': 'EUR'}",30,False,39.0,34.0,7.0,3.0,0.0,3.0,4.0,,,,90.0,60.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,
Sebastian Ramirez,,,ramirez-sebastian,S. Ramirez,D,21,,26,1839958,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1157155200.0,,21,False,17.0,16.0,2.0,1.0,0.0,1.0,1.0,,,,53.0,21.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,3.0,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,Fortaleza CEIF,home,,,
Stalin Valencia,Stalin Valencia,,stalin-valencia,S. Valencia,D,4,180.0,55,1095708,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1065744000.0,"{'value': 380000, 'currency': 'EUR'}",4,False,54.0,49.0,8.0,3.0,0.0,,1.0,,,,90.0,60.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,,1.0,,,1.0,,,,4.0,1.0,1.0,,,,,,,,,,,Fortaleza CEIF,home,,,
Santiago Cuero,Santiago Cuero,,santiago-cuero,S. Cuero,D,15,179.0,36,1478347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1091145600.0,"{'value': 340000, 'currency': 'EUR'}",15,False,24.0,22.0,6.0,4.0,0.0,1.0,5.0,,,,90.0,45.0,7.0,9.0,"{'original': 7, 'alternative': None}",1.0,,3.0,,,4.0,,1.0,,3.0,,,2.0,1.0,1.0,,,,,,,,Fortaleza CEIF,home,,,
David Barrera,,,david-barrera,D. Barrera,M,25,,7,1489813,{},EUR,,,25,False,49.0,35.0,15.0,7.0,0.0,5.0,9.0,,,,90.0,69.0,7.2,21.0,"{'original': 7.2, 'alternative': None}",7.0,2.0,5.0,,,2.0,,2.0,1.0,,1.0,1.0,3.0,,2.0,1.0,1.0,1.0,,,,,Fortaleza CEIF,home,,,
Leonardo Pico,,,leonardo-pico,L. Pico,M,14,177.0,24,820043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686534400.0,"{'value': 205000, 'currency': 'EUR'}",14,False,58.0,55.0,11.0,9.0,1.0,,4.0,,,,90.0,70.0,7.8,5.0,"{'original': 7.8, 'alternative': None}",,,2.0,1.0,,,,2.0,,,1.0,2.0,,1.0,3.0,2.0,,2.0,1.0,,,True,Fortaleza CEIF,home,,,
Jhoiner Salas,,,jhoiner-salas,J. Salas,M,24,,13,1612110,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1065571200.0,,24,False,13.0,9.0,1.0,,0.0,1.0,3.0,,,,82.0,31.0,6.2,18.0,"{'original': 6.2, 'alternative': None}",5.0,,11.0,5.0,,,1.0,2.0,,1.0,4.0,1.0,,1.0,,1.0,,1.0,,,,,Fortaleza CEIF,home,,,
David Camacho,,,david-camacho,D. Camacho,M,22,188.0,26,879886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866073600.0,"{'value': 390000, 'currency': 'EUR'}",22,False,22.0,15.0,1.0,1.0,0.0,1.0,2.0,,,,82.0,34.0,7.4,14.0,"{'original': 7.4, 'alternative': None}",5.0,1.0,5.0,1.0,,1.0,1.0,,2.0,,2.0,,1.0,,,,,,,1.0,,,Fortaleza CEIF,home,,,
Emilio Aristizábal,Emilio Aristizábal,,aristizabal-emilio,E. Aristizábal,F,19,187.0,205,1517148,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1123200000.0,"{'value': 385000, 'currency': 'EUR'}",19,False,14.0,11.0,1.0,1.0,0.0,,1.0,,,,71.0,20.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,3.0,,1.0,,,3.0,1.0,,,,1.0,,,1.0,,,,,,,Fortaleza CEIF,home,,,
Luis Sánchez,,,luis-sanchez,L. Sánchez,M,10,171.0,96,963525,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,969235200.0,"{'value': 425000, 'currency': 'EUR'}",10,False,32.0,28.0,3.0,2.0,0.0,,2.0,,,,71.0,46.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",3.0,2.0,2.0,,,,,,,,1.0,2.0,1.0,,1.0,,1.0,2.0,,,,,Fortaleza CEIF,home,,,
Yesid Díaz,,,yesid-diaz,Y. Díaz,D,6,191.0,15,974309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400.0,"{'value': 410000, 'currency': 'EUR'}",6,True,15.0,10.0,7.0,3.0,0.0,1.0,3.0,,,,37.0,20.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,1.0,,1.0,2.0,,,,1.0,1.0,,,,1.0,,,,,,,,Fortaleza CEIF,home,,,
Andrés Ricaurte,,,andres-ricaurte,A. Ricaurte,M,8,182.0,115,285527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686448000.0,"{'value': 270000, 'currency': 'EUR'}",8,True,16.0,12.0,1.0,1.0,0.0,,,,,,19.0,17.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,
Carlos Gonzalez,Carlos Gonzalez,,carlos-gonzalez,C. Gonzalez,F,29,,15,1086939,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952128000.0,,29,True,7.0,6.0,,,0.0,,,,,,19.0,11.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,Fortaleza CEIF,home,,,
Kelvin Florez,Kelvin Florez,,kelvin-florez,K. Florez,M,16,177.0,25,1388938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076112000.0,"{'value': 195000, 'currency': 'EUR'}",16,True,7.0,4.0,,,0.0,,,,,,8.0,8.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,1.0,,,,,,,,,,,1.0,,Fortaleza CEIF,home,,,
Ronaldo Pájaro,Ronaldo Pájaro,,ronaldo-pajaro,R. Pájaro,M,13,172.0,36,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400.0,"{'value': 855000, 'currency': 'EUR'}",13,True,5.0,4.0,,,0.0,,,,,,8.0,5.0,6.2,1.0,"{'original': 6.2, 'alternative': None}",,,1.0,,,,,,,,1.0,,,,,,,,,,,,Fortaleza CEIF,home,,,
Michael Barragán,Michael Barragán,,michael-barragan,M. Barragán,G,32,190.0,8,1628444,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1085788800.0,,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,
Enmanuel Arrechea,Enmanuel Arrechea,,enmanuel-arrechea,E. Arrechea,D,17,178.0,9,1994982,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115424000.0,,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,
