name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,outfielderBlock,fouls,keyPass,challengeLost,shotOffTarget,totalTackle,dispossessed,interceptionWon,totalContest,onTargetScoringAttempt,blockedScoringAttempt,wonContest,totalOffside,goals,captain,team,teamType,fieldTranslations,punches,accurateCross
Juan Castillo,Juan Castillo,,juan-castillo,J. Castillo,G,1,191.0,68,1175004,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042416000.0,"{'value': 830000, 'currency': 'EUR'}",1,False,15.0,11.0,8.0,4.0,0.0,1.0,1.0,1.0,2.0,4.0,90.0,28.0,7.6,5.0,"{'original': 7.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,
Cristián Mosquera,Cristián Mosquera,,cristian-mosquera,C. Mosquera,D,27,172.0,5,1174901,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976060800.0,"{'value': 260000, 'currency': 'EUR'}",27,False,21.0,14.0,1.0,,0.0,2.0,1.0,,,,45.0,33.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",1.0,2.0,2.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,Fortaleza CEIF,home,,,
Yesid Díaz,,,yesid-diaz,Y. Díaz,D,6,191.0,14,974309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400.0,"{'value': 410000, 'currency': 'EUR'}",6,False,58.0,45.0,16.0,9.0,0.0,4.0,2.0,,,,90.0,71.0,7.2,18.0,"{'original': 7.2, 'alternative': None}",1.0,,1.0,2.0,,1.0,,1.0,1.0,3.0,,,,,,,,,,Fortaleza CEIF,home,,,
Harold Balanta,Harold Balanta,,harold-balanta,H. Balanta,D,18,180.0,7,1129436,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890006400.0,"{'value': 110000, 'currency': 'EUR'}",18,False,25.0,23.0,2.0,1.0,0.0,6.0,3.0,3.0,,,90.0,35.0,7.1,2.0,"{'original': 7.1, 'alternative': None}",,,,1.0,,1.0,,,,3.0,,,,,,,,,,Fortaleza CEIF,home,,,
Stalin Valencia,Stalin Valencia,,stalin-valencia,S. Valencia,D,4,180.0,55,1095708,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1065744000.0,"{'value': 380000, 'currency': 'EUR'}",4,False,35.0,30.0,2.0,2.0,0.0,2.0,1.0,1.0,,,90.0,48.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",,,,2.0,,,,1.0,,1.0,1.0,4.0,,,,,,,,Fortaleza CEIF,home,,,
Luis Sánchez,,,luis-sanchez,L. Sánchez,M,10,171.0,96,963525,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,969235200.0,"{'value': 425000, 'currency': 'EUR'}",10,False,26.0,22.0,5.0,2.0,0.0,1.0,,1.0,,,64.0,40.0,7.0,11.0,"{'original': 7, 'alternative': None}",1.0,,,3.0,,1.0,3.0,,,,,,2.0,1.0,,,,,,Fortaleza CEIF,home,,,
Leonardo Pico,,,leonardo-pico,L. Pico,M,14,177.0,24,820043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686534400.0,"{'value': 205000, 'currency': 'EUR'}",14,False,55.0,48.0,5.0,3.0,0.0,1.0,1.0,,,,90.0,58.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",,1.0,,3.0,,,,1.0,,1.0,1.0,,,,,,,,,Fortaleza CEIF,home,,,
Ronaldo Pájaro,Ronaldo Pájaro,,ronaldo-pajaro,R. Pájaro,M,13,172.0,35,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400.0,"{'value': 855000, 'currency': 'EUR'}",13,False,37.0,30.0,1.0,,0.0,1.0,1.0,,,,90.0,47.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,1.0,,,,,2.0,,,,True,Fortaleza CEIF,home,,,
Kelvin Florez,Kelvin Florez,,kelvin-florez,K. Florez,M,16,177.0,25,1388938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076112000.0,"{'value': 195000, 'currency': 'EUR'}",16,False,8.0,8.0,,,0.0,3.0,,2.0,,,64.0,21.0,6.3,6.0,"{'original': 6.3, 'alternative': None}",,,,4.0,,,,,,,,,5.0,,,1.0,,,,Fortaleza CEIF,home,,,
Santiago Córdoba,,,santiago-cordoba,S. Córdoba,F,9,186.0,117,1096223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,863654400.0,"{'value': 340000, 'currency': 'EUR'}",9,False,24.0,17.0,1.0,1.0,0.0,3.0,1.0,,,,78.0,35.0,6.6,12.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,3.0,2.0,,,,,1.0,,,,1.0,,1.0,,1.0,,,Fortaleza CEIF,home,,,
Andrés Ricaurte,,,andres-ricaurte,A. Ricaurte,M,8,182.0,115,285527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686448000.0,"{'value': 270000, 'currency': 'EUR'}",8,False,29.0,23.0,3.0,2.0,0.0,3.0,,3.0,,,78.0,46.0,6.9,15.0,"{'original': 6.9, 'alternative': None}",5.0,1.0,,5.0,,3.0,2.0,,2.0,,1.0,,,,,,,,,Fortaleza CEIF,home,,,
Santiago Cuero,Santiago Cuero,,santiago-cuero,S. Cuero,D,15,179.0,36,1478347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1091145600.0,"{'value': 340000, 'currency': 'EUR'}",15,True,13.0,11.0,,,0.0,2.0,,1.0,,,45.0,24.0,7.5,5.0,"{'original': 7.5, 'alternative': None}",,,,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,,Fortaleza CEIF,home,,,
Sebastian Ramirez,,,ramirez-sebastian,S. Ramirez,D,21,,26,1839958,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1157155200.0,,21,True,11.0,10.0,1.0,1.0,0.0,2.0,,,,,26.0,16.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",2.0,,,1.0,,1.0,,,,2.0,,,,,,,1.0,,,Fortaleza CEIF,home,,,
