name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,bigChanceCreated,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,totalOffside,keyPass,aerialLost,challengeLost,totalContest,wonContest,outfielderBlock,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,goals,dispossessed,shotOffTarget,bigChanceMissed,captain,team,teamType,fieldTranslations,totalKeeperSweeper,accurateKeeperSweeper
Jordan García,Jordan García,,jordan-garcia,J. García,G,12,184.0,76,1478317,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119225600.0,"{'value': 420000, 'currency': 'EUR'}",12,False,33.0,15.0,23.0,5.0,0.0,1.0,1.0,1.0,2.0,2.0,90.0,40.0,7.0,19.0,"{'original': 7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,
Cristián Mosquera,Cristián Mosquera,,cristian-mosquera,C. Mosquera,D,27,172.0,5,1174901,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976060800.0,"{'value': 260000, 'currency': 'EUR'}",27,False,22.0,18.0,2.0,2.0,2.0,2.0,4.0,,,,90.0,42.0,8.4,10.0,"{'original': 8.4, 'alternative': None}",2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,Fortaleza CEIF,home,,,
Yesid Díaz,,,yesid-diaz,Y. Díaz,D,6,191.0,15,974309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400.0,"{'value': 410000, 'currency': 'EUR'}",6,False,50.0,39.0,18.0,11.0,0.0,,1.0,,,,90.0,53.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",,2.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,Fortaleza CEIF,home,,,
Harold Balanta,Harold Balanta,,harold-balanta,H. Balanta,D,18,180.0,7,1129436,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890006400.0,"{'value': 110000, 'currency': 'EUR'}",18,False,34.0,30.0,3.0,1.0,0.0,,2.0,,,,68.0,40.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,1.0,,3.0,,,2.0,,,,1.0,,,,1.0,,,,,,,,,Fortaleza CEIF,home,,,
Diego Ruiz,,,diego-ruiz,D. Ruiz,D,30,,3,974032,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,875750400.0,"{'value': 205000, 'currency': 'EUR'}",30,False,18.0,18.0,3.0,3.0,0.0,,3.0,,,,85.0,43.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",7.0,1.0,,4.0,1.0,3.0,,1.0,,1.0,,,,,,2.0,,,,,,,,Fortaleza CEIF,home,,,
David Camacho,,,david-camacho,D. Camacho,M,22,188.0,26,879886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866073600.0,"{'value': 390000, 'currency': 'EUR'}",22,False,21.0,17.0,2.0,2.0,1.0,,4.0,,,,90.0,31.0,8.7,4.0,"{'original': 8.7, 'alternative': None}",,1.0,,3.0,1.0,4.0,,1.0,2.0,3.0,,,,,,,1.0,1.0,1.0,,,,,Fortaleza CEIF,home,,,
Leonardo Pico,,,leonardo-pico,L. Pico,M,14,177.0,24,820043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686534400.0,"{'value': 205000, 'currency': 'EUR'}",14,False,40.0,34.0,1.0,,0.0,,1.0,,,,90.0,46.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,4.0,,1.0,1.0,1.0,,2.0,,,1.0,,,,,,,,,1.0,,,,Fortaleza CEIF,home,,,
Ronaldo Pájaro,Ronaldo Pájaro,,ronaldo-pajaro,R. Pájaro,M,13,172.0,36,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400.0,"{'value': 855000, 'currency': 'EUR'}",13,False,32.0,28.0,1.0,1.0,0.0,,2.0,,,,82.0,40.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",,3.0,,,1.0,1.0,1.0,2.0,,1.0,,1.0,,,2.0,,,,,1.0,1.0,,True,Fortaleza CEIF,home,,,
Kelvin Florez,Kelvin Florez,,kelvin-florez,K. Florez,M,16,177.0,25,1388938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076112000.0,"{'value': 195000, 'currency': 'EUR'}",16,False,23.0,14.0,2.0,,0.0,,5.0,,,,90.0,45.0,7.4,15.0,"{'original': 7.4, 'alternative': None}",1.0,11.0,1.0,1.0,1.0,2.0,1.0,1.0,,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,5.0,1.0,,,Fortaleza CEIF,home,,,
Luis Sánchez,,,luis-sanchez,L. Sánchez,M,10,171.0,96,963525,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,969235200.0,"{'value': 425000, 'currency': 'EUR'}",10,False,32.0,29.0,2.0,1.0,0.0,,5.0,,,,85.0,53.0,7.4,14.0,"{'original': 7.4, 'alternative': None}",2.0,7.0,,,1.0,1.0,4.0,2.0,,,1.0,,2.0,,,,1.0,,1.0,2.0,1.0,,,Fortaleza CEIF,home,,,
