name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,wasFouled,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,dispossessed,totalContest,blockedScoringAttempt,totalClearance,totalTackle,fouls,shotOffTarget,interceptionWon,keyPass,wonContest,accurateCross,challengeLost,onTargetScoringAttempt,outfielderBlock,goals,bigChanceCreated,totalOffside,captain,team,teamType,savedShotsFromInsideTheBox,punches,totalKeeperSweeper,accurateKeeperSweeper
Andres Perez,andres-perez,A. Perez,G,12,180.0,5,1177555,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,926035200.0,"{'value': 49000, 'currency': 'EUR'}",,,,12,False,27.0,17.0,16.0,6.0,0.0,1.0,1.0,1.0,2.0,90.0,34.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
Yair Joao Abonia Vasquez,yair-abonia,J. Abonia,D,13,170.0,9,1175080,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949968000.0,"{'value': 310000, 'currency': 'EUR'}",Yair Joao,Abonia Vásquez,,13,False,20.0,13.0,,,0.0,5.0,1.0,,,87.0,49.0,6.7,18.0,"{'original': 6.7, 'alternative': None}",6.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
Guillermo Tegüe,guillermo-tegue,G. Tegüe,D,4,186.0,8,906007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949795200.0,"{'value': 315000, 'currency': 'EUR'}",,,,4,False,35.0,28.0,4.0,2.0,0.0,7.0,,,,90.0,48.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,1.0,6.0,2.0,,1.0,,9.0,1.0,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
Miguel Amaya,miguel-amaya,M. Amaya,,20,,5,2048968,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,Miguel Amaya,,,20,False,16.0,15.0,3.0,2.0,0.0,1.0,,,,45.0,23.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,2.0,,,,,1.0,2.0,1.0,2.0,,,,,,,,,,,Deportivo La Equidad,home,,,,
Brayan Montaño,brayan-montano,B. Montaño,D,24,176.0,25,1003376,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1020297600.0,"{'value': 340000, 'currency': 'EUR'}",,,,24,False,31.0,22.0,8.0,2.0,0.0,2.0,1.0,,,90.0,45.0,6.4,13.0,"{'original': 6.4, 'alternative': None}",,,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
Felipe Acosta,felipe-acosta,F. Acosta,M,14,190.0,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000.0,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,26.0,21.0,1.0,,0.0,4.0,,,,61.0,37.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",,,1.0,3.0,1.0,,1.0,1.0,3.0,2.0,1.0,,1.0,,,,,,,,,,Deportivo La Equidad,home,,,,
Santiago Orozco,santiago-orozco,S. Orozco,M,6,172.0,8,1016205,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,826934400.0,"{'value': 270000, 'currency': 'EUR'}",,,,6,False,55.0,46.0,13.0,9.0,0.0,5.0,3.0,,,90.0,68.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",1.0,,,3.0,,2.0,,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,Deportivo La Equidad,home,,,,
Samir Mayo,mayo-samir,S. Mayo,M,16,,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800.0,"{'value': 335000, 'currency': 'EUR'}",,,,16,False,30.0,24.0,3.0,,0.0,3.0,2.0,,,90.0,54.0,7.0,18.0,"{'original': 7, 'alternative': None}",7.0,,,4.0,2.0,2.0,,1.0,,,,2.0,3.0,1.0,2.0,1.0,1.0,,,,,,Deportivo La Equidad,home,,,,
Andres Correa,andres-correa,A. Correa,D,3,174.0,10,329607,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,759801600.0,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,23.0,17.0,3.0,2.0,0.0,2.0,1.0,,,90.0,48.0,7.0,13.0,"{'original': 7, 'alternative': None}",8.0,1.0,1.0,2.0,,,1.0,,,1.0,1.0,,1.0,,2.0,,,2.0,,,,True,Deportivo La Equidad,home,,,,
Ayron Del Valle,ayron-del-valle,A. D. Valle,F,7,178.0,97,47735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,601862400.0,"{'value': 160000, 'currency': 'EUR'}",,,,7,False,25.0,22.0,,,0.0,2.0,1.0,,,61.0,45.0,7.4,13.0,"{'original': 7.4, 'alternative': None}",6.0,1.0,1.0,6.0,2.0,2.0,,,,1.0,2.0,,1.0,,2.0,,1.0,,1.0,,,,Deportivo La Equidad,home,,,,
Renan Oliveira,renan-oliveira,R. Oliveira,F,9,186.0,263,888598,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863049600.0,"{'value': 575000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. أوليفيرا', 'hi': 'आर. ओलिवेरा', 'bn': 'আর. অলিভেইরা'}}",9,False,17.0,14.0,1.0,1.0,1.0,2.0,,,,74.0,25.0,7.4,6.0,"{'original': 7.4, 'alternative': None}",,4.0,,5.0,1.0,1.0,,,1.0,,2.0,,2.0,1.0,,,,,,1.0,2.0,,Deportivo La Equidad,home,,,,
Daniel Polanco,daniel-polanco,D. Polanco,D,2,,5,1170892,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400.0,,Daniel Polanco,,,2,True,8.0,7.0,1.0,,0.0,,,,,45.0,9.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
Sebastián Tamara,sebastian-tamara,S. Tamara,M,8,173.0,15,825757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831686400.0,"{'value': 365000, 'currency': 'EUR'}",,,,8,True,9.0,7.0,1.0,1.0,0.0,2.0,,,,29.0,14.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",1.0,,,1.0,,,,,2.0,1.0,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
Wilmar Cruz,wilmar-cruz,W. Cruz,F,10,171.0,31,925131,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,743731200.0,"{'value': 260000, 'currency': 'EUR'}",,,,10,True,5.0,5.0,,,0.0,4.0,2.0,,,29.0,13.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",2.0,2.0,1.0,4.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
Beckham Castro,beckham-castro,B. Castro,F,11,176.0,129,1173560,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1063324800.0,"{'value': 760000, 'currency': 'EUR'}",Beckham Castro,,,11,True,5.0,3.0,1.0,,0.0,1.0,,,,16.0,10.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,,1.0,1.0,1.0,,,,,3.0,,1.0,1.0,,,,,,,,,Deportivo La Equidad,home,,,,
Santiago Gómez,santiago-gomez,S. Gómez,D,21,180.0,3,929690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,896227200.0,"{'value': 205000, 'currency': 'EUR'}",,,,21,True,2.0,,,,0.0,,,,,8.0,5.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,2.0,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
Cristopher Varela,cristopher-varela,C. Varela,G,1,189.0,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800.0,"{'value': 400000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
Santiago Lopez,lopez-santiago,S. López,M,8,,10,1512397,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013212800.0,,Santiago López,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
