name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalContest,wonContest,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,blockedScoringAttempt,totalClearance,outfielderBlock,totalTackle,wasFouled,fouls,keyPass,aerialWon,interceptionWon,aerialLost,dispossessed,challengeLost,shotOffTarget,onTargetScoringAttempt,totalOffside,hitWoodwork,captain,team,teamType,savedShotsFromInsideTheBox,punches
Juan Castillo,Juan Castillo,,juan-castillo,J. Castillo,G,1,191.0,68,1175004,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042416000.0,"{'value': 830000, 'currency': 'EUR'}",1,False,21.0,19.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,90.0,31.0,7.1,2.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,
Cristián Mosquera,Cristián Mosquera,,cristian-mosquera,C. Mosquera,D,27,172.0,5,1174901,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976060800.0,"{'value': 260000, 'currency': 'EUR'}",27,False,39.0,35.0,1.0,1.0,0.0,3.0,,,,,90.0,63.0,7.7,13.0,"{'original': 7.7, 'alternative': None}",5.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,,,,,,,,,,,Fortaleza CEIF,home,,
Yesid Díaz,,,yesid-diaz,Y. Díaz,D,6,191.0,14,974309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400.0,"{'value': 410000, 'currency': 'EUR'}",6,False,101.0,91.0,8.0,7.0,0.0,4.0,,,,,90.0,115.0,7.9,11.0,"{'original': 7.9, 'alternative': None}",1.0,,2.0,,3.0,1.0,2.0,,2.0,,2.0,3.0,,,,,,,,,Fortaleza CEIF,home,,
Stalin Valencia,Stalin Valencia,,stalin-valencia,S. Valencia,D,4,180.0,55,1095708,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1065744000.0,"{'value': 380000, 'currency': 'EUR'}",4,False,74.0,67.0,10.0,9.0,0.0,5.0,2.0,1.0,,,90.0,87.0,7.3,11.0,"{'original': 7.3, 'alternative': None}",,,5.0,,2.0,1.0,1.0,1.0,2.0,,2.0,,1.0,1.0,,,,,,,Fortaleza CEIF,home,,
Santiago Cuero,Santiago Cuero,,santiago-cuero,S. Cuero,D,15,179.0,36,1478347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1091145600.0,"{'value': 340000, 'currency': 'EUR'}",15,False,23.0,19.0,2.0,1.0,0.0,2.0,3.0,1.0,,,72.0,44.0,6.6,14.0,"{'original': 6.6, 'alternative': None}",4.0,,5.0,,1.0,,,1.0,,,,1.0,2.0,1.0,,,,,,,Fortaleza CEIF,home,,
Ronaldo Pájaro,Ronaldo Pájaro,,ronaldo-pajaro,R. Pájaro,M,13,172.0,35,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400.0,"{'value': 855000, 'currency': 'EUR'}",13,False,72.0,68.0,2.0,1.0,0.0,3.0,,,,,90.0,79.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,True,Fortaleza CEIF,home,,
Leonardo Pico,,,leonardo-pico,L. Pico,M,14,177.0,24,820043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686534400.0,"{'value': 205000, 'currency': 'EUR'}",14,False,61.0,56.0,3.0,3.0,0.0,3.0,,,,,90.0,69.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,,6.0,1.0,1.0,,2.0,1.0,,,,,1.0,2.0,3.0,1.0,,,,,Fortaleza CEIF,home,,
Luis Sánchez,,,luis-sanchez,L. Sánchez,M,10,171.0,96,963525,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,969235200.0,"{'value': 425000, 'currency': 'EUR'}",10,False,51.0,44.0,2.0,1.0,0.0,3.0,1.0,,,,82.0,64.0,7.0,17.0,"{'original': 7, 'alternative': None}",6.0,,2.0,,,,2.0,,,,1.0,,,,1.0,,,,,,Fortaleza CEIF,home,,
Andrés Ricaurte,,,andres-ricaurte,A. Ricaurte,M,8,182.0,115,285527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686448000.0,"{'value': 270000, 'currency': 'EUR'}",8,False,40.0,34.0,3.0,1.0,0.0,1.0,,,,,60.0,49.0,7.0,12.0,"{'original': 7, 'alternative': None}",4.0,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,1.0,,,,Fortaleza CEIF,home,,
Kelvin Florez,Kelvin Florez,,kelvin-florez,K. Florez,M,16,177.0,25,1388938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076112000.0,"{'value': 195000, 'currency': 'EUR'}",16,False,18.0,14.0,1.0,1.0,0.0,2.0,1.0,,,,60.0,31.0,7.0,9.0,"{'original': 7, 'alternative': None}",2.0,1.0,3.0,,,,,1.0,,1.0,1.0,,2.0,,,1.0,1.0,1.0,,,Fortaleza CEIF,home,,
