name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,duelWon,dispossessed,totalContest,wonContest,bigChanceCreated,shotOffTarget,totalTackle,fouls,keyPass,outfielderBlock,interceptionWon,wasFouled,totalOffside,aerialWon,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,challengeLost,bigChanceMissed,captain,team,teamType,fieldTranslations
Jordan García,Jordan García,,jordan-garcia,J. García,G,12,184.0,76,1478317,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119225600.0,"{'value': 420000, 'currency': 'EUR'}",12,False,30.0,12.0,27.0,9.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,90.0,36.0,7.2,18.0,"{'original': 7.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,
Cristián Mosquera,Cristián Mosquera,,cristian-mosquera,C. Mosquera,D,27,172.0,5,1174901,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976060800.0,"{'value': 260000, 'currency': 'EUR'}",27,False,22.0,17.0,5.0,2.0,0.0,1.0,,,,,,90.0,43.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,Fortaleza CEIF,home,
Sebastian Ramirez,,,ramirez-sebastian,S. Ramirez,D,21,,26,1839958,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1157155200.0,,21,False,18.0,15.0,4.0,1.0,0.0,5.0,,,,,,90.0,29.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",,,1.0,3.0,,,,,,2.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,Fortaleza CEIF,home,
Harold Balanta,Harold Balanta,,harold-balanta,H. Balanta,D,18,180.0,7,1129436,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890006400.0,"{'value': 110000, 'currency': 'EUR'}",18,False,16.0,12.0,8.0,4.0,0.0,4.0,,,,,,90.0,23.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,Fortaleza CEIF,home,
Diego Ruiz,,,diego-ruiz,D. Ruiz,D,30,,3,974032,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,875750400.0,"{'value': 205000, 'currency': 'EUR'}",30,False,20.0,14.0,7.0,2.0,0.0,6.0,,,,,,90.0,44.0,7.0,16.0,"{'original': 7, 'alternative': None}",4.0,2.0,2.0,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,Fortaleza CEIF,home,
David Camacho,,,david-camacho,D. Camacho,M,22,188.0,26,879886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866073600.0,"{'value': 390000, 'currency': 'EUR'}",22,False,16.0,15.0,1.0,,0.0,,,,,,,66.0,25.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",1.0,,2.0,1.0,1.0,,,,,1.0,1.0,1.0,,2.0,,,,1.0,,,,,,Fortaleza CEIF,home,
Leonardo Pico,,,leonardo-pico,L. Pico,M,14,177.0,24,820043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686534400.0,"{'value': 205000, 'currency': 'EUR'}",14,False,20.0,18.0,1.0,,0.0,,,,,,,90.0,22.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,Fortaleza CEIF,home,
Ronaldo Pájaro,Ronaldo Pájaro,,ronaldo-pajaro,R. Pájaro,M,13,172.0,36,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400.0,"{'value': 855000, 'currency': 'EUR'}",13,False,26.0,21.0,4.0,2.0,0.0,1.0,,,,,,90.0,37.0,7.5,6.0,"{'original': 7.5, 'alternative': None}",1.0,,1.0,2.0,,,,,1.0,1.0,1.0,2.0,,1.0,1.0,,,,3.0,1.0,,,True,Fortaleza CEIF,home,
Jhon Martínez,Jhon Martínez,,jhon-martinez,J. Martínez,F,7,186.0,29,1628440,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1129766400.0,,7,False,21.0,16.0,1.0,,0.0,1.0,,,,,,65.0,30.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",2.0,2.0,4.0,2.0,,1.0,,,,1.0,1.0,3.0,,1.0,,,1.0,1.0,,,,,,Fortaleza CEIF,home,
Luis Sánchez,,,luis-sanchez,L. Sánchez,M,10,171.0,96,963525,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,969235200.0,"{'value': 425000, 'currency': 'EUR'}",10,False,19.0,14.0,1.0,1.0,0.0,,,,,,,82.0,33.0,6.4,15.0,"{'original': 6.4, 'alternative': None}",,,7.0,2.0,4.0,3.0,1.0,,1.0,,,,,1.0,,,1.0,,,,1.0,,,Fortaleza CEIF,home,
Santiago Córdoba,,,santiago-cordoba,S. Córdoba,F,9,186.0,105,1096223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,863654400.0,"{'value': 340000, 'currency': 'EUR'}",9,False,14.0,11.0,1.0,,0.0,,,,,,,82.0,20.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,3.0,3.0,2.0,,,,,,,,1.0,,1.0,,,2.0,,1.0,1.0,,1.0,,Fortaleza CEIF,home,
Jhoiner Salas,,,jhoiner-salas,J. Salas,M,24,,13,1612110,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1065571200.0,,24,True,5.0,3.0,,,0.0,,,,,,,25.0,10.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,1.0,2.0,,1.0,,,,,,,,,2.0,,,,,,,,,Fortaleza CEIF,home,
Kelvin Florez,Kelvin Florez,,kelvin-florez,K. Florez,M,16,177.0,25,1388938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076112000.0,"{'value': 195000, 'currency': 'EUR'}",16,True,7.0,3.0,,,0.0,1.0,,,,,,24.0,14.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,,3.0,,2.0,2.0,,,,,,,1.0,,,1.0,,,1.0,,,,Fortaleza CEIF,home,
Santiago Cuero,Santiago Cuero,,santiago-cuero,S. Cuero,D,15,179.0,36,1478347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1091145600.0,"{'value': 340000, 'currency': 'EUR'}",15,True,5.0,2.0,2.0,,0.0,,,,,,,8.0,5.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,1.0,1.0,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,
