name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,totalClearance,totalTackle,fouls,aerialLost,totalContest,shotOffTarget,hitWoodwork,interceptionWon,challengeLost,onTargetScoringAttempt,outfielderBlock,bigChanceCreated,goals,keyPass,dispossessed,wasFouled,accurateCross,wonContest,blockedScoringAttempt,totalOffside,bigChanceMissed,captain,team,teamType,punches
Andrés Mosquera,andres-mosquera,A. Mosquera,G,1,186.0,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800.0,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",,,1,False,37.0,17.0,25.0,7.0,0.0,1.0,1.0,1.0,3.0,3.0,90.0,44.0,7.5,20.0,"{'original': 7.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,
Elvis Perlaza,elvis-perlaza,E. Perlaza,D,22,172.0,41,285361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,605232000.0,"{'value': 160000, 'currency': 'EUR'}",,,,22,False,13.0,10.0,3.0,2.0,0.0,,1.0,,,,35.0,22.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,
Emanuel Olivera,emanuel-olivera,E. Olivera,D,18,180.0,53,129500,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,639014400.0,"{'value': 470000, 'currency': 'EUR'}",,,,18,False,24.0,17.0,6.0,2.0,0.0,4.0,5.0,,,,90.0,40.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",,5.0,8.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,Independiente Santa Fe,home,
Victor Moreno,victor-moreno,V. Moreno,D,3,180.0,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400.0,"{'value': 540000, 'currency': 'EUR'}",,,,3,False,19.0,16.0,2.0,,0.0,2.0,3.0,,,,90.0,30.0,7.0,4.0,"{'original': 7, 'alternative': None}",,5.0,3.0,1.0,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,Independiente Santa Fe,home,
Christian Mafla,christian-mafla,C. Mafla,D,32,175.0,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000.0,"{'value': 240000, 'currency': 'EUR'}",,,,32,False,21.0,16.0,5.0,2.0,0.0,,,,,,90.0,42.0,8.0,12.0,"{'original': 8, 'alternative': None}",3.0,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,Independiente Santa Fe,home,
Yilmar Velázquez,yilmar-velazquez,Y. Velázquez,M,20,185.0,66,975633,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,935193600.0,"{'value': 930000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. فيلازكويز', 'hi': 'वाए. वेलाज़क्वेज़', 'bn': 'ওয়াই. ভেলাজকুয়েজ'}}",,,20,False,19.0,16.0,1.0,,0.0,,2.0,,,,58.0,30.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,5.0,,2.0,4.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,Independiente Santa Fe,home,
Ewil Murillo,renteria-ewil-hernando-murillo,E. Murillo,M,21,180.0,31,1088687,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,961545600.0,"{'value': 380000, 'currency': 'EUR'}",,,,21,False,19.0,12.0,1.0,1.0,0.0,,8.0,,,,90.0,37.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",,11.0,2.0,7.0,4.0,2.0,2.0,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,Independiente Santa Fe,home,
Alexis Zapata,alexis-zapata,A. Zapata,M,10,179.0,106,353296,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800064000.0,"{'value': 670000, 'currency': 'EUR'}",,,,10,False,19.0,12.0,1.0,,0.0,,1.0,,,,75.0,30.0,6.6,15.0,"{'original': 6.6, 'alternative': None}",7.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,Independiente Santa Fe,home,
Harold Santiago Mosquera,harold-mosquera,H. S. Mosquera,F,23,168.0,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200.0,"{'value': 680000, 'currency': 'EUR'}",,,,23,False,22.0,17.0,1.0,1.0,0.0,,4.0,,,,74.0,38.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",3.0,6.0,,1.0,,3.0,5.0,,,,,,1.0,,,1.0,1.0,,1.0,3.0,2.0,,,,Independiente Santa Fe,home,
Omar Fernández,omar-fernandez,O. Fernández,M,8,166.0,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800.0,"{'value': 945000, 'currency': 'EUR'}",,,,8,False,24.0,16.0,1.0,1.0,0.0,,1.0,,,,74.0,29.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",1.0,,,1.0,,,,,,,,1.0,,,,2.0,,,,,1.0,1.0,,,Independiente Santa Fe,home,
Hugo Rodallega,hugo-rodallega,H. Rodallega,F,11,181.0,916,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600.0,"{'value': 48000, 'currency': 'EUR'}",,,,11,False,16.0,13.0,2.0,2.0,0.0,1.0,4.0,,,,90.0,30.0,7.8,8.0,"{'original': 7.8, 'alternative': None}",,1.0,,1.0,,,1.0,,,,,1.0,1.0,,1.0,2.0,,2.0,,,,,,True,Independiente Santa Fe,home,
Yeicar Perlaza,yeicar-perlaza,Y. Perlaza,D,27,180.0,36,1106547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043366400.0,,,Yaicar Perlaza,,27,True,7.0,4.0,4.0,2.0,0.0,2.0,7.0,,,,55.0,21.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",1.0,2.0,2.0,3.0,1.0,,1.0,,,1.0,1.0,,,,,,,1.0,,1.0,,,,,Independiente Santa Fe,home,
Daniel Torres,daniel-torres,D. Torres,M,16,186.0,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200.0,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",,,16,True,12.0,10.0,1.0,1.0,0.0,,1.0,,,,32.0,18.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,Independiente Santa Fe,home,
Jeison Angulo,jeison-angulo,J. Angulo,D,24,182.0,43,589390,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835833600.0,"{'value': 310000, 'currency': 'EUR'}",,,,24,True,2.0,1.0,1.0,,0.0,,,,,,16.0,5.0,6.2,2.0,"{'original': 6.2, 'alternative': None}",,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,Independiente Santa Fe,home,
Ángelo Rodríguez,angelo-rodriguez,Á. Rodríguez,F,9,182.0,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200.0,"{'value': 265000, 'currency': 'EUR'}",,,,9,True,2.0,1.0,,,1.0,,,,,,16.0,5.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,2.0,,,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,,Independiente Santa Fe,home,
Omar Albornoz,omar-albornoz,O. Albornoz,M,80,173.0,46,805030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812246400.0,"{'value': 515000, 'currency': 'EUR'}",,,,80,True,4.0,1.0,2.0,1.0,0.0,,1.0,,,,15.0,7.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,Independiente Santa Fe,home,
Andrés Mehring,andres-mehring,A. Mehring,G,,191.0,24,332773,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,766713600.0,"{'value': 275000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,
Ivan Scarpeta,ivan-scarpetta,I. Scarpeta,D,15,180.0,32,1021384,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833932800.0,"{'value': 425000, 'currency': 'EUR'}",,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,
Juan Castillo,juan-castillo,J. Castillo,G,1,191.0,69,1175004,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042416000.0,"{'value': 830000, 'currency': 'EUR'}",,Juan Castillo,,1,False,13.0,10.0,5.0,3.0,0.0,,,,,2.0,90.0,21.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,1.0,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,1.0
Diego Ruiz,diego-ruiz,D. Ruiz,D,30,,3,974032,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,875750400.0,"{'value': 205000, 'currency': 'EUR'}",,,,30,False,27.0,18.0,4.0,1.0,0.0,,2.0,,,,90.0,56.0,6.6,16.0,"{'original': 6.6, 'alternative': None}",6.0,2.0,3.0,2.0,,,1.0,,,2.0,1.0,,,,,2.0,,,2.0,,,1.0,,,Fortaleza CEIF,away,
Yesid Díaz,yesid-diaz,Y. Díaz,D,6,191.0,15,974309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400.0,"{'value': 410000, 'currency': 'EUR'}",,,,6,False,55.0,44.0,14.0,5.0,0.0,1.0,1.0,,,,90.0,77.0,6.7,16.0,"{'original': 6.7, 'alternative': None}",,2.0,13.0,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,Fortaleza CEIF,away,
Stalin Valencia,stalin-valencia,S. Valencia,D,4,180.0,55,1095708,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1065744000.0,"{'value': 380000, 'currency': 'EUR'}",,Stalin Valencia,,4,False,32.0,25.0,8.0,2.0,0.0,,,,,,90.0,41.0,6.1,8.0,"{'original': 6.1, 'alternative': None}",,5.0,7.0,,3.0,,,,,,1.0,,,,,,1.0,,,,,,,,Fortaleza CEIF,away,
Santiago Cuero,santiago-cuero,S. Cuero,D,15,179.0,36,1478347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1091145600.0,"{'value': 340000, 'currency': 'EUR'}",,Santiago Cuero,,15,False,22.0,18.0,4.0,2.0,0.0,1.0,2.0,,,,90.0,45.0,6.7,13.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,,,2.0,,,,1.0,1.0,,,,Fortaleza CEIF,away,
Luis Sánchez,luis-sanchez,L. Sánchez,M,10,171.0,96,963525,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,969235200.0,"{'value': 425000, 'currency': 'EUR'}",,,,10,False,32.0,23.0,3.0,,0.0,1.0,3.0,,,,73.0,45.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,,,,,,1.0,,,,,,,,1.0,1.0,2.0,,,1.0,1.0,,,Fortaleza CEIF,away,
Leonardo Pico,leonardo-pico,L. Pico,M,14,177.0,24,820043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686534400.0,"{'value': 205000, 'currency': 'EUR'}",,,,14,False,61.0,54.0,2.0,1.0,0.0,,5.0,,,,90.0,80.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",,3.0,,2.0,,,4.0,,,3.0,,,,,,,,2.0,,1.0,1.0,,,,Fortaleza CEIF,away,
Ronaldo Pájaro,ronaldo-pajaro,R. Pájaro,M,13,172.0,36,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400.0,"{'value': 855000, 'currency': 'EUR'}",,Ronaldo Pájaro,,13,False,31.0,27.0,1.0,,0.0,,6.0,,,,45.0,42.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,1.0,,3.0,,1.0,,,,1.0,,,2.0,,,,,3.0,,,1.0,,,True,Fortaleza CEIF,away,
Jhoiner Salas,jhoiner-salas,J. Salas,M,24,,13,1612110,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1065571200.0,,,,,24,False,15.0,11.0,,,0.0,,4.0,,,,76.0,32.0,6.3,14.0,"{'original': 6.3, 'alternative': None}",2.0,7.0,,1.0,,2.0,5.0,,,,,,,,,,1.0,2.0,,1.0,,1.0,,,Fortaleza CEIF,away,
Santiago Córdoba,santiago-cordoba,S. Córdoba,F,9,186.0,105,1096223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,863654400.0,"{'value': 340000, 'currency': 'EUR'}",,,,9,False,12.0,8.0,,,0.0,4.0,5.0,,,,63.0,19.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,2.0,,,1.0,,1.0,2.0,,,,,,,,1.0,,1.0,,,1.0,2.0,,,Fortaleza CEIF,away,
Emilio Aristizábal,aristizabal-emilio,E. Aristizábal,F,19,187.0,205,1517148,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1123200000.0,"{'value': 385000, 'currency': 'EUR'}",,Emilio Aristizábal,,19,False,21.0,19.0,1.0,1.0,0.0,,7.0,,,,90.0,39.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",,7.0,,2.0,,3.0,6.0,,,1.0,,,,,,3.0,2.0,1.0,,4.0,,,,,Fortaleza CEIF,away,
David Barrera,david-barrera,D. Barrera,M,25,,7,1489813,{},EUR,,,,,,25,True,46.0,42.0,3.0,2.0,0.0,1.0,3.0,,,,45.0,56.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",,2.0,1.0,1.0,,,1.0,1.0,,2.0,,,,,,1.0,1.0,1.0,,,,,,,Fortaleza CEIF,away,
Carlos Gonzalez,carlos-gonzalez,C. Gonzalez,F,29,,15,1086939,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952128000.0,,,Carlos Gonzalez,,29,True,6.0,3.0,1.0,,0.0,2.0,2.0,,,,27.0,11.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",,5.0,,,1.0,3.0,,1.0,,,1.0,3.0,1.0,,,,,,,,,1.0,,,Fortaleza CEIF,away,
David Camacho,david-camacho,D. Camacho,M,22,188.0,26,879886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866073600.0,"{'value': 390000, 'currency': 'EUR'}",,,,22,True,7.0,6.0,,,0.0,,2.0,,,,17.0,13.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",2.0,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,Fortaleza CEIF,away,
Andrés Ricaurte,andres-ricaurte,A. Ricaurte,M,8,182.0,115,285527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686448000.0,"{'value': 270000, 'currency': 'EUR'}",,,,8,True,11.0,11.0,,,0.0,,,,,,14.0,15.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",2.0,1.0,,,,,,1.0,,,,,,,,2.0,1.0,,1.0,,,,,,Fortaleza CEIF,away,
Michael Barragán,michael-barragan,M. Barragán,G,32,190.0,8,1628444,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1085788800.0,,,Michael Barragán,,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,
Cristián Mosquera,cristian-mosquera,C. Mosquera,D,27,172.0,5,1174901,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976060800.0,"{'value': 260000, 'currency': 'EUR'}",,Cristián Mosquera,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,
Edilson Cabeza,edilson-cabeza,E. Cabeza,D,3,178.0,7,1066553,{},EUR,1026086400.0,,,Edilson Cabeza,,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,
