name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,outfielderBlock,aerialLost,keyPass,aerialWon,dispossessed,shotOffTarget,onTargetScoringAttempt,goals,totalOffside,accurateCross,challengeLost,penaltyWon,blockedScoringAttempt,bigChanceCreated,captain,team,teamType,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
Santiago Mele,santiago-mele,S. Mele,G,25,182.0,607,846421,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,873504000.0,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. ميلي', 'hi': 'एस. मेले', 'bn': 'এস. মেলে'}}",,,77,False,25.0,20.0,9.0,4.0,0.0,1.0,2.0,90.0,30.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,,
Jhomier Guerrero,jhomier-guerrero,J. Guerrero,D,34,170.0,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400.0,"{'value': 485000, 'currency': 'EUR'}",,Jhomier Guerrero,,34,False,38.0,30.0,4.0,1.0,0.0,,,90.0,62.0,6.8,15.0,"{'original': 6.8, 'alternative': None}",1.0,6.0,7.0,4.0,1.0,3.0,1.0,4.0,2.0,3.0,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,,
Christian Javier Báez,christian-javier-baez,C. J. Báez,D,66,180.0,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200.0,"{'value': 290000, 'currency': 'EUR'}",,,,66,False,45.0,31.0,14.0,3.0,0.0,,,90.0,55.0,6.5,15.0,"{'original': 6.5, 'alternative': None}",,,1.0,,,5.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,,
Daniel Rivera,daniel-rivera,D. Rivera,D,5,184.0,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000.0,"{'value': 775000, 'currency': 'EUR'}",,Daniel Rivera,,5,False,41.0,36.0,5.0,2.0,0.0,,,90.0,52.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,3.0,1.0,1.0,,4.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,Junior Barranquilla,home,,,,,
Edwin Herrera,edwin-herrera,E. Herrera,D,3,170.0,69,931354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904694400.0,"{'value': 730000, 'currency': 'EUR'}",,,,3,False,46.0,39.0,4.0,1.0,0.0,,,90.0,64.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",4.0,1.0,2.0,1.0,,2.0,3.0,2.0,,,,,1.0,,,,,,,,,,,,,Junior Barranquilla,home,,,,,
Didier Moreno,didier-moreno,D. Moreno,M,6,177.0,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800.0,"{'value': 520000, 'currency': 'EUR'}",,,,6,False,41.0,36.0,3.0,2.0,0.0,,,90.0,50.0,7.5,6.0,"{'original': 7.5, 'alternative': None}",,5.0,2.0,,,2.0,2.0,1.0,,3.0,,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,Junior Barranquilla,home,,,,,
Yimmi Chará,yimmi-chara,Y. Chará,M,8,169.0,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400.0,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",,,8,False,40.0,33.0,2.0,1.0,0.0,,,85.0,47.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",,,2.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,Junior Barranquilla,home,,,,,
Teófilo Gutiérrez,teofilo-gutierrez,T. Gutiérrez,F,29,177.0,796,47099,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,485136000.0,"{'value': 52000, 'currency': 'EUR'}",,,,29,False,45.0,36.0,2.0,2.0,0.0,,,75.0,57.0,7.0,14.0,"{'original': 7, 'alternative': None}",2.0,3.0,4.0,1.0,,,1.0,1.0,3.0,2.0,,,2.0,,1.0,1.0,,,1.0,1.0,,,,,,Junior Barranquilla,home,,,,,
Bryan Castrillón,bryan-castrillon,B. Castrillón,F,88,169.0,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000.0,"{'value': 485000, 'currency': 'EUR'}",,,,88,False,22.0,19.0,1.0,,0.0,,,75.0,33.0,7.0,5.0,"{'original': 7, 'alternative': None}",1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,3.0,,,,,1.0,,,,,Junior Barranquilla,home,,,,,
Jordan Barrera,jordan-andres-barrera-herrera,J. Barrera,M,7,175.0,509,1899902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1144713600.0,"{'value': 235000, 'currency': 'EUR'}",,Jordan Andres,Barrera Herrera,7,False,30.0,23.0,2.0,1.0,0.0,,,65.0,46.0,7.3,17.0,"{'original': 7.3, 'alternative': None}",5.0,4.0,6.0,2.0,1.0,,,1.0,1.0,3.0,,,1.0,3.0,,,1.0,,,,,1.0,,,,Junior Barranquilla,home,,,,,
