name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalTackle,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,shotOffTarget,interceptionWon,fouls,wasFouled,aerialWon,dispossessed,totalContest,onTargetScoringAttempt,totalClearance,keyPass,wonContest,outfielderBlock,accurateCross,blockedScoringAttempt,hitWoodwork,totalOffside,challengeLost,captain,team,teamType,fieldTranslations,bigChanceCreated,savedShotsFromInsideTheBox,goals
Jordan García,Jordan García,,jordan-garcia,J. García,G,12,184.0,76,1478317,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119225600.0,"{'value': 420000, 'currency': 'EUR'}",12,False,38.0,26.0,16.0,5.0,0.0,1.0,1.0,6.0,90.0,54.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Cristián Mosquera,Cristián Mosquera,,cristian-mosquera,C. Mosquera,D,27,172.0,5,1174901,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976060800.0,"{'value': 260000, 'currency': 'EUR'}",27,False,48.0,41.0,4.0,1.0,0.0,2.0,2.0,,90.0,64.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",1.0,3.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Sebastian Ramirez,,,ramirez-sebastian,S. Ramirez,D,21,,26,1839958,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1157155200.0,,21,False,20.0,17.0,3.0,1.0,0.0,2.0,1.0,,40.0,25.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,,1.0,,1.0,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Ronaldo Pájaro,Ronaldo Pájaro,,ronaldo-pajaro,R. Pájaro,M,13,172.0,36,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400.0,"{'value': 855000, 'currency': 'EUR'}",13,False,71.0,63.0,5.0,4.0,0.0,4.0,1.0,,90.0,89.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",1.0,2.0,9.0,1.0,5.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,,,,,,,,True,Fortaleza CEIF,home,,,,
Harold Balanta,Harold Balanta,,harold-balanta,H. Balanta,D,18,180.0,7,1129436,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890006400.0,"{'value': 110000, 'currency': 'EUR'}",18,False,55.0,51.0,1.0,1.0,0.0,4.0,1.0,,90.0,63.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,,1.0,,,1.0,2.0,,,1.0,,2.0,,1.0,2.0,,,,,,,Fortaleza CEIF,home,,,,
Enmanuel Arrechea,Enmanuel Arrechea,,enmanuel-arrechea,E. Arrechea,D,17,178.0,9,1994982,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115424000.0,,17,False,36.0,28.0,2.0,,0.0,4.0,3.0,,90.0,62.0,6.1,17.0,"{'original': 6.1, 'alternative': None}",2.0,,7.0,1.0,,2.0,,1.0,2.0,3.0,,2.0,,,,1.0,,,,,,Fortaleza CEIF,home,,,,
David Barrera,,,david-barrera,D. Barrera,M,25,,7,1489813,{},EUR,,,25,False,30.0,24.0,2.0,2.0,0.0,2.0,,,70.0,44.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",3.0,,4.0,1.0,,,2.0,,3.0,1.0,,,2.0,,,1.0,1.0,1.0,,,,Fortaleza CEIF,home,,,,
Leonardo Pico,,,leonardo-pico,L. Pico,M,14,177.0,24,820043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686534400.0,"{'value': 205000, 'currency': 'EUR'}",14,False,33.0,29.0,,,0.0,1.0,,,70.0,37.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,1.0,,3.0,1.0,,,,1.0,,,,1.0,,,,,,,,Fortaleza CEIF,home,,,,
Luis Sánchez,,,luis-sanchez,L. Sánchez,M,10,171.0,96,963525,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,969235200.0,"{'value': 425000, 'currency': 'EUR'}",11,False,24.0,23.0,1.0,,0.0,3.0,1.0,,70.0,34.0,7.4,3.0,"{'original': 7.4, 'alternative': None}",1.0,,1.0,2.0,1.0,,2.0,,1.0,,1.0,,3.0,,,,,,,,,Fortaleza CEIF,home,,,,
Santiago Córdoba,,,santiago-cordoba,S. Córdoba,F,9,186.0,105,1096223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,863654400.0,"{'value': 340000, 'currency': 'EUR'}",9,False,10.0,5.0,,,0.0,3.0,,,45.0,13.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,4.0,5.0,1.0,,,,3.0,1.0,,1.0,,,,,,,,1.0,,,Fortaleza CEIF,home,,,,
Emilio Aristizábal,Emilio Aristizábal,,aristizabal-emilio,E. Aristizábal,F,19,187.0,205,1517148,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1123200000.0,"{'value': 385000, 'currency': 'EUR'}",19,False,30.0,23.0,1.0,,0.0,4.0,,,90.0,40.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",,1.0,4.0,2.0,1.0,1.0,,2.0,,3.0,1.0,,4.0,2.0,,,,,,1.0,,Fortaleza CEIF,home,,,,
Stalin Valencia,Stalin Valencia,,stalin-valencia,S. Valencia,D,4,180.0,55,1095708,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1065744000.0,"{'value': 380000, 'currency': 'EUR'}",4,True,37.0,33.0,5.0,3.0,0.0,2.0,1.0,,50.0,43.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,,1.0,,,,,,1.0,1.0,,1.0,,1.0,2.0,,,,,,,Fortaleza CEIF,home,,,,
Carlos Gonzalez,Carlos Gonzalez,,carlos-gonzalez,C. Gonzalez,F,29,,15,1086939,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952128000.0,,29,True,11.0,9.0,,,0.0,,,,45.0,20.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",1.0,,,1.0,,,,,,,1.0,,2.0,,,1.0,1.0,,,,,Fortaleza CEIF,home,,,,
Kelvin Florez,Kelvin Florez,,kelvin-florez,K. Florez,M,16,177.0,25,1388938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076112000.0,"{'value': 195000, 'currency': 'EUR'}",16,True,13.0,10.0,1.0,,0.0,2.0,2.0,,20.0,21.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,2.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Andrés Ricaurte,,,andres-ricaurte,A. Ricaurte,M,8,182.0,115,285527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686448000.0,"{'value': 270000, 'currency': 'EUR'}",8,True,23.0,18.0,4.0,3.0,0.0,4.0,2.0,,20.0,27.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,,,,,,2.0,,,,,,1.0,,,,,,,,,Fortaleza CEIF,home,,,,
David Camacho,,,david-camacho,D. Camacho,M,22,188.0,26,879886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866073600.0,"{'value': 390000, 'currency': 'EUR'}",22,True,4.0,4.0,,,0.0,2.0,2.0,,20.0,11.0,7.0,3.0,"{'original': 7, 'alternative': None}",2.0,,,1.0,,,,,,,1.0,,,,,,,,,,,Fortaleza CEIF,home,,,,
Juan Castillo,Juan Castillo,,juan-castillo,J. Castillo,G,1,191.0,69,1175004,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042416000.0,"{'value': 830000, 'currency': 'EUR'}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Diego Ruiz,,,diego-ruiz,D. Ruiz,D,30,,3,974032,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,875750400.0,"{'value': 205000, 'currency': 'EUR'}",30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Álvaro Montero,,,alvaro-montero,Á. Montero,G,31,195.0,590,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200.0,"{'value': 1600000, 'currency': 'EUR'}",31,False,27.0,16.0,14.0,5.0,1.0,,,6.0,90.0,43.0,8.4,11.0,"{'original': 8.4, 'alternative': None}",,,,,,,,,,,,1.0,1.0,,,,,,,,True,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",1.0,3.0,
Sander Navarro,,,navarro-sander,S. Navarro,D,34,,72,1512475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1058832000.0,"{'value': 370000, 'currency': 'EUR'}",34,False,22.0,18.0,1.0,,0.0,2.0,1.0,,78.0,33.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",2.0,,2.0,,,,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,Millonarios,away,,,,
Andrés Llinás,,,andres-llinas,A. Llinás,D,26,188.0,286,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000.0,"{'value': 1200000, 'currency': 'EUR'}",26,False,27.0,18.0,8.0,2.0,0.0,4.0,3.0,,90.0,38.0,7.2,10.0,"{'original': 7.2, 'alternative': None}",,3.0,4.0,,1.0,1.0,,1.0,,,,5.0,1.0,,1.0,,,,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",,,
Jorge Arias,,,jorge-arias,J. Arias,D,17,184.0,98,355842,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,721612800.0,"{'value': 370000, 'currency': 'EUR'}",17,False,26.0,22.0,5.0,5.0,0.0,2.0,,,90.0,34.0,7.3,4.0,"{'original': 7.3, 'alternative': None}",,,,,,,1.0,1.0,,,,6.0,1.0,,1.0,,,,,,,Millonarios,away,,,,
Danovis Banguero,,,danovis-banguero,D. Banguero,D,20,185.0,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600.0,"{'value': 320000, 'currency': 'EUR'}",20,False,40.0,29.0,4.0,1.0,0.0,7.0,1.0,,90.0,60.0,7.2,15.0,"{'original': 7.2, 'alternative': None}",2.0,,1.0,,,,,6.0,1.0,,,8.0,,,,1.0,,,,,,Millonarios,away,,,,
Nicolas Arevalo,,,arevalo-nicolas,N. Arévalo,M,5,176.0,99,1466638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047513600.0,"{'value': 340000, 'currency': 'EUR'}",5,False,39.0,34.0,1.0,,0.0,4.0,3.0,,90.0,52.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",,1.0,5.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,,,,,,,1.0,,Millonarios,away,,,,
Dewar Victoria,Dewar Victoria,,dewar-victoria,D. Victoria,M,8,176.0,50,1164480,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,984960000.0,"{'value': 290000, 'currency': 'EUR'}",8,False,36.0,29.0,,,0.0,3.0,1.0,,90.0,47.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,2.0,5.0,,1.0,2.0,,1.0,,1.0,2.0,,,1.0,,,2.0,,,1.0,,Millonarios,away,,,,
Daniel Ruiz,Daniel Ruiz,,daniel-ruiz,D. Ruiz,M,18,171.0,1027,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200.0,"{'value': 1300000, 'currency': 'EUR'}",18,False,20.0,14.0,4.0,2.0,1.0,1.0,,,73.0,25.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",1.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",,,
Néyser Villarreal,Néyser Villarreal,,neyser-villareal,N. Villarreal,F,88,186.0,1053,1539599,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1114300800.0,"{'value': 1200000, 'currency': 'EUR'}",88,False,12.0,8.0,2.0,1.0,0.0,3.0,1.0,,66.0,24.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",,1.0,7.0,,,2.0,2.0,,2.0,2.0,1.0,,,,,,1.0,,1.0,,,Millonarios,away,,,,
Kevin Palacios,Kevin Palacios,,kevin-palacios,K. Palacios,M,77,173.0,96,1131653,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949276800.0,"{'value': 375000, 'currency': 'EUR'}",77,False,18.0,17.0,,,0.0,5.0,2.0,,66.0,31.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",2.0,,3.0,1.0,,1.0,3.0,,1.0,1.0,1.0,,,,,,,,1.0,,,Millonarios,away,,,,1.0
Luis Marimón,Luis Marimón,,luis-marimon,L. Marimón,F,43,,116,1835656,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079568000.0,,43,False,9.0,5.0,,,0.0,,,,45.0,13.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",1.0,,3.0,,,1.0,,,,,2.0,1.0,,,,,,,,2.0,,Millonarios,away,,,,1.0
Jhon Córdoba,,,jhon-cordoba,J. Córdoba,M,15,181.0,246,961647,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200.0,"{'value': 1200000, 'currency': 'EUR'}",15,True,8.0,7.0,,,0.0,5.0,3.0,,45.0,17.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,2.0,,,,2.0,,2.0,,,,,,,,1.0,,,,,Millonarios,away,,,,
Daniel Cataño,,,daniel-catano,D. Cataño,M,10,174.0,259,829884,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,695606400.0,"{'value': 415000, 'currency': 'EUR'}",10,True,11.0,10.0,,,0.0,3.0,2.0,,24.0,20.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,,5.0,,,1.0,1.0,,1.0,3.0,,,1.0,,,,,,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. كاتانيو', 'hi': 'डी. कैटानो', 'bn': 'ডি. কাটানো'}}",,,
Daniel Mantilla,,,daniel-mantilla,D. Mantilla,M,11,173.0,119,924552,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,851472000.0,"{'value': 550000, 'currency': 'EUR'}",11,True,10.0,9.0,1.0,1.0,0.0,,,,24.0,11.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,1.0,,,2.0,,,,,,,,,,,,,,,,Millonarios,away,,,,
Helibelton Palacios,,,helibelton-palacios,H. Palacios,D,28,181.0,419,329597,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,739584000.0,"{'value': 635000, 'currency': 'EUR'}",13,True,8.0,8.0,,,0.0,,,,17.0,14.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,3.0,,,,,,,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'هيبيلتون بالاسيوس', 'hi': 'हेलीबेल्टन पालासिओस', 'bn': 'হেলিবেল্টন পালাসিওস'}}",,,
Felix Charrupí,,,felix-charrupi,F. Charrupí,M,7,182.0,80,972825,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,989712000.0,"{'value': 760000, 'currency': 'EUR'}",7,True,11.0,7.0,1.0,1.0,0.0,1.0,1.0,,12.0,13.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,1.0,,,1.0,,,,,,,,,,,,,,,,Millonarios,away,,,,
Iván Arboleda,,,ivan-arboleda,I. Arboleda,G,1,183.0,251,796095,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830044800.0,"{'value': 635000, 'currency': 'EUR'}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. أربوليدا', 'hi': 'आई. अर्बोलेडा', 'bn': 'আই. আরবোলেদা'}}",,,
Sergio Mosquera,,,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000.0,"{'value': 405000, 'currency': 'EUR'}",6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,,,
