name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,dispossessed,totalContest,wonContest,bigChanceCreated,totalTackle,fouls,keyPass,aerialLost,aerialWon,totalClearance,interceptionWon,shotOffTarget,outfielderBlock,onTargetScoringAttempt,wasFouled,blockedScoringAttempt,totalOffside,goals,captain,team,teamType,challengeLost,hitWoodwork,bigChanceMissed
Santiago Silva,,,silva-santiago,S. Silva,G,27,190.0,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800.0,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",27,False,30.0,16.0,19.0,5.0,0.0,1.0,3.0,90.0,37.0,7.0,14.0,"{'original': 7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,
Esneyder Mena,,,esneyder-mena,E. Mena,M,26,177.0,57,875765,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878515200.0,"{'value': 380000, 'currency': 'EUR'}",,26,False,34.0,27.0,2.0,1.0,1.0,,,90.0,59.0,7.9,15.0,"{'original': 7.9, 'alternative': None}",5.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,,,,,,,,,,,,,América de Cali,home,,,
Cristian Tovar,,,cristian-tovar,C. Tovar,D,6,182.0,68,873180,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,894412800.0,"{'value': 470000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. توفار', 'hi': 'सी. तोवर', 'bn': 'সি. টোভার'}}",6,False,35.0,27.0,5.0,2.0,0.0,,,90.0,43.0,7.2,9.0,"{'original': 7.2, 'alternative': None}",1.0,,2.0,3.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,4.0,,,,,,,,,América de Cali,home,,,
Andrés Mosquera,,,andres-mosquera,A. Mosquera,D,4,178.0,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000.0,"{'value': 470000, 'currency': 'EUR'}",,4,False,24.0,20.0,4.0,3.0,0.0,,,90.0,34.0,7.0,4.0,"{'original': 7, 'alternative': None}",,,2.0,1.0,,,,,,2.0,,,1.0,6.0,,1.0,1.0,,,,,,,América de Cali,home,,,
Brayan Medina,,,medina-brayan,B. Medina,D,23,195.0,106,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000.0,"{'value': 910000, 'currency': 'EUR'}",,23,False,42.0,35.0,6.0,3.0,0.0,,,90.0,56.0,7.8,8.0,"{'original': 7.8, 'alternative': None}",,,3.0,3.0,,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,4.0,3.0,,2.0,1.0,,,,,,América de Cali,home,,,
Franco Leys,,,franco-leys,F. Leys,M,32,180.0,53,333807,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,750902400.0,"{'value': 360000, 'currency': 'EUR'}",,32,False,33.0,30.0,,,0.0,,,63.0,37.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,2.0,2.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,América de Cali,home,,,
Luis Alejandro Paz,,,luis-alejandro-paz,L. A. Paz,M,19,175.0,44,827787,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,589680000.0,"{'value': 47000, 'currency': 'EUR'}",,19,False,23.0,19.0,3.0,3.0,0.0,,,45.0,26.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,True,América de Cali,home,,,
Mateo Castillo Márquez,Mateo,Castillo Márquez,mateo-castillo-marquez,M. C. Márquez,D,13,181.0,68,1904862,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047686400.0,"{'value': 410000, 'currency': 'EUR'}",,13,False,21.0,15.0,1.0,1.0,0.0,,,89.0,42.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",1.0,1.0,3.0,9.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,4.0,,2.0,2.0,,,2.0,,,,,América de Cali,home,,,
Jan Lucumí,Jan Franc Lucumi,,jan-franc-lucumi,J. Lucumí,F,17,178.0,332,1175135,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076457600.0,"{'value': 430000, 'currency': 'EUR'}",,17,False,10.0,8.0,,,0.0,,,70.0,24.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",4.0,,7.0,2.0,,3.0,1.0,,,4.0,,1.0,,,,,,,1.0,3.0,1.0,,,América de Cali,home,,,
Luis Ramos,,,luis-ramos,L. Ramos,F,9,175.0,1211,984107,"{'alpha2': 'PE', 'alpha3': 'PER', 'name': 'Peru', 'slug': 'peru'}",EUR,945043200.0,"{'value': 730000, 'currency': 'EUR'}",,9,False,15.0,12.0,,,0.0,,,90.0,27.0,8.7,5.0,"{'original': 8.7, 'alternative': None}",,,5.0,4.0,1.0,,,,1.0,1.0,,3.0,2.0,,,,,4.0,1.0,1.0,1.0,2.0,,América de Cali,home,,,
