name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,errorLeadToAGoal,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,dispossessed,totalContest,shotOffTarget,blockedScoringAttempt,totalTackle,wasFouled,fouls,challengeLost,bigChanceMissed,onTargetScoringAttempt,interceptionWon,aerialLost,bigChanceCreated,keyPass,outfielderBlock,wonContest,totalOffside,goals,captain,team,teamType,hitWoodwork
Washington Aguerre,,,washington-aguerre,W. Aguerre,G,29,187,277,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200,"{'value': 870000, 'currency': 'EUR'}",,29,False,22.0,12.0,15.0,5.0,0.0,3.0,1.0,2.0,5.0,1.0,2.0,2.0,90.0,31.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,
Jherson Mosquera,,,jherson-mosquera,J. Mosquera,M,6,173,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800,"{'value': 410000, 'currency': 'EUR'}",,6,False,26.0,22.0,3.0,2.0,0.0,,,,,,,,90.0,46.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",2.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,Independiente Medellín,home,
Jhon Palacios,Jhon Palacios,,jhon-palacios,J. Palacios,D,3,188,17,1130027,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400,"{'value': 360000, 'currency': 'EUR'}",,3,False,32.0,27.0,5.0,1.0,0.0,1.0,,,,,,,90.0,41.0,6.3,7.0,"{'original': 6.3, 'alternative': None}",,,,5.0,2.0,1.0,,,1.0,2.0,,4.0,1.0,1.0,1.0,2.0,,,,,,,,,Independiente Medellín,home,
José Ortiz,,,jose-ortiz,J. Ortiz,D,24,181,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,"{'value': 700000, 'currency': 'EUR'}",,24,False,31.0,25.0,10.0,6.0,0.0,5.0,,,,,,,90.0,40.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",1.0,,1.0,2.0,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,Independiente Medellín,home,
Daniel Londoño,,,daniel-londono,D. Londoño,D,33,185,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400,"{'value': 545000, 'currency': 'EUR'}",,33,False,38.0,29.0,7.0,1.0,0.0,1.0,,,,,,,90.0,55.0,6.4,14.0,"{'original': 6.4, 'alternative': None}",,,3.0,5.0,5.0,1.0,1.0,,,,2.0,,2.0,,,4.0,1.0,,,,,,,,Independiente Medellín,home,
Francisco Chaverra,,,francisco-chaverra,F. Chaverra,M,13,172,265,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600,"{'value': 1500000, 'currency': 'EUR'}",,13,False,29.0,21.0,11.0,5.0,0.0,,,,,,,,76.0,49.0,7.4,17.0,"{'original': 7.4, 'alternative': None}",9.0,3.0,,4.0,2.0,2.0,1.0,1.0,1.0,,2.0,1.0,,,,,,1.0,5.0,1.0,,,,,Independiente Medellín,home,
Homer Martinez,,,homer-martinez,H. Martinez,M,18,186,57,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000,"{'value': 670000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",18,False,36.0,32.0,8.0,6.0,0.0,1.0,,,,,,,90.0,47.0,7.0,6.0,"{'original': 7, 'alternative': None}",1.0,,,5.0,3.0,,3.0,2.0,,1.0,,3.0,1.0,,,1.0,,,,,2.0,,,True,Independiente Medellín,home,
Diego Moreno,,,diego-moreno,D. Moreno,M,31,181,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200,"{'value': 930000, 'currency': 'EUR'}",,31,False,28.0,27.0,,,0.0,,,,,,,,67.0,37.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,,,3.0,5.0,1.0,,,1.0,,5.0,1.0,,,,1.0,1.0,,,,,,,,Independiente Medellín,home,
Brayan Léon Muñiz,Brayan Léon Muñiz,,brayan-leon-muniz,B. L. Muñiz,F,27,175,368,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600,"{'value': 1300000, 'currency': 'EUR'}",,27,False,14.0,10.0,,,0.0,,,,,,,,90.0,29.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,,,6.0,4.0,,4.0,3.0,2.0,,2.0,3.0,,1.0,2.0,,1.0,,,,2.0,1.0,,,Independiente Medellín,home,
Luis Sandoval,,,luis-sandoval,L. Sandoval,F,9,183,306,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200,"{'value': 765000, 'currency': 'EUR'}",,9,False,20.0,17.0,2.0,1.0,0.0,,,,,,,,76.0,23.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,,1.0,2.0,1.0,1.0,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,,Independiente Medellín,home,
