name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalCross,accurateCross,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,aerialWon,duelLost,challengeLost,interceptionWon,fouls,keyPass,totalContest,wonContest,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,totalTackle,bigChanceCreated,dispossessed,totalOffside,goals,blockedScoringAttempt,captain,team,teamType,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock
Aldair Quintana,aldair-quintana,A. Quintana,G,1,194.0,154,844584,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800.0,"{'value': 930000, 'currency': 'EUR'}",,,,1,False,22.0,11.0,16.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,90.0,32.0,7.5,11.0,"{'original': 7.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Aldair Gutiérrez,aldair-gutierrez,A. Gutiérrez,D,19,176.0,66,857498,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,898041600.0,"{'value': 490000, 'currency': 'EUR'}",,,,19,False,40.0,27.0,6.0,2.0,0.0,1.0,1.0,1.0,3.0,,,,,90.0,53.0,6.9,17.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Carlos Romaña,carlos-romana,C. Romaña,D,23,187.0,42,933442,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942192000.0,"{'value': 475000, 'currency': 'EUR'}",,,,23,False,29.0,26.0,5.0,5.0,0.0,,,8.0,2.0,1.0,,,,81.0,47.0,7.6,3.0,"{'original': 7.6, 'alternative': None}",,4.0,3.0,,6.0,3.0,,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,Atlético Bucaramanga,home,,,,
Carlos Henao,carlos-henao,C. Henao,D,29,187.0,65,822085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,597110400.0,"{'value': 105000, 'currency': 'EUR'}",,,,29,False,24.0,20.0,5.0,2.0,0.0,,,8.0,4.0,2.0,,,,90.0,37.0,7.6,4.0,"{'original': 7.6, 'alternative': None}",,2.0,,,1.0,,,,,,,1.0,4.0,,,,,,,Atlético Bucaramanga,home,,,,
Fredy Hinestroza,fredy-hinestroza,F. Hinestroza,D,8,178.0,94,249075,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,639273600.0,"{'value': 360000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. هينستروزا', 'hi': 'एफ. हिनेस्ट्रोज़ा', 'bn': 'এফ. হিনেস্ট্রোজা'}}",8,False,31.0,24.0,6.0,1.0,0.0,2.0,,6.0,3.0,2.0,,,,90.0,51.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",2.0,1.0,4.0,,2.0,1.0,,3.0,2.0,,,,1.0,,,,,,,Atlético Bucaramanga,home,,,,
Edwin Castro,edwin-castro,E. Castro,M,22,183.0,86,339719,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698630400.0,"{'value': 210000, 'currency': 'EUR'}",,,,22,False,18.0,14.0,2.0,,0.0,,,4.0,1.0,,,,,90.0,24.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",1.0,3.0,4.0,1.0,1.0,2.0,,,,,,,1.0,,,,,,True,Atlético Bucaramanga,home,,,,
Diego Chávez,diego-chavez,D. Chávez,M,15,180.0,55,1169585,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,875059200.0,"{'value': 585000, 'currency': 'EUR'}",Diego Chavez,,,15,False,43.0,35.0,4.0,1.0,0.0,1.0,,1.0,1.0,,,,,90.0,52.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",1.0,,4.0,1.0,1.0,2.0,1.0,,,,,1.0,1.0,,,,,,,Atlético Bucaramanga,home,,,,
Adalberto Peñaranda,adalberto-penaranda,A. Peñaranda,F,97,183.0,880,825775,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,865036800.0,"{'value': 210000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. بيناراندا', 'hi': 'ए. पेनारांडा', 'bn': 'এ. পেনারান্ডা'}}",97,False,18.0,15.0,1.0,1.0,1.0,,,4.0,1.0,,,,,45.0,29.0,7.5,6.0,"{'original': 7.5, 'alternative': None}",1.0,,3.0,,1.0,1.0,1.0,3.0,2.0,,1.0,,2.0,1.0,,,,,,Atlético Bucaramanga,home,,,,
Fabián Sambueza,fabian-sambueza,F. Sambueza,M,10,173.0,211,789379,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,586396800.0,"{'value': 230000, 'currency': 'EUR'}",,,,10,False,27.0,23.0,7.0,7.0,0.0,5.0,1.0,2.0,,1.0,,,,65.0,41.0,7.4,13.0,"{'original': 7.4, 'alternative': None}",,,2.0,,,,4.0,2.0,1.0,,,1.0,,,1.0,1.0,,,,Atlético Bucaramanga,home,,,,
Jhon Vásquez,jhon-vasquez,Jhon Vásquez,F,11,176.0,98,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200.0,"{'value': 580000, 'currency': 'EUR'}",,,,11,False,4.0,3.0,,,0.0,2.0,,2.0,,1.0,,,,17.0,11.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,1.0,,,,,2.0,1.0,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Kevin Londoño,kevin-londono,K. Londoño,F,7,180.0,142,1104827,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,754012800.0,"{'value': 420000, 'currency': 'EUR'}",,,,7,False,26.0,21.0,1.0,,0.0,2.0,1.0,1.0,1.0,,,,,83.0,34.0,7.8,7.0,"{'original': 7.8, 'alternative': None}",3.0,1.0,5.0,,,2.0,2.0,1.0,,,,3.0,,1.0,,,1.0,,,Atlético Bucaramanga,home,,,,
Frank Castañeda,frank-castaneda,F. Castañeda,M,70,171.0,241,923112,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,774403200.0,"{'value': 465000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. كاستانيدا', 'hi': 'एफ. कास्टेनेडा', 'bn': 'এফ. কাস্টেনেডা'}}",70,True,23.0,21.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,73.0,31.0,7.5,4.0,"{'original': 7.5, 'alternative': None}",,,1.0,,,,3.0,2.0,1.0,,,,,2.0,,,,1.0,,Atlético Bucaramanga,home,,,,
Luciano Pons,luciano-pons,L. Pons,F,27,180.0,1312,940264,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,640396800.0,"{'value': 315000, 'currency': 'EUR'}",,,,27,True,14.0,8.0,2.0,2.0,0.0,,,,,,,,,45.0,21.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",1.0,,2.0,,,,,,,1.0,1.0,2.0,,,1.0,,,,,Atlético Bucaramanga,home,,,,
Leonardo Flores,leonardo-flores,L. Flores,M,28,176.0,186,874451,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,807580800.0,"{'value': 385000, 'currency': 'EUR'}",,,,28,True,7.0,6.0,1.0,1.0,0.0,,,3.0,1.0,1.0,,,,25.0,13.0,7.7,2.0,"{'original': 7.7, 'alternative': None}",,,1.0,1.0,,,1.0,,,,,1.0,2.0,1.0,,,1.0,,,Atlético Bucaramanga,home,,,,
Jefferson Mena,jefferson-mena,J. Mena,D,2,183.0,66,355850,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,613872000.0,"{'value': 97000, 'currency': 'EUR'}",,,,2,True,,,,,0.0,,,2.0,3.0,,,,,9.0,3.0,6.7,,"{'original': 6.7, 'alternative': None}",,2.0,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Juan Mosquera,juan-camilo-mosquera,J. Mosquera,D,14,187.0,54,1174008,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026604800.0,"{'value': 215000, 'currency': 'EUR'}",Juan Camilo Mosquera,,,14,True,5.0,4.0,,,0.0,,,,,,,,,16.0,9.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,Atlético Bucaramanga,home,,,,
Luis Vásquez,luis-vasquez,L. Vásquez,G,12,187.0,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400.0,"{'value': 215000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Sherman Cárdenas,sherman-cardenas,S. Cárdenas,M,30,168.0,105,844616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,618451200.0,"{'value': 49000, 'currency': 'EUR'}",,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Washington Aguerre,washington-aguerre,W. Aguerre,G,29,187.0,279,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200.0,"{'value': 870000, 'currency': 'EUR'}",,,,29,False,30.0,18.0,19.0,7.0,0.0,,,1.0,2.0,,5.0,9.0,,90.0,47.0,8.2,12.0,"{'original': 8.2, 'alternative': None}",,1.0,,,,,,,,,,,,,,,,,,Independiente Medellín,away,1.0,1.0,1.0,
José Ortiz,jose-ortiz,J. Ortiz,D,24,181.0,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400.0,"{'value': 700000, 'currency': 'EUR'}",,,,24,False,49.0,43.0,7.0,3.0,0.0,,,2.0,3.0,,,,,82.0,59.0,7.0,6.0,"{'original': 7, 'alternative': None}",,,,,2.0,,,,,,,,2.0,,,,,,,Independiente Medellín,away,,,,1.0
Fainer Torijano,fainer-torijano,F. Torijano,D,23,182.0,17,351382,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800.0,"{'value': 160000, 'currency': 'EUR'}",,,,23,False,37.0,31.0,5.0,1.0,0.0,1.0,,1.0,5.0,,,,,65.0,43.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,1.0,,,,,,,,,,,,,,,,,True,Independiente Medellín,away,,,,
Daniel Londoño,daniel-londono,D. Londoño,D,33,185.0,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400.0,"{'value': 545000, 'currency': 'EUR'}",,,,33,False,62.0,51.0,7.0,,0.0,,,3.0,2.0,,,,,90.0,72.0,6.6,12.0,"{'original': 6.6, 'alternative': None}",,1.0,2.0,1.0,,,,,,,1.0,1.0,2.0,,1.0,,,,,Independiente Medellín,away,,,,
Jherson Mosquera,jherson-mosquera,J. Mosquera,M,6,173.0,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800.0,"{'value': 410000, 'currency': 'EUR'}",,,,6,False,33.0,23.0,3.0,,0.0,,,3.0,,1.0,,,,90.0,46.0,6.6,12.0,"{'original': 6.6, 'alternative': None}",,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,,Independiente Medellín,away,,,,
Jaime Alvarado,alvarado-jaime,J. Alvarado,M,15,181.0,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200.0,"{'value': 1500000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",15,False,53.0,42.0,6.0,3.0,0.0,,,2.0,,1.0,,,,90.0,60.0,6.6,12.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,4.0,2.0,,1.0,1.0,,,,,,,,,,,,,Independiente Medellín,away,,,,
Alexis Serna,alexis-serna,A. Serna,M,80,170.0,13,972579,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,944524800.0,"{'value': 230000, 'currency': 'EUR'}",,,,80,False,7.0,6.0,1.0,1.0,0.0,,,1.0,,1.0,,,,22.0,8.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,2.0,1.0,,1.0,,,,,,,,,,,,,,Independiente Medellín,away,,,,
Léider Berrío,leider-berrio,L. Berrío,M,7,175.0,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600.0,"{'value': 595000, 'currency': 'EUR'}",Léider Berrío,,,7,False,26.0,23.0,1.0,1.0,0.0,4.0,1.0,5.0,,3.0,,,,90.0,43.0,6.2,13.0,"{'original': 6.2, 'alternative': None}",2.0,1.0,11.0,4.0,1.0,1.0,1.0,2.0,,,,,1.0,,2.0,,,,,Independiente Medellín,away,,,,
Juan Arizala,arizala-juan,J. Arizala,D,71,183.0,488,1476922,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1128902400.0,"{'value': 380000, 'currency': 'EUR'}",,,,71,False,21.0,14.0,,,0.0,4.0,1.0,5.0,3.0,1.0,,,,82.0,43.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",2.0,1.0,3.0,,2.0,,1.0,2.0,2.0,,,,1.0,,1.0,,,,,Independiente Medellín,away,,,,
Marcus Vinicius,marcus-vinicius,M. Vinicius,F,10,188.0,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400.0,"{'value': 540000, 'currency': 'EUR'}",Marcus Vinicius,,,10,False,11.0,10.0,,,0.0,3.0,,3.0,,2.0,,,,65.0,21.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",2.0,,4.0,,,1.0,2.0,2.0,1.0,,,,,,,,,,,Independiente Medellín,away,,,,
