name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,challengeLost,totalContest,wonContest,interceptionWon,wasFouled,fouls,keyPass,aerialLost,totalTackle,dispossessed,hitWoodwork,shotOffTarget,onTargetScoringAttempt,outfielderBlock,blockedScoringAttempt,totalOffside,captain,team,teamType,goodHighClaim,goals,bigChanceMissed,bigChanceCreated
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200,"{'value': 365000, 'currency': 'EUR'}",,,,30,False,18.0,14.0,8.0,4.0,0.0,2.0,2.0,4.0,3.0,3.0,90.0,31.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,
Jhomier Guerrero,jhomier-guerrero,J. Guerrero,D,34,170,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400,"{'value': 485000, 'currency': 'EUR'}",Jhomier Guerrero,,,34,False,28.0,19.0,2.0,,0.0,,3.0,2.0,,,77.0,46.0,6.7,13.0,"{'original': 6.7, 'alternative': None}",2.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,,,,,,,,,,,Junior Barranquilla,home,,,,
Christian Javier Báez,christian-javier-baez,C. J. Báez,D,66,180,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200,"{'value': 290000, 'currency': 'EUR'}",,,,66,False,38.0,30.0,11.0,4.0,0.0,2.0,4.0,2.0,,,90.0,44.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,,1.0,,,,2.0,1.0,,,1.0,1.0,,,,,,,,,Junior Barranquilla,home,,,,
Daniel Rivera,daniel-rivera,D. Rivera,D,5,184,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000,"{'value': 775000, 'currency': 'EUR'}",Daniel Rivera,,,5,False,52.0,42.0,11.0,7.0,0.0,1.0,2.0,5.0,,,90.0,63.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",2.0,,2.0,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,,,,Junior Barranquilla,home,,,,
Edwin Herrera,edwin-herrera,E. Herrera,D,3,170,69,931354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904694400,"{'value': 730000, 'currency': 'EUR'}",,,,3,False,45.0,35.0,5.0,3.0,0.0,,2.0,1.0,,,90.0,61.0,7.0,14.0,"{'original': 7, 'alternative': None}",4.0,1.0,1.0,1.0,,,,,,2.0,,2.0,,,1.0,,,,,,Junior Barranquilla,home,,,,
Didier Moreno,didier-moreno,D. Moreno,M,6,177,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800,"{'value': 520000, 'currency': 'EUR'}",,,,6,False,13.0,11.0,4.0,3.0,0.0,1.0,5.0,1.0,,,45.0,21.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,4.0,1.0,,,2.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,True,Junior Barranquilla,home,,,,
Yimmi Chará,yimmi-chara,Y. Chará,M,8,169,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400,"{'value': 410000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",8,False,46.0,40.0,5.0,3.0,0.0,,3.0,,,,90.0,58.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",1.0,,2.0,,,,,1.0,,,1.0,2.0,1.0,,,1.0,1.0,,,,Junior Barranquilla,home,,,,
Fabián Ángel,fabian-angel,F. Ángel,M,80,175,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800,"{'value': 390000, 'currency': 'EUR'}",,,,80,False,29.0,18.0,8.0,3.0,0.0,1.0,5.0,,,,73.0,38.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",,,2.0,2.0,,,2.0,3.0,,,,1.0,,,1.0,,,1.0,,,Junior Barranquilla,home,,,,
José Enamorado,enamorado-jose,J. Enamorado,M,99,167,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600,"{'value': 1900000, 'currency': 'EUR'}",,,,99,False,11.0,8.0,,,0.0,,3.0,,,,63.0,24.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",5.0,2.0,4.0,,2.0,1.0,,1.0,2.0,,1.0,1.0,,,1.0,1.0,,,1.0,,Junior Barranquilla,home,,,,
Bryan Castrillón,bryan-castrillon,B. Castrillón,F,88,169,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000,"{'value': 485000, 'currency': 'EUR'}",,,,88,False,8.0,7.0,,,0.0,,1.0,1.0,,,45.0,13.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,2.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,Junior Barranquilla,home,,,,
