name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,shotOffTarget,totalClearance,totalTackle,fouls,keyPass,aerialWon,interceptionWon,wasFouled,totalOffside,totalContest,onTargetScoringAttempt,blockedScoringAttempt,wonContest,dispossessed,captain,team,teamType,totalKeeperSweeper,accurateKeeperSweeper,bigChanceCreated,goals,outfielderBlock
Alejandro Rodríguez,Alejandro Rodríguez,,alejandro-rodriguez,A. Rodríguez,G,38,188.0,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",38,False,26.0,20.0,11.0,5.0,0.0,4.0,5.0,90.0,34.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,,,,
Fabián Viáfara,,,fabian-viafara,F. Viáfara,D,27,167.0,35,588548,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,700704000,"{'value': 430000, 'currency': 'EUR'}",,27,False,29.0,23.0,1.0,,0.0,,,59.0,44.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,Deportivo Cali,home,,,,,
Juan Quintero,,,juan-quintero,Juan Quintero,D,3,183.0,140,589394,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,795916800,"{'value': 670000, 'currency': 'EUR'}",,3,False,53.0,41.0,11.0,7.0,0.0,,,90.0,60.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",,,2.0,2.0,4.0,,,3.0,1.0,,,2.0,1.0,1.0,,,,,,,True,Deportivo Cali,home,,,,,
Francisco Meza,,,francisco-meza,F. Meza,D,21,187.0,65,162493,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,683424000,"{'value': 260000, 'currency': 'EUR'}",,21,False,63.0,57.0,5.0,4.0,0.0,,,90.0,74.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",1.0,,1.0,3.0,2.0,2.0,,3.0,1.0,,,,1.0,1.0,,,,,,,,Deportivo Cali,home,,,,,
Yulián Gómez,,,yulian-gomez,Y. Gómez,D,26,170.0,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800,"{'value': 440000, 'currency': 'EUR'}",,26,False,34.0,22.0,4.0,,0.0,,,90.0,53.0,6.8,15.0,"{'original': 6.8, 'alternative': None}",2.0,,1.0,1.0,3.0,,1.0,5.0,1.0,,2.0,2.0,,,1.0,,,,,,,Deportivo Cali,home,,,,,
Jarlan Barrera,,,jarlan-barrera,J. Barrera,M,7,171.0,286,796511,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,811209600,"{'value': 595000, 'currency': 'EUR'}",,7,False,56.0,43.0,13.0,6.0,0.0,,,90.0,79.0,7.1,28.0,"{'original': 7.1, 'alternative': None}",6.0,2.0,,2.0,,1.0,2.0,,,,2.0,,,,,1.0,1.0,1.0,,,,Deportivo Cali,home,,,,,
Victor Mejia,,,victor-mejia,V. Mejia,M,6,182.0,20,355878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,728784000,"{'value': 390000, 'currency': 'EUR'}",,6,False,61.0,53.0,4.0,2.0,0.0,,,78.0,70.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",1.0,,2.0,2.0,5.0,,,,3.0,,1.0,,,2.0,,,,1.0,,,,Deportivo Cali,home,,,,,
Rafael Bustamante,,,rafael-bustamante,R. Bustamante,M,5,176.0,37,934421,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400,"{'value': 420000, 'currency': 'EUR'}",,5,False,65.0,59.0,7.0,5.0,0.0,,,78.0,73.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",2.0,1.0,,3.0,5.0,,,,3.0,2.0,,,,1.0,,2.0,,,1.0,,,Deportivo Cali,home,,,,,
Andrey Estupiñán,,,andrey-estupinan,A. Estupiñán,F,11,175.0,124,944462,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773366400,"{'value': 320000, 'currency': 'EUR'}",,11,False,16.0,14.0,1.0,,0.0,,,67.0,26.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,,2.0,5.0,1.0,,,2.0,1.0,1.0,,,3.0,,,,,,,,Deportivo Cali,home,,,,,
Gian Cabezas,Gian Cabezas,,gian-cabezas,G. Cabezas,M,28,178.0,43,1099301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041379200,"{'value': 420000, 'currency': 'EUR'}",,28,False,32.0,24.0,1.0,1.0,0.0,,,58.0,43.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",4.0,1.0,,2.0,3.0,1.0,1.0,,2.0,,,,,1.0,,1.0,,,,,,Deportivo Cali,home,,,,,
Emiliano Rodriguez,,,rodriguez-emiliano,E. Rodriguez,F,9,190.0,366,1177548,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,1058313600,"{'value': 1300000, 'currency': 'EUR'}",,9,False,25.0,15.0,,,0.0,,,90.0,39.0,7.1,16.0,"{'original': 7.1, 'alternative': None}",2.0,,,4.0,3.0,1.0,3.0,,,1.0,,1.0,,1.0,1.0,2.0,2.0,,1.0,1.0,,Deportivo Cali,home,,,,,
Jhon Cabal,,,cabal-jhon,J. Cabal,F,46,,13,1411619,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1065916800,,,46,True,2.0,1.0,,,0.0,,,32.0,4.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,,,,
Cristian Graciano,,,graciano-cristian,C. Graciano,D,44,176.0,28,1476923,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052784000,"{'value': 325000, 'currency': 'EUR'}",,44,True,18.0,14.0,1.0,,0.0,,,31.0,32.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",5.0,1.0,,,,,,2.0,,,,,1.0,,,,,,,,,Deportivo Cali,home,,,,,
