name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,interceptionWon,aerialWon,duelWon,fouls,shotOffTarget,outfielderBlock,dispossessed,totalContest,wonContest,onTargetScoringAttempt,totalTackle,challengeLost,blockedScoringAttempt,wasFouled,keyPass,accurateCross,hitWoodwork,goals,captain,team,teamType,bigChanceCreated,totalOffside,bigChanceMissed
Andrés Mosquera,andres-mosquera,A. Mosquera,G,1,186.0,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",,,1,False,27.0,23.0,8.0,4.0,0.0,3.0,1.0,6.0,7.0,2.0,1.0,1.0,90.0,45.0,8.1,4.0,"{'original': 8.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Jordy Monroy,jordy-ararat,J. Monroy,D,17,185.0,45,823379,"{'alpha2': 'AM', 'alpha3': 'ARM', 'name': 'Armenia', 'slug': 'armenia'}",EUR,820627200,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. أرات', 'hi': 'जे. अरार्ट', 'bn': 'জে. আরারাত'}}",,,17,False,36.0,31.0,3.0,1.0,0.0,,,,,,,,81.0,43.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Emanuel Olivera,emanuel-olivera,E. Olivera,D,18,180.0,53,129500,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,639014400,"{'value': 470000, 'currency': 'EUR'}",,,,18,False,51.0,42.0,8.0,2.0,0.0,8.0,,,,,,,90.0,63.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Victor Moreno,victor-moreno,V. Moreno,D,3,180.0,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400,"{'value': 540000, 'currency': 'EUR'}",,,,3,False,42.0,36.0,7.0,4.0,0.0,4.0,,,,,,,90.0,51.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,2.0,2.0,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Christian Mafla,christian-mafla,C. Mafla,D,32,175.0,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000,"{'value': 240000, 'currency': 'EUR'}",,,,32,False,28.0,19.0,8.0,2.0,0.0,,,,,,,,90.0,43.0,6.6,12.0,"{'original': 6.6, 'alternative': None}",1.0,,3.0,,,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,,,,,,,,,,Independiente Santa Fe,home,,,
Yilmar Velázquez,yilmar-velazquez,Y. Velázquez,M,20,185.0,66,975633,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,935193600,"{'value': 930000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. فيلازكويز', 'hi': 'वाए. वेलाज़क्वेज़', 'bn': 'ওয়াই. ভেলাজকুয়েজ'}}",,,20,False,31.0,27.0,1.0,,0.0,,,,,,,,45.0,35.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,3.0,,1.0,2.0,2.0,,,1.0,,,,1.0,,,,,,,,,Independiente Santa Fe,home,,,
Johan Torres,johan-torres,J. Torres,M,14,178.0,106,1394757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1094515200,"{'value': 1100000, 'currency': 'EUR'}",,Johan Torres,,14,False,42.0,35.0,5.0,4.0,0.0,1.0,,,,,,,90.0,53.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",2.0,,5.0,,3.0,5.0,3.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,Independiente Santa Fe,home,,,
Harold Santiago Mosquera,harold-mosquera,H. S. Mosquera,F,23,168.0,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200,"{'value': 680000, 'currency': 'EUR'}",,,,23,False,33.0,26.0,3.0,3.0,0.0,2.0,,,,,,,65.0,41.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",2.0,,1.0,,,1.0,,2.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,Independiente Santa Fe,home,,,
Omar Albornoz,omar-albornoz,O. Albornoz,M,80,173.0,46,805030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812246400,"{'value': 515000, 'currency': 'EUR'}",,,,80,False,18.0,16.0,,,0.0,,,,,,,,59.0,28.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",1.0,,2.0,,,3.0,,,1.0,1.0,,,,1.0,1.0,1.0,2.0,1.0,,,,,Independiente Santa Fe,home,,,
Omar Fernández,omar-fernandez,O. Fernández,M,8,166.0,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800,"{'value': 945000, 'currency': 'EUR'}",,,,8,False,28.0,23.0,2.0,1.0,0.0,,,,,,,,81.0,43.0,7.4,13.0,"{'original': 7.4, 'alternative': None}",7.0,,,,,1.0,,2.0,,,,,,1.0,,,,4.0,1.0,,,,Independiente Santa Fe,home,,,
