name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,totalContest,wonContest,onTargetScoringAttempt,totalClearance,totalTackle,fouls,aerialLost,interceptionWon,wasFouled,aerialWon,challengeLost,shotOffTarget,penaltyConceded,keyPass,dispossessed,blockedScoringAttempt,accurateCross,bigChanceCreated,goals,totalOffside,bigChanceMissed,captain,team,teamType,fieldTranslations,punches,outfielderBlock
Ruben Escobar,,,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",12,False,11.0,8.0,4.0,2.0,0.0,1.0,1.0,90.0,13.0,4.9,3.0,"{'original': 4.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,
Geindry Cuervo,Geindry Cuervo,,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,15,False,15.0,10.0,4.0,1.0,0.0,,,45.0,30.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",2.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,Envigado FC,home,,,
Didier Palacios,Didier Palacios,,didier-palacios,D. Palacios,D,2,185.0,29,1647753,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1086220800.0,"{'value': 390000, 'currency': 'EUR'}",2,False,26.0,18.0,8.0,2.0,0.0,,,84.0,39.0,5.8,8.0,"{'original': 5.8, 'alternative': None}",,2.0,2.0,,,,7.0,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,,Envigado FC,home,,,
Carlos Ramirez,,,carlos-ramirez,C. Ramirez,D,29,182.0,68,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",29,False,44.0,40.0,8.0,5.0,0.0,,,90.0,53.0,5.8,4.0,"{'original': 5.8, 'alternative': None}",,4.0,5.0,,,1.0,4.0,1.0,3.0,1.0,1.0,,4.0,1.0,1.0,1.0,2.0,,,,,,,,True,Envigado FC,home,,,
Brayan Murillo,Brayan Murillo,,brayan-murillo,B. Murillo,D,36,,6,1929964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,36,False,29.0,17.0,6.0,,0.0,,,90.0,44.0,5.1,16.0,"{'original': 5.1, 'alternative': None}",2.0,3.0,1.0,,,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,Envigado FC,home,,,
Julián Palacios,Julián Palacio,,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",6,False,28.0,26.0,4.0,4.0,0.0,,,45.0,34.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,4.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,Envigado FC,home,,,
Johan Hinestroza,Johan Hinestroza,,johan-hinestroza,J. Hinestroza,M,14,176.0,11,1106571,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1016064000.0,"{'value': 205000, 'currency': 'EUR'}",14,False,31.0,24.0,5.0,4.0,0.0,,,90.0,43.0,6.1,11.0,"{'original': 6.1, 'alternative': None}",1.0,9.0,4.0,1.0,,,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,,Envigado FC,home,,,
Daniel Arcila,Daniel Arcila,,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,26,False,38.0,34.0,3.0,2.0,0.0,,,90.0,54.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",7.0,2.0,2.0,,,,1.0,,,,2.0,2.0,,2.0,,,2.0,,,1.0,1.0,,,,,Envigado FC,home,,,
Edison López,,,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",21,False,33.0,31.0,4.0,3.0,0.0,,,63.0,43.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",1.0,2.0,3.0,,,,,2.0,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,Envigado FC,home,,,
Didier Dawson,Didier Dawson,,didier-dawson,D. Dawson,M,7,173.0,46,2048967,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1128902400.0,"{'value': 81000, 'currency': 'EUR'}",7,False,16.0,9.0,,,0.0,,,45.0,28.0,6.3,15.0,"{'original': 6.3, 'alternative': None}",,1.0,4.0,,,,,1.0,,,,2.0,1.0,,,,,1.0,,,,,,,,Envigado FC,home,,,
Bayron Garcés,,,bayron-garces,B. Garcés,F,11,175.0,148,1017019,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,738720000.0,"{'value': 320000, 'currency': 'EUR'}",11,False,19.0,16.0,,,0.0,,,90.0,28.0,7.0,7.0,"{'original': 7, 'alternative': None}",,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,1.0,2.0,,,Envigado FC,home,,,
Neymar Uribe,Neymar Uribe,,neymar-uribe,N. Uribe,D,27,172.0,32,1977622,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073606400.0,"{'value': 280000, 'currency': 'EUR'}",27,True,15.0,11.0,3.0,1.0,0.0,,,45.0,26.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",3.0,1.0,2.0,,,1.0,,,,,,2.0,,,,,2.0,1.0,,1.0,,,,,,Envigado FC,home,,,
Luis Díaz,Luis Díaz,,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,34,True,12.0,11.0,,,0.0,,,45.0,15.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",,1.0,2.0,,,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,Envigado FC,home,,,
John Araujo,Jhon Araujo,,john-araujo,J. Araujo,F,70,172.0,12,1157709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026950400.0,,70,True,7.0,6.0,,,0.0,,,45.0,18.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,3.0,3.0,2.0,1.0,,,2.0,,1.0,1.0,,,,2.0,,,1.0,,,,,,,,Envigado FC,home,,,
Tomás Soto,Tomás Soto,,tomas-soto,T. Soto,M,13,,6,1388637,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1097539200.0,,13,True,9.0,9.0,,,0.0,,,27.0,15.0,6.2,2.0,"{'original': 6.2, 'alternative': None}",1.0,2.0,3.0,1.0,1.0,,,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,1.0,,Envigado FC,home,,,
Jhon Gamboa,,,jhon-gamboa,J. Gamboa,D,28,194.0,4,1414723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985046400.0,"{'value': 230000, 'currency': 'EUR'}",28,True,3.0,3.0,,,0.0,,,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,
Jorman Mendoza,,,jorman-mendoza,J. Mendoza,G,1,185.0,38,1840467,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1200268800.0,,88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,
Santiago Londono,Santiago Londoño,,londono-santiago,S. Londoño,F,9,184.0,191,1508614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1204243200.0,,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,
Andrés Mosquera,,,andres-mosquera,A. Mosquera,G,1,186.0,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800.0,"{'value': 660000, 'currency': 'EUR'}",1,False,25.0,21.0,9.0,5.0,0.0,1.0,3.0,90.0,34.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",,,1.0,,,,3.0,,,,,,1.0,,,,,,,,,,,,,Independiente Santa Fe,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",1.0,
Elvis Perlaza,,,elvis-perlaza,E. Perlaza,D,22,172.0,41,285361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,605232000.0,"{'value': 160000, 'currency': 'EUR'}",22,False,27.0,21.0,5.0,3.0,0.0,,,90.0,35.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,2.0,2.0,1.0,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,Independiente Santa Fe,away,,,
Emanuel Olivera,,,emanuel-olivera,E. Olivera,D,18,180.0,53,129500,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,639014400.0,"{'value': 470000, 'currency': 'EUR'}",18,False,41.0,32.0,12.0,7.0,0.0,,,90.0,53.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,,,,,,9.0,,,,1.0,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,1.0
Victor Moreno,,,victor-moreno,V. Moreno,D,3,180.0,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400.0,"{'value': 540000, 'currency': 'EUR'}",3,False,31.0,26.0,6.0,3.0,0.0,,,90.0,39.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,2.0,,,,,3.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,Independiente Santa Fe,away,,,
Christian Mafla,,,christian-mafla,C. Mafla,D,32,175.0,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000.0,"{'value': 240000, 'currency': 'EUR'}",32,False,21.0,10.0,7.0,2.0,0.0,,,67.0,38.0,6.4,15.0,"{'original': 6.4, 'alternative': None}",2.0,7.0,4.0,1.0,,,4.0,2.0,3.0,2.0,,,2.0,,,,,1.0,,,,,,,,Independiente Santa Fe,away,,,
Yilmar Velázquez,,,yilmar-velazquez,Y. Velázquez,M,20,185.0,66,975633,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,935193600.0,"{'value': 930000, 'currency': 'EUR'}",20,False,19.0,12.0,1.0,1.0,0.0,,,71.0,31.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",2.0,3.0,3.0,,,,2.0,2.0,3.0,,1.0,,1.0,,1.0,,,,,,,,,,,Independiente Santa Fe,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. فيلازكويز', 'hi': 'वाए. वेलाज़क्वेज़', 'bn': 'ওয়াই. ভেলাজকুয়েজ'}}",,
Ewil Murillo,,,renteria-ewil-hernando-murillo,E. Murillo,M,21,180.0,31,1088687,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,961545600.0,"{'value': 380000, 'currency': 'EUR'}",21,False,18.0,13.0,3.0,1.0,0.0,,,45.0,29.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,5.0,4.0,1.0,,,1.0,2.0,1.0,2.0,,2.0,,,,,,1.0,,,,,,,,Independiente Santa Fe,away,,,1.0
