name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,bigChanceCreated,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,totalCross,accurateCross,duelLost,duelWon,interceptionWon,totalTackle,fouls,aerialWon,shotOffTarget,aerialLost,dispossessed,wasFouled,totalContest,outfielderBlock,challengeLost,onTargetScoringAttempt,blockedScoringAttempt,goals,wonContest,hitWoodwork,totalOffside,penaltyWon,captain,team,teamType,penaltyConceded,bigChanceMissed
Jorge Soto,jorge-soto,J. Soto,G,12,187,146,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600,"{'value': 410000, 'currency': 'EUR'}",,,,12,False,17.0,10.0,13.0,7.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,90.0,30.0,7.7,7.0,1.0,"{'original': 7.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,
Yerson Candelo,yerson-candelo,Y. Candelo,D,92,172,144,158593,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698889600,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. كانديلو', 'hi': 'वाई. कैंडेलो', 'bn': 'ওয়াই. ক্যান্ডেলো'}}",,,92,False,26.0,18.0,7.0,4.0,0.0,,,,,,,78.0,39.0,6.9,12.0,2.0,"{'original': 6.9, 'alternative': None}",5.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,América de Cali,home,,
Daniel Bocanegra,daniel-bocanegra,D. Bocanegra,D,2,182,142,123272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,546134400,"{'value': 46000, 'currency': 'EUR'}",,,,2,False,34.0,29.0,5.0,1.0,0.0,,8.0,,,,,90.0,46.0,6.9,5.0,1.0,"{'original': 6.9, 'alternative': None}",,,,3.0,,,,3.0,1.0,,,,,,,,,,,,,,,América de Cali,home,,
Jean Carlos Pestaña,jean-carlos-pestana,J. C. Pestaña,D,24,186,73,882658,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872467200,"{'value': 825000, 'currency': 'EUR'}",,,,24,False,37.0,30.0,6.0,3.0,0.0,,4.0,,,,,90.0,45.0,6.5,8.0,,"{'original': 6.5, 'alternative': None}",,,4.0,3.0,,,2.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,América de Cali,home,,
Marcos Mina,marcos-mina,M. Mina,D,14,163,80,1098198,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923875200,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,43.0,33.0,5.0,2.0,0.0,,2.0,,,,,77.0,61.0,6.7,15.0,1.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,5.0,2.0,1.0,2.0,,,,2.0,,,3.0,1.0,,,,,,,,,,América de Cali,home,,
Franco Leys,franco-leys,F. Leys,M,32,180,54,333807,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,750902400,"{'value': 360000, 'currency': 'EUR'}",,,,32,False,29.0,23.0,4.0,2.0,0.0,,,,,,,65.0,37.0,6.6,7.0,,"{'original': 6.6, 'alternative': None}",,,4.0,3.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,2.0,,,,,,,,,América de Cali,home,,
Rafael Carrascal,rafael-carrascal,R. Carrascal,M,15,173,255,818936,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,722736000,"{'value': 325000, 'currency': 'EUR'}",,,,15,False,74.0,67.0,13.0,11.0,0.0,,,,,,,90.0,93.0,8.3,13.0,5.0,"{'original': 8.3, 'alternative': None}",7.0,3.0,2.0,3.0,,2.0,,1.0,1.0,,,,,,2.0,1.0,2.0,1.0,,,,,,América de Cali,home,,
Luis Gómez,luis-gomez,L. Gómez,F,16,173,73,958592,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,939600000,"{'value': 490000, 'currency': 'EUR'}",,,,16,False,26.0,22.0,1.0,1.0,0.0,,1.0,,,,,90.0,40.0,7.5,7.0,3.0,"{'original': 7.5, 'alternative': None}",2.0,1.0,3.0,3.0,,2.0,2.0,,2.0,,1.0,,1.0,,,2.0,1.0,,1.0,1.0,,,,América de Cali,home,,
Sebastián Navarro,sebastian-navarro,S. Navarro,M,21,186,122,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 840000, 'currency': 'EUR'}",,,,21,False,33.0,29.0,3.0,2.0,0.0,,2.0,,,,,90.0,43.0,7.1,7.0,2.0,"{'original': 7.1, 'alternative': None}",1.0,,4.0,2.0,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,,,1.0,,,,,,,América de Cali,home,,
Duván Vergara,duvan-vergara,D. Vergara,M,11,173,943,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200,"{'value': 2900000, 'currency': 'EUR'}",,,,11,False,44.0,37.0,2.0,2.0,0.0,,,,,,,90.0,60.0,8.4,14.0,2.0,"{'original': 8.4, 'alternative': None}",5.0,1.0,1.0,3.0,,,,,2.0,,1.0,2.0,1.0,,,3.0,,1.0,1.0,,,,True,América de Cali,home,,
Jan Lucumí,jan-franc-lucumi,J. Lucumí,F,17,178,329,1175135,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076457600,"{'value': 430000, 'currency': 'EUR'}",,Jan Franc Lucumi,,17,False,9.0,9.0,,,0.0,,,,,,,70.0,16.0,6.7,3.0,,"{'original': 6.7, 'alternative': None}",,,4.0,4.0,,,2.0,1.0,1.0,,,2.0,2.0,,1.0,,,,1.0,,1.0,,,América de Cali,home,,
Esneyder Mena,esneyder-mena,E. Mena,M,26,177,57,875765,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878515200,"{'value': 380000, 'currency': 'EUR'}",,,,26,True,3.0,2.0,,,0.0,,,,,,,25.0,11.0,6.8,6.0,,"{'original': 6.8, 'alternative': None}",2.0,,2.0,2.0,,2.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,América de Cali,home,,
Kevin Angulo,kevin-angulo,K. Angulo,F,35,187,53,2039311,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1215129600,,,Kevin Angulo,,35,True,,,,,0.0,,,,,,,20.0,,6.2,,,"{'original': 6.2, 'alternative': None}",,,3.0,,,,1.0,,,2.0,,,,,,,,,,,,,,América de Cali,home,,
Joider Micolta,joider-micolta,J. Micolta,M,30,173,72,1173952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026518400,"{'value': 335000, 'currency': 'EUR'}",,Joider Micolta,,30,True,3.0,2.0,,,0.0,,,,,,,13.0,4.0,6.6,2.0,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,
Mateo Castillo Márquez,mateo-castillo-marquez,M. C. Márquez,D,13,181,68,1904862,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047686400,"{'value': 410000, 'currency': 'EUR'}",,Mateo,Castillo Márquez,13,True,4.0,4.0,,,0.0,,,,,,,12.0,8.0,7.2,2.0,,"{'original': 7.2, 'alternative': None}",,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,América de Cali,home,,
Santiago Silva,silva-santiago,S. Silva,G,27,190,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,
Andrés Mosquera,andres-mosquera,A. Mosquera,D,4,178,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000,"{'value': 470000, 'currency': 'EUR'}",,,,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,
Cristian Tovar,cristian-tovar,C. Tovar,D,6,182,68,873180,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,894412800,"{'value': 470000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. توفار', 'hi': 'सी. तोवर', 'bn': 'সি. টোভার'}}",,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200,"{'value': 365000, 'currency': 'EUR'}",,,,30,False,28.0,14.0,24.0,10.0,0.0,,1.0,2.0,,4.0,1.0,90.0,37.0,7.1,14.0,,"{'original': 7.1, 'alternative': None}",,,,1.0,,,,,,,,1.0,,,,,,,,,,,,Junior Barranquilla,away,,
Jhomier Guerrero,jhomier-guerrero,J. Guerrero,D,34,170,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400,"{'value': 485000, 'currency': 'EUR'}",,Jhomier Guerrero,,34,False,20.0,14.0,3.0,,0.0,,5.0,,,,,90.0,43.0,6.4,9.0,1.0,"{'original': 6.4, 'alternative': None}",,,3.0,4.0,,3.0,2.0,,,,1.0,,1.0,1.0,,,,,1.0,,,,,Junior Barranquilla,away,1.0,
Christian Javier Báez,christian-javier-baez,C. J. Báez,D,66,180,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200,"{'value': 290000, 'currency': 'EUR'}",,,,66,False,27.0,15.0,16.0,6.0,0.0,,3.0,,,,,90.0,32.0,6.4,12.0,,"{'original': 6.4, 'alternative': None}",,,1.0,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,Junior Barranquilla,away,,
Daniel Rivera,daniel-rivera,D. Rivera,D,5,184,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000,"{'value': 775000, 'currency': 'EUR'}",,Daniel Rivera,,5,False,17.0,9.0,7.0,3.0,0.0,,4.0,,,,,90.0,29.0,6.6,9.0,,"{'original': 6.6, 'alternative': None}",,,2.0,3.0,,2.0,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,Junior Barranquilla,away,,
Edwin Herrera,edwin-herrera,E. Herrera,D,3,170,69,931354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904694400,"{'value': 730000, 'currency': 'EUR'}",,,,3,False,16.0,9.0,7.0,2.0,0.0,,2.0,,,,,90.0,29.0,6.2,10.0,,"{'original': 6.2, 'alternative': None}",,,2.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,Junior Barranquilla,away,,
Didier Moreno,didier-moreno,D. Moreno,M,6,177,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800,"{'value': 520000, 'currency': 'EUR'}",,,,6,False,24.0,17.0,2.0,1.0,0.0,,4.0,,,,,89.0,40.0,7.0,9.0,,"{'original': 7, 'alternative': None}",,,4.0,6.0,1.0,1.0,2.0,,,1.0,1.0,3.0,2.0,,,1.0,,,2.0,,,,True,Junior Barranquilla,away,,
Yimmi Chará,yimmi-chara,Y. Chará,M,8,169,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",,,8,False,14.0,12.0,,,0.0,,2.0,,,,,73.0,28.0,6.0,7.0,,"{'original': 6, 'alternative': None}",,,3.0,2.0,,,2.0,,,,,2.0,,,1.0,2.0,1.0,,,,,,,Junior Barranquilla,away,,2.0
Fabián Ángel,fabian-angel,F. Ángel,M,80,175,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800,"{'value': 390000, 'currency': 'EUR'}",,,,80,False,19.0,18.0,4.0,4.0,0.0,,1.0,,,,,90.0,29.0,7.1,2.0,1.0,"{'original': 7.1, 'alternative': None}",1.0,,2.0,3.0,2.0,1.0,,,2.0,1.0,,2.0,,,1.0,,,,,,,,,Junior Barranquilla,away,,
Steven Rodríguez,steven-rodriguez,S. Rodríguez,F,23,177,169,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800,"{'value': 460000, 'currency': 'EUR'}",,,,23,False,16.0,13.0,2.0,2.0,0.0,1.0,,,,,,74.0,33.0,7.9,10.0,2.0,"{'original': 7.9, 'alternative': None}",1.0,,2.0,4.0,1.0,,,2.0,4.0,,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,Junior Barranquilla,away,,1.0
Bryan Castrillón,bryan-castrillon,B. Castrillón,F,88,169,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000,"{'value': 485000, 'currency': 'EUR'}",,,,88,False,10.0,7.0,1.0,,1.0,1.0,1.0,,,,,73.0,21.0,7.0,7.0,1.0,"{'original': 7, 'alternative': None}",4.0,2.0,2.0,2.0,1.0,,1.0,,1.0,1.0,,1.0,2.0,,,,,,1.0,,,,,Junior Barranquilla,away,,
Guillermo Paiva,guillermo-paiva,G. Paiva,F,9,182,391,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000,"{'value': 850000, 'currency': 'EUR'}",,,,9,False,25.0,15.0,7.0,4.0,0.0,1.0,2.0,,,,,64.0,33.0,6.9,13.0,2.0,"{'original': 6.9, 'alternative': None}",1.0,,5.0,4.0,,1.0,2.0,3.0,,2.0,,,1.0,,,,,,,,,,,Junior Barranquilla,away,,
Jordan Barrera,jordan-andres-barrera-herrera,J. Barrera,M,7,175,508,1899902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1144713600,"{'value': 235000, 'currency': 'EUR'}",,Jordan Andres,Barrera Herrera,7,True,4.0,3.0,,,0.0,1.0,,,,,,26.0,13.0,6.6,8.0,1.0,"{'original': 6.6, 'alternative': None}",1.0,,4.0,,,,,,1.0,,4.0,,,,,,,,,,,,,Junior Barranquilla,away,,
Luis Daniel González,luis-daniel-gonzalez,L. D. González,M,10,170,275,133987,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,661824000,"{'value': 410000, 'currency': 'EUR'}",,,,10,True,5.0,4.0,,,0.0,,,,,,,17.0,9.0,6.8,3.0,2.0,"{'original': 6.8, 'alternative': None}",4.0,2.0,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,
Marco Pérez,marco-perez,M. Pérez,F,18,185,224,47244,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,653616000,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. بيريز', 'hi': 'एम. पेरेज़', 'bn': 'এম. পেরেজ'}}",,,18,True,2.0,2.0,,,0.0,,,,,,,17.0,4.0,6.6,1.0,1.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,Junior Barranquilla,away,,
Carlos Bacca,carlos-bacca,C. Bacca,F,70,181,2209,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",,,70,True,2.0,1.0,,,0.0,,,,,,,16.0,2.0,6.5,1.0,,"{'original': 6.5, 'alternative': None}",,,,1.0,,,,1.0,,,,,,,,,,,,,,,,Junior Barranquilla,away,,
Yani Quintero,yani-quintero,Yani Quintero,M,16,182,57,1000298,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013904000,"{'value': 425000, 'currency': 'EUR'}",,,,16,True,1.0,1.0,,,0.0,,,,,,,8.0,2.0,6.7,,,"{'original': 6.7, 'alternative': None}",,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,Junior Barranquilla,away,,
