name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,totalCross,duelLost,duelWon,dispossessed,totalContest,wonContest,totalClearance,wasFouled,aerialLost,aerialWon,interceptionWon,totalTackle,penaltyConceded,fouls,outfielderBlock,shotOffTarget,blockedScoringAttempt,keyPass,accurateCross,onTargetScoringAttempt,penaltyWon,challengeLost,goals,bigChanceCreated,bigChanceMissed,totalOffside,penaltyMiss,captain,team,teamType,savedShotsFromInsideTheBox,penaltySave,saves,punches
Aldair Quintana,aldair-quintana,A. Quintana,G,1,194.0,154,844584,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 930000, 'currency': 'EUR'}",,,,1,False,11.0,9.0,2.0,0.0,2.0,90.0,22.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Aldair Gutiérrez,aldair-gutierrez,A. Gutiérrez,D,19,176.0,66,857498,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,898041600,"{'value': 490000, 'currency': 'EUR'}",,,,19,False,32.0,20.0,10.0,0.0,,73.0,44.0,6.4,21.0,"{'original': 6.4, 'alternative': None}",6.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Carlos Romaña,carlos-romana,C. Romaña,D,23,187.0,42,933442,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942192000,"{'value': 475000, 'currency': 'EUR'}",,,,23,False,38.0,29.0,13.0,0.0,,90.0,54.0,6.6,15.0,"{'original': 6.6, 'alternative': None}",7.0,,3.0,3.0,,,,5.0,,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Jefferson Mena,jefferson-mena,J. Mena,D,2,183.0,66,355850,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,613872000,"{'value': 97000, 'currency': 'EUR'}",,,,2,False,25.0,21.0,2.0,0.0,,90.0,39.0,7.5,4.0,"{'original': 7.5, 'alternative': None}",2.0,,1.0,10.0,,,,6.0,1.0,1.0,6.0,1.0,3.0,,,2.0,,,,,,,,,,,,,True,Atlético Bucaramanga,home,,,,
Carlos Henao,carlos-henao,C. Henao,D,29,187.0,65,822085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,597110400,"{'value': 105000, 'currency': 'EUR'}",,,,29,False,32.0,22.0,7.0,0.0,,90.0,45.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",4.0,1.0,3.0,4.0,,,,4.0,1.0,1.0,4.0,2.0,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Fredy Hinestroza,fredy-hinestroza,F. Hinestroza,D,8,178.0,94,249075,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,639273600,"{'value': 360000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. هينستروزا', 'hi': 'एफ. हिनेस्ट्रोज़ा', 'bn': 'এফ. হিনেস্ট্রোজা'}}",8,False,40.0,28.0,8.0,0.0,,90.0,58.0,7.0,15.0,"{'original': 7, 'alternative': None}",3.0,2.0,1.0,3.0,,,,1.0,,,,2.0,3.0,,2.0,,1.0,,,1.0,1.0,,,,,,,,,Atlético Bucaramanga,home,,,,
Leonardo Flores,leonardo-flores,L. Flores,M,28,176.0,186,874451,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,807580800,"{'value': 385000, 'currency': 'EUR'}",,,,28,False,21.0,17.0,1.0,0.0,,74.0,37.0,7.2,10.0,"{'original': 7.2, 'alternative': None}",,6.0,3.0,2.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,3.0,3.0,,1.0,,,,,,,,Atlético Bucaramanga,home,,,,
Edwin Castro,edwin-castro,E. Castro,M,22,183.0,86,339719,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698630400,"{'value': 210000, 'currency': 'EUR'}",,,,22,False,34.0,29.0,3.0,0.0,,87.0,41.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",1.0,,5.0,2.0,1.0,2.0,1.0,,,,,1.0,1.0,,2.0,,,,1.0,,1.0,,1.0,,,,,,,Atlético Bucaramanga,home,,,,
Fabián Sambueza,fabian-sambueza,F. Sambueza,M,10,173.0,211,789379,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,586396800,"{'value': 230000, 'currency': 'EUR'}",,,,10,False,38.0,28.0,2.0,0.0,,90.0,50.0,7.2,13.0,"{'original': 7.2, 'alternative': None}",,2.0,4.0,2.0,,1.0,1.0,,,1.0,,,1.0,,3.0,,,2.0,,,2.0,,,1.0,,,,,,Atlético Bucaramanga,home,,,,
Andrés Ponce,andres-ponce,A. Ponce,F,9,182.0,258,785973,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,847670400,"{'value': 465000, 'currency': 'EUR'}",,,,9,False,10.0,8.0,1.0,1.0,,77.0,16.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,3.0,3.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,Atlético Bucaramanga,home,,,,
