name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialLost,duelLost,totalClearance,goodHighClaim,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,outfielderBlock,interceptionWon,fouls,duelWon,challengeLost,shotOffTarget,totalTackle,totalCross,accurateCross,aerialWon,totalContest,wasFouled,keyPass,onTargetScoringAttempt,goals,dispossessed,wonContest,blockedScoringAttempt,bigChanceCreated,totalOffside,captain,team,teamType,savedShotsFromInsideTheBox,bigChanceMissed,hitWoodwork
Luis Marquinez,Luis Marquines,,luis-marquinez,L. Marquinez,G,25,193.0,237,1106564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1049932800.0,"{'value': 655000, 'currency': 'EUR'}",,25,False,53.0,31.0,26.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,60.0,6.5,22.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Joan Castro,,,joan-castro,J. Castro,D,20,176.0,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600.0,"{'value': 680000, 'currency': 'EUR'}",,20,False,17.0,13.0,2.0,,0.0,2.0,4.0,4.0,,,,90.0,33.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Simon Garcia,Simon Garcia,,garcia-simon,S. Garcia,D,28,186.0,154,1602863,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1105401600.0,"{'value': 235000, 'currency': 'EUR'}",,28,False,34.0,29.0,4.0,2.0,0.0,,3.0,7.0,,,,90.0,49.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",3.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Royer Caicedo,Royer Caicedo,,royer-caicedo,R. Caicedo,D,33,193.0,70,1994822,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1146787200.0,,,33,False,47.0,35.0,14.0,6.0,0.0,1.0,2.0,7.0,,,,90.0,56.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Andrés Salazar,Andrés Salazar,,andres-salazar,A. Salazar,D,17,182.0,251,1174790,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042588800.0,"{'value': 580000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. سالازار', 'hi': 'ए. सालाज़ार', 'bn': 'এ. সালাজার'}}",17,False,23.0,20.0,4.0,3.0,1.0,,1.0,2.0,,,,89.0,45.0,7.4,5.0,"{'original': 7.4, 'alternative': None}",,1.0,,6.0,,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,Atlético Nacional,home,,,
Sebastián Guzmán,,,sebastian-guzman,S. Guzmán,M,32,177.0,110,924567,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864604800.0,"{'value': 720000, 'currency': 'EUR'}",,32,False,34.0,31.0,7.0,5.0,0.0,,,,,,,55.0,39.0,7.4,3.0,"{'original': 7.4, 'alternative': None}",,,,5.0,,,2.0,,,,,3.0,1.0,,,,,,,,,Atlético Nacional,home,,,
Elkin Rivero,,,elkin-rivero,E. Rivero,M,26,,70,1940903,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1140998400.0,,,26,False,7.0,5.0,,,0.0,,,,,,,90.0,11.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,Atlético Nacional,home,,,
Faber Andrés Gil,,,faber-andres-gil,F. A. Gil,M,7,178.0,148,831377,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796003200.0,"{'value': 665000, 'currency': 'EUR'}",,7,False,6.0,4.0,,,0.0,,2.0,,,,,56.0,11.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,2.0,,,1.0,,2.0,1.0,,,,,,,,,,,,,Atlético Nacional,home,,,
Andrés Sarmiento,,,andres-sarmiento,A. Sarmiento,M,29,170.0,200,842663,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884822400.0,"{'value': 720000, 'currency': 'EUR'}",,29,False,12.0,9.0,2.0,2.0,0.0,,2.0,1.0,,,,69.0,30.0,9.4,6.0,"{'original': 9.4, 'alternative': None}",,,1.0,5.0,1.0,1.0,2.0,4.0,3.0,1.0,,2.0,4.0,4.0,2.0,,,,,,,Atlético Nacional,home,,,
Dairon Asprilla,,,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000.0,"{'value': 720000, 'currency': 'EUR'}",,27,False,5.0,4.0,,,0.0,1.0,6.0,1.0,,,,69.0,16.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,,3.0,3.0,,,,,,2.0,1.0,,1.0,,,2.0,1.0,1.0,,,,Atlético Nacional,home,,,
