name,firstName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,penaltySave,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,duelWon,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,fouls,keyPass,wasFouled,accurateCross,dispossessed,totalContest,wonContest,shotOffTarget,penaltyConceded,bigChanceCreated,totalOffside,blockedScoringAttempt,goals,captain,team,teamType,fieldTranslations,punches,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock,challengeLost,aerialWon,penaltyWon,bigChanceMissed,penaltyMiss
Kevin Armesto,Kevin Armesto,kevin-armesto,K. Armesto,G,1,186.0,6,1174799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865209600.0,"{'value': 290000, 'currency': 'EUR'}",,1,False,22.0,20.0,3.0,1.0,0.0,2.0,1.0,2.0,90.0,25.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,,,,,
Anderson Mojica,,anderson-mojica,A. Mojica,D,4,176.0,5,974190,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,900633600.0,"{'value': 24000, 'currency': 'EUR'}",,4,False,31.0,30.0,5.0,4.0,0.0,,,,90.0,54.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",2.0,1.0,3.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,Llaneros FC,home,,,,,,,,,,
Óscar Vega,Oscar Vega,oscar-vega,Ó. Vega,D,30,,8,2030749,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,30,False,51.0,43.0,5.0,1.0,0.0,,,,90.0,58.0,6.3,8.0,"{'original': 6.3, 'alternative': None}",,,,2.0,,2.0,2.0,1.0,,,1.0,,,,,,,,,,,,Llaneros FC,home,,,,,,,,,,
Jan Ángulo,Jan Ángulo,jan-angulo,J. Ángulo,D,20,,14,1478219,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988675200.0,"{'value': 260000, 'currency': 'EUR'}",,20,False,59.0,54.0,8.0,7.0,0.0,,,,90.0,65.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,,2.0,,3.0,,2.0,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,,,,,
Jhildrey Lasso,Jhildrey Lasso,jhildrey-lasso,J. Lasso,D,11,173.0,13,1478224,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026604800.0,"{'value': 145000, 'currency': 'EUR'}",,33,False,21.0,18.0,,,0.0,,,,90.0,36.0,6.1,10.0,"{'original': 6.1, 'alternative': None}",9.0,1.0,3.0,,,,,,1.0,1.0,,4.0,1.0,,,,,,,,,,Llaneros FC,home,,,,,,,,,,
Carlos Sierra,,carlos-sierra,C. Sierra,M,14,183.0,60,895805,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,656812800.0,"{'value': 280000, 'currency': 'EUR'}",,14,False,23.0,20.0,2.0,2.0,0.0,,,,65.0,32.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,,1.0,2.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,2.0,,,,,,,Llaneros FC,home,,,,,,,,,,
Eyder Restrepo,,eyder-restrepo,E. Restrepo,M,5,169.0,6,1014821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922665600.0,"{'value': 265000, 'currency': 'EUR'}",,5,False,30.0,27.0,3.0,2.0,0.0,,,,45.0,35.0,6.2,5.0,"{'original': 6.2, 'alternative': None}",,,3.0,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,Llaneros FC,home,,,,,,,,,,
Freddy Espinal,Freddy Espinal,freddy-espinal,F. Espinal,M,11,181.0,9,1175063,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878169600.0,"{'value': 240000, 'currency': 'EUR'}",,11,False,11.0,10.0,,,0.0,,,,45.0,18.0,5.9,4.0,"{'original': 5.9, 'alternative': None}",2.0,,2.0,,,,,,1.0,,,,1.0,,,,1.0,,,,,,Llaneros FC,home,,,,,,,,,,
Andrés López,,andres-lopez,A. López,M,8,177.0,8,1465554,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1046044800.0,"{'value': 145000, 'currency': 'EUR'}",,8,False,40.0,35.0,6.0,3.0,0.0,,,,78.0,54.0,6.4,14.0,"{'original': 6.4, 'alternative': None}",4.0,,3.0,,,,1.0,,2.0,,,,1.0,,,2.0,,,,,,,Llaneros FC,home,,,,,,,,,,
Bryan Urueña,,bryan-uruena,B. Urueña,M,10,175.0,20,830014,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,720489600.0,"{'value': 240000, 'currency': 'EUR'}",,10,False,43.0,39.0,7.0,4.0,1.0,,,,90.0,64.0,7.6,17.0,"{'original': 7.6, 'alternative': None}",12.0,,1.0,3.0,,,,,,3.0,2.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,,True,Llaneros FC,home,,,,,,,,,,
Michael Rangel,,michael-rangel,M. Rangel,F,9,186.0,141,1103938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,668390400.0,"{'value': 190000, 'currency': 'EUR'}",,9,False,20.0,15.0,1.0,,0.0,,,,90.0,29.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,,1.0,,1.0,,,,,1.0,,,1.0,,,1.0,,,,2.0,,,Llaneros FC,home,,,,,,,,,,
Duván Mosquera,Duván Mosquera,duvan-mosquera,D. Mosquera,M,27,175.0,3,1174806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890870400.0,"{'value': 330000, 'currency': 'EUR'}",,27,True,35.0,23.0,4.0,1.0,0.0,,,,45.0,42.0,7.2,13.0,"{'original': 7.2, 'alternative': None}",,,2.0,5.0,,,,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,Llaneros FC,home,,,,,,,,,,
Jhonatan Mayorga,,jhonatan-mayorga,J. Mayorga,F,10,,8,1847482,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1124323200.0,,,16,True,16.0,12.0,,,0.0,,,,45.0,25.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",1.0,,6.0,2.0,1.0,,,1.0,3.0,2.0,1.0,,1.0,2.0,,,,,1.0,,,,Llaneros FC,home,,,,,,,,,,
Harold Reina,,harold-reina,H. Reina,F,17,177.0,20,312306,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,648259200.0,"{'value': 52000, 'currency': 'EUR'}",,17,True,6.0,5.0,,,0.0,,,,25.0,9.0,7.4,1.0,"{'original': 7.4, 'alternative': None}",,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,1.0,,Llaneros FC,home,,,,,,,,,,
Marlon Sierra,,marlon-sierra,M. Sierra,M,6,174.0,6,890057,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,780105600.0,"{'value': 97000, 'currency': 'EUR'}",,6,True,14.0,13.0,1.0,1.0,0.0,,,,12.0,15.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,,,,1.0,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,,,,,
Roameth Romaña,Roameth Romaña,roameth-romana,R. Romaña,G,22,180.0,4,1175030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,852681600.0,"{'value': 27000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,,,,,
Cristian Valencia,,cristian-valencia,C. Valencia,D,15,186.0,25,842690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,691804800.0,"{'value': 48000, 'currency': 'EUR'}",,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,,,,,
Maicol Medina,,maicol-medina,M. Medina,M,18,178.0,11,1100059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865382400.0,"{'value': 240000, 'currency': 'EUR'}",,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,,,,,
William Cuesta,,william-cuesta,W. Cuesta,G,1,195.0,24,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000.0,"{'value': 270000, 'currency': 'EUR'}",,1,False,31.0,23.0,12.0,5.0,0.0,3.0,,3.0,90.0,51.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",,,,1.0,,5.0,,,,,1.0,,,,,,,,,,,,Deportes Tolima,away,,1.0,1.0,1.0,,,,,,
Cristian Guzman,Cristian,cristian-guzman,C. Guzman,D,14,,3,1939512,{},EUR,,,Guzman,14,False,19.0,16.0,3.0,2.0,0.0,,,,65.0,35.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",1.0,,4.0,5.0,,,,4.0,2.0,,1.0,,1.0,1.0,,1.0,,,,,,,Deportes Tolima,away,,,,,,,,,,
Anderson Angulo,,anderson-angulo,A. Angulo,D,2,187.0,25,925127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828316800.0,"{'value': 570000, 'currency': 'EUR'}",,2,False,22.0,20.0,1.0,,0.0,,,,45.0,28.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,5.0,,,,,1.0,,,,,,,,,,,,Deportes Tolima,away,,,,,,,,,,
Marlon Torres,,marlon-torres,M. Torres,D,17,180.0,44,869990,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829699200.0,"{'value': 590000, 'currency': 'EUR'}",,17,False,55.0,49.0,6.0,3.0,0.0,,,,90.0,65.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,,1.0,2.0,,6.0,,1.0,,,1.0,,,1.0,,,,,,,,,Deportes Tolima,away,,,,,1.0,,,,,
Cristian Arrieta,,cristian-arrieta,C. Arrieta,M,71,170.0,27,819133,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,820627200.0,"{'value': 605000, 'currency': 'EUR'}",,71,False,26.0,19.0,2.0,1.0,1.0,,,,90.0,48.0,7.1,15.0,"{'original': 7.1, 'alternative': None}",2.0,,,3.0,,3.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,Deportes Tolima,away,,,,,,,,,,
Fabián Mosquera,,fabian-mosquera,F. Mosquera,M,19,177.0,13,870084,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794188800.0,"{'value': 235000, 'currency': 'EUR'}",,19,False,45.0,40.0,4.0,3.0,0.0,,,,90.0,55.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",1.0,,3.0,,,2.0,,,,,,,2.0,1.0,,,,,,,,,Deportes Tolima,away,,,,,,,,,,
Cristian Trujillo,,cristian-trujillo,C. Trujillo,M,6,174.0,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800.0,"{'value': 580000, 'currency': 'EUR'}",,6,False,48.0,43.0,3.0,3.0,0.0,,,,90.0,59.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",,,2.0,1.0,,4.0,2.0,1.0,,,,,1.0,,,1.0,,,,,,True,Deportes Tolima,away,,,,,,1.0,,,,
Luis Miranda,,luis-miranda,L. Miranda,F,28,180.0,33,891115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872640000.0,"{'value': 290000, 'currency': 'EUR'}",,28,False,17.0,13.0,,,0.0,,,,65.0,24.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",1.0,,1.0,3.0,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,Deportes Tolima,away,,,,,,,,,,
Jader Quinones,Jader Quiñónes,quinones-jader,J. Quiñónes,M,42,170.0,107,1129437,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976579200.0,"{'value': 630000, 'currency': 'EUR'}",,42,False,35.0,29.0,4.0,3.0,1.0,,,,73.0,44.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",,,4.0,5.0,,,,3.0,,1.0,1.0,,2.0,1.0,,,,,,,,,Deportes Tolima,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. جادر', 'hi': 'जे. क्विनोन', 'bn': 'জে. কুইনস'}}",,,,,1.0,1.0,1.0,,
Jersson González,,jersson-gonzalez,J. González,M,7,172.0,89,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000.0,"{'value': 955000, 'currency': 'EUR'}",,7,False,18.0,15.0,,,0.0,,,,65.0,24.0,7.4,4.0,"{'original': 7.4, 'alternative': None}",,,,3.0,2.0,,,1.0,,,1.0,,,,,,,,,,1.0,,Deportes Tolima,away,,,,,,,1.0,,1.0,
