name,firstName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,dispossessed,fouls,totalOffside,onTargetScoringAttempt,interceptionWon,accurateCross,challengeLost,shotOffTarget,totalTackle,totalContest,wonContest,wasFouled,outfielderBlock,keyPass,goals,blockedScoringAttempt,captain,team,teamType,fieldTranslations
Kevin Armesto,Kevin Armesto,kevin-armesto,K. Armesto,G,1,186.0,6,1174799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865209600,"{'value': 290000, 'currency': 'EUR'}",,1,False,38.0,25.0,16.0,4.0,0.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,90.0,48.0,7.6,13.0,"{'original': 7.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,
Geovan Montes,,geovan-montes,G. Montes,D,31,178.0,6,821735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,823046400,"{'value': 285000, 'currency': 'EUR'}",,31,False,14.0,11.0,,,0.0,,,2.0,,,,,,,75.0,25.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",2.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,Llaneros FC,home,
Jan Ángulo,Jan Ángulo,jan-angulo,J. Ángulo,D,20,,14,1478219,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988675200,"{'value': 260000, 'currency': 'EUR'}",,20,False,43.0,41.0,5.0,5.0,0.0,5.0,5.0,11.0,,,,,,,90.0,61.0,7.7,4.0,"{'original': 7.7, 'alternative': None}",,1.0,2.0,1.0,,,1.0,2.0,,,,,,,,,,,,,Llaneros FC,home,
Cristian Valencia,,cristian-valencia,C. Valencia,D,15,186.0,25,842690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,691804800,"{'value': 48000, 'currency': 'EUR'}",,15,False,52.0,46.0,8.0,6.0,0.0,2.0,2.0,8.0,,,,,,,90.0,64.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",,1.0,1.0,,,,,,,,,,,,,,,,,,Llaneros FC,home,
Santiago Cantillo,,santiago-cantillo,S. Cantillo,M,29,,3,1638690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600,,,29,False,24.0,21.0,1.0,1.0,0.0,2.0,3.0,4.0,,,,,,,58.0,33.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,Llaneros FC,home,
Duván Mosquera,Duván Mosquera,duvan-mosquera,D. Mosquera,M,27,175.0,3,1174806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890870400,"{'value': 330000, 'currency': 'EUR'}",,27,False,51.0,45.0,2.0,,0.0,1.0,5.0,3.0,,,,,,,90.0,62.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,1.0,2.0,,1.0,,,,,,,,1.0,1.0,3.0,,,,,,Llaneros FC,home,
Eyder Restrepo,,eyder-restrepo,E. Restrepo,M,5,169.0,6,1014821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922665600,"{'value': 265000, 'currency': 'EUR'}",,5,False,72.0,65.0,5.0,5.0,0.0,1.0,4.0,1.0,,,,,,,90.0,77.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,1.0,3.0,,2.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,Llaneros FC,home,
Roberto Hinojosa,,roberto-hinojosa,R. Hinojosa,M,80,170.0,64,989392,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,930873600,"{'value': 530000, 'currency': 'EUR'}",,80,False,42.0,39.0,5.0,4.0,0.0,,4.0,,,,,,,,67.0,52.0,7.7,6.0,"{'original': 7.7, 'alternative': None}",1.0,,2.0,,2.0,,,1.0,,,1.0,,,,4.0,1.0,1.0,,,,Llaneros FC,home,
Carlos Sierra,,carlos-sierra,C. Sierra,M,14,183.0,60,895805,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,656812800,"{'value': 280000, 'currency': 'EUR'}",,14,False,26.0,21.0,2.0,2.0,0.0,,,1.0,,,,,,,67.0,35.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,1.0,2.0,,,,,,,1.0,2.0,,,,,,,,,,Llaneros FC,home,
Bryan Urueña,,bryan-uruena,B. Urueña,M,10,175.0,20,830014,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,720489600,"{'value': 240000, 'currency': 'EUR'}",,10,False,57.0,37.0,9.0,4.0,0.0,,1.0,3.0,,,,,,,90.0,76.0,6.9,30.0,"{'original': 6.9, 'alternative': None}",7.0,,1.0,,2.0,,,,1.0,,,,,,1.0,,2.0,,,True,Llaneros FC,home,
Michael Rangel,,michael-rangel,M. Rangel,F,9,186.0,141,1103938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,668390400,"{'value': 190000, 'currency': 'EUR'}",,9,False,25.0,18.0,2.0,2.0,0.0,3.0,4.0,3.0,,,,,,,75.0,35.0,7.6,10.0,"{'original': 7.6, 'alternative': None}",,2.0,3.0,1.0,,,1.0,,,,1.0,1.0,,,,,1.0,1.0,,,Llaneros FC,home,
Jhildrey Lasso,Jhildrey Lasso,jhildrey-lasso,J. Lasso,D,11,173.0,13,1478224,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026604800,"{'value': 145000, 'currency': 'EUR'}",,33,True,7.0,7.0,,,0.0,,1.0,,,,,,,,32.0,20.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,Llaneros FC,home,
Freddy Espinal,Freddy Espinal,freddy-espinal,F. Espinal,M,11,181.0,9,1175063,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878169600,"{'value': 240000, 'currency': 'EUR'}",,11,True,8.0,8.0,,,0.0,,2.0,,,,,,,,23.0,13.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,1.0,,,,,,,,,,,,2.0,,1.0,,,,Llaneros FC,home,
Kener Valencia,Kener Valencia,kener-valencia,K. Valencia,F,70,184.0,54,1174010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002153600,"{'value': 285000, 'currency': 'EUR'}",,70,True,3.0,2.0,,,0.0,,,,,,,,,,23.0,7.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,2.0,1.0,1.0,,,,,,,,,,,,,,,,Llaneros FC,home,
Jaison Mina,Jaison Mina,jaison-mina,J. Mina,D,28,188.0,9,1174007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949104000,"{'value': 145000, 'currency': 'EUR'}",,23,True,3.0,1.0,1.0,1.0,0.0,,,,,,,,,,15.0,4.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,Llaneros FC,home,
Brandon Churi,Brandon Churi,brandon-churi,B. Churi,M,19,175.0,8,2022043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1109808000,,,19,True,2.0,1.0,,,0.0,,,,,,,,,,15.0,3.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,1.0,,,,,,,1.0,,,,,,,,,1.0,,Llaneros FC,home,
Humberto Acevedo,,humberto-acevedo,H. Acevedo,G,77,185.0,17,873463,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864345600,"{'value': 53000, 'currency': 'EUR'}",,77,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,
Marlon Sierra,,marlon-sierra,M. Sierra,M,6,174.0,6,890057,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,780105600,"{'value': 97000, 'currency': 'EUR'}",,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,
Cristopher Varela,,cristopher-varela,C. Varela,G,1,189.0,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800,"{'value': 400000, 'currency': 'EUR'}",,1,False,17.0,12.0,6.0,2.0,0.0,,,1.0,,,1.0,,1.0,1.0,90.0,22.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}"
Leider Riascos,,leider-riascos,L. Riascos,D,29,160.0,37,1084156,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,962668800,"{'value': 580000, 'currency': 'EUR'}",,29,False,34.0,25.0,1.0,,0.0,,2.0,2.0,,,,,,,65.0,45.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",3.0,,1.0,,1.0,,,,3.0,,,1.0,1.0,1.0,,,1.0,,,,Deportivo La Equidad,away,
