name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,challengeLost,interceptionWon,fouls,aerialWon,duelWon,dispossessed,blockedScoringAttempt,outfielderBlock,keyPass,accurateCross,totalContest,wonContest,shotOffTarget,totalTackle,wasFouled,onTargetScoringAttempt,goals,hitWoodwork,totalOffside,captain,team,teamType,fieldTranslations,saves,penaltyConceded
Victor Cabezas,victor-cabezas,V. Cabezas,G,12,191.0,3,829963,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878428800,"{'value': 52000, 'currency': 'EUR'}",,,12,False,24.0,15.0,14.0,6.0,0.0,1.0,1.0,90.0,27.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,
Israel Alba,israel-alba,I. Alba,D,22,175.0,19,822106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,799718400,"{'value': 430000, 'currency': 'EUR'}",,,22,False,21.0,8.0,7.0,1.0,0.0,4.0,,90.0,38.0,6.6,20.0,"{'original': 6.6, 'alternative': None}",4.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,True,Deportivo Pasto,home,,,
Brayan Carabalí,brayan-carabali,B. Carabalí,D,2,188.0,19,974303,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919900800,"{'value': 385000, 'currency': 'EUR'}",,,2,False,28.0,22.0,7.0,4.0,0.0,6.0,,90.0,40.0,7.0,9.0,"{'original': 7, 'alternative': None}",,,1.0,,,,4.0,4.0,1.0,2.0,,,,,,,,,,,,,,Deportivo Pasto,home,,,
Andrés Alarcón,andres-alarcon,A. Alarcón,D,24,192.0,43,1179168,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990230400,,Andrés Alarcón,,24,False,38.0,33.0,9.0,7.0,0.0,9.0,,90.0,52.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,
Joyce Ossa,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000,"{'value': 280000, 'currency': 'EUR'}",Joyce Ossa,,23,False,52.0,46.0,10.0,5.0,0.0,6.0,,90.0,68.0,7.9,7.0,"{'original': 7.9, 'alternative': None}",,1.0,1.0,,3.0,,2.0,2.0,,1.0,2.0,1.0,,,,,,,,,,,,Deportivo Pasto,home,,,
Mauricio Castaño,mauricio-castano,M. Castaño,D,20,177.0,13,1098313,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 105000, 'currency': 'EUR'}",Mauricio Castaño,,20,False,22.0,20.0,1.0,1.0,0.0,1.0,,90.0,41.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",8.0,,2.0,1.0,,1.0,,,,,,2.0,3.0,,,,,,,,,,,Deportivo Pasto,home,,,
Déinner Quiñones,deinner-quinones,D. Quiñones,M,70,172.0,95,846799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,808531200,"{'value': 515000, 'currency': 'EUR'}",,,70,False,17.0,16.0,2.0,2.0,0.0,,,65.0,28.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",3.0,,6.0,1.0,1.0,1.0,,1.0,3.0,,,,1.0,2.0,1.0,,,,,,,,,Deportivo Pasto,home,,,
Felipe Jaramillo,felipe-jaramillo,F. Jaramillo,M,17,185.0,31,924429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829785600,"{'value': 310000, 'currency': 'EUR'}",,,17,False,44.0,40.0,4.0,3.0,0.0,1.0,,90.0,52.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,,3.0,2.0,1.0,1.0,,2.0,,,,,,,,1.0,1.0,1.0,,,,,,Deportivo Pasto,home,,,
Juan Castilla,juan-castilla,J. Castilla,M,13,172.0,177,1025325,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090886400,"{'value': 440000, 'currency': 'EUR'}",,,13,False,34.0,30.0,3.0,2.0,0.0,1.0,,90.0,42.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",2.0,,5.0,1.0,,4.0,,4.0,,1.0,,,,,,,2.0,2.0,,,,,,Deportivo Pasto,home,,,
Facundo Boné,facundo-bone,F. Boné,M,77,176.0,84,924738,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,816480000,"{'value': 280000, 'currency': 'EUR'}",,,77,False,17.0,12.0,,,0.0,,,76.0,34.0,7.2,13.0,"{'original': 7.2, 'alternative': None}",2.0,1.0,3.0,,,,1.0,4.0,1.0,1.0,,1.0,,2.0,1.0,,2.0,,1.0,1.0,,,,Deportivo Pasto,home,,,
