name,firstName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,dispossessed,totalClearance,fouls,totalOffside,keyPass,aerialWon,duelWon,outfielderBlock,totalTackle,interceptionWon,accurateCross,totalContest,shotOffTarget,wasFouled,challengeLost,wonContest,onTargetScoringAttempt,blockedScoringAttempt,bigChanceCreated,goals,captain,team,teamType,fieldTranslations,errorLeadToAShot,hitWoodwork
Kevin Armesto,Kevin Armesto,kevin-armesto,K. Armesto,G,1,186.0,6,1174799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865209600.0,"{'value': 290000, 'currency': 'EUR'}",,1,False,43.0,28.0,26.0,11.0,0.0,3.0,3.0,1.0,1.0,90.0,51.0,7.0,15.0,"{'original': 7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,
Geovan Montes,,geovan-montes,G. Montes,D,31,178.0,6,821735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,823046400.0,"{'value': 285000, 'currency': 'EUR'}",,31,False,19.0,15.0,1.0,,0.0,,,,,90.0,33.0,6.3,9.0,"{'original': 6.3, 'alternative': None}",2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,Llaneros FC,home,,,
Jan Ángulo,Jan Ángulo,jan-angulo,J. Ángulo,D,20,,14,1478219,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988675200.0,"{'value': 260000, 'currency': 'EUR'}",,20,False,49.0,39.0,8.0,3.0,0.0,,,,,90.0,58.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",,,1.0,,4.0,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,Llaneros FC,home,,,
Cristian Valencia,,cristian-valencia,C. Valencia,D,15,186.0,25,842690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,691804800.0,"{'value': 48000, 'currency': 'EUR'}",,15,False,35.0,33.0,6.0,4.0,0.0,,,,,90.0,46.0,7.1,2.0,"{'original': 7.1, 'alternative': None}",,1.0,1.0,,7.0,,,1.0,3.0,4.0,,1.0,2.0,,,,,,,,,,,,Llaneros FC,home,,,
Jhildrey Lasso,Jhildrey Lasso,jhildrey-lasso,J. Lasso,D,11,173.0,13,1478224,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026604800.0,"{'value': 145000, 'currency': 'EUR'}",,33,False,29.0,16.0,7.0,1.0,0.0,,,,,90.0,55.0,6.7,22.0,"{'original': 6.7, 'alternative': None}",5.0,,3.0,1.0,4.0,1.0,,2.0,1.0,3.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,Llaneros FC,home,,,
Duván Mosquera,Duván Mosquera,duvan-mosquera,D. Mosquera,M,27,175.0,3,1174806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890870400.0,"{'value': 330000, 'currency': 'EUR'}",,27,False,2.0,1.0,,,0.0,,,,,17.0,4.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,Llaneros FC,home,,,
Eyder Restrepo,,eyder-restrepo,E. Restrepo,M,5,169.0,6,1014821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922665600.0,"{'value': 265000, 'currency': 'EUR'}",,5,False,39.0,37.0,3.0,3.0,0.0,,,,,90.0,44.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,2.0,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,Llaneros FC,home,,,
Freddy Espinal,Freddy Espinal,freddy-espinal,F. Espinal,M,11,181.0,9,1175063,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878169600.0,"{'value': 240000, 'currency': 'EUR'}",,11,False,11.0,8.0,2.0,2.0,0.0,,,,,68.0,31.0,7.0,12.0,"{'original': 7, 'alternative': None}",8.0,,4.0,,,3.0,,1.0,,4.0,,,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,Llaneros FC,home,,,
Bryan Urueña,,bryan-uruena,B. Urueña,M,10,175.0,20,830014,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,720489600.0,"{'value': 240000, 'currency': 'EUR'}",,10,False,27.0,20.0,4.0,1.0,2.0,,,,,79.0,43.0,8.2,13.0,"{'original': 8.2, 'alternative': None}",5.0,,2.0,1.0,1.0,1.0,,4.0,,3.0,,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,True,Llaneros FC,home,,,
Kener Valencia,Kener Valencia,kener-valencia,K. Valencia,F,70,184.0,54,1174010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002153600.0,"{'value': 285000, 'currency': 'EUR'}",,70,False,7.0,6.0,,,0.0,,,,,78.0,15.0,8.5,4.0,"{'original': 8.5, 'alternative': None}",1.0,,1.0,,,1.0,,,3.0,5.0,,1.0,,,,,1.0,,,2.0,1.0,,2.0,,Llaneros FC,home,,,
