name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,interceptionWon,totalTackle,wasFouled,fouls,aerialLost,outfielderBlock,keyPass,aerialWon,shotOffTarget,blockedScoringAttempt,accurateCross,totalContest,wonContest,challengeLost,dispossessed,onTargetScoringAttempt,goals,totalOffside,captain,team,teamType,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded,bigChanceCreated,bigChanceMissed
Andrés Tovar,Andrés Tovar,,andres-tovar,A. Tovar,G,88,188.0,64,1388644,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1143244800.0,"{'value': 320000, 'currency': 'EUR'}",88,False,22.0,15.0,10.0,3.0,0.0,1.0,1.0,1.0,90.0,27.0,6.2,7.0,"{'original': 6.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,,,,
Neymar Uribe,Neymar Uribe,,neymar-uribe,N. Uribe,D,27,172.0,32,1977622,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073606400.0,"{'value': 280000, 'currency': 'EUR'}",27,False,20.0,12.0,5.0,2.0,0.0,1.0,,,90.0,41.0,6.6,16.0,"{'original': 6.6, 'alternative': None}",1.0,2.0,3.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,Envigado FC,home,,,,,,
Jhon Gamboa,,,jhon-gamboa,J. Gamboa,D,28,194.0,4,1414723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985046400.0,"{'value': 230000, 'currency': 'EUR'}",28,False,31.0,27.0,8.0,6.0,0.0,4.0,,,90.0,37.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,3.0,,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,Envigado FC,home,,,,,,
Didier Palacios,Didier Palacios,,didier-palacios,D. Palacios,D,2,185.0,29,1647753,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1086220800.0,"{'value': 390000, 'currency': 'EUR'}",2,False,37.0,31.0,8.0,4.0,0.0,7.0,,,90.0,49.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,1.0,2.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,Envigado FC,home,,,,,,
Emanuel Londoño,Emanuel Londoño,,emanuel-londono,E. Londoño,,33,,9,2063961,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,33,False,42.0,31.0,8.0,3.0,0.0,,,,90.0,68.0,6.4,18.0,"{'original': 6.4, 'alternative': None}",4.0,5.0,2.0,2.0,1.0,,2.0,1.0,,1.0,,,,1.0,3.0,1.0,,,,,,,Envigado FC,home,,,,,,
Johan Hinestroza,Johan Hinestroza,,johan-hinestroza,J. Hinestroza,M,14,176.0,11,1106571,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1016064000.0,"{'value': 205000, 'currency': 'EUR'}",14,False,31.0,24.0,2.0,2.0,0.0,,,,90.0,38.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,3.0,4.0,,4.0,,1.0,,1.0,,,,,,,,2.0,,,,,,Envigado FC,home,,,,,,
Edison López,,,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",21,False,40.0,32.0,8.0,3.0,0.0,2.0,,,90.0,54.0,6.8,12.0,"{'original': 6.8, 'alternative': None}",,4.0,5.0,,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,True,Envigado FC,home,,,,,,
Luis Díaz,Luis Díaz,,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,34,False,13.0,9.0,1.0,1.0,0.0,1.0,,,90.0,32.0,6.9,15.0,"{'original': 6.9, 'alternative': None}",2.0,2.0,,,,,,,1.0,2.0,,2.0,,,1.0,,,1.0,1.0,,,,Envigado FC,home,,,,,,
Daniel Arcila,Daniel Arcila,,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,26,False,23.0,19.0,4.0,2.0,0.0,,,,86.0,46.0,7.4,16.0,"{'original': 7.4, 'alternative': None}",7.0,4.0,4.0,,1.0,3.0,1.0,,,2.0,,,,1.0,,,1.0,2.0,2.0,1.0,,,Envigado FC,home,,,,,,
Didier Dawson,Didier Dawson,,didier-dawson,D. Dawson,M,7,173.0,46,2048967,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1128902400.0,"{'value': 81000, 'currency': 'EUR'}",7,False,13.0,9.0,,,0.0,1.0,,,74.0,23.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",1.0,3.0,5.0,,1.0,1.0,1.0,,,1.0,2.0,,,,3.0,1.0,,,,,1.0,,Envigado FC,home,,,,,,
