name,firstName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialWon,duelWon,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,totalClearance,interceptionWon,keyPass,aerialLost,duelLost,outfielderBlock,totalTackle,totalCross,dispossessed,challengeLost,wasFouled,fouls,onTargetScoringAttempt,accurateCross,captain,team,teamType,fieldTranslations,savedShotsFromInsideTheBox,saves,goals,bigChanceCreated,totalOffside
Kevin Armesto,Kevin Armesto,kevin-armesto,K. Armesto,G,1,186.0,6,1174799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865209600,"{'value': 290000, 'currency': 'EUR'}",,1,False,28.0,21.0,13.0,7.0,0.0,2.0,90.0,33.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,
Geovan Montes,,geovan-montes,G. Montes,D,31,178.0,6,821735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,823046400,"{'value': 285000, 'currency': 'EUR'}",,31,False,23.0,18.0,2.0,1.0,0.0,,90.0,38.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,Llaneros FC,home,,,,,,
Jan Ángulo,Jan Ángulo,jan-angulo,J. Ángulo,D,20,,14,1478219,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988675200,"{'value': 260000, 'currency': 'EUR'}",,20,False,49.0,42.0,8.0,5.0,0.0,,90.0,61.0,7.0,9.0,"{'original': 7, 'alternative': None}",,3.0,1.0,,,,3.0,1.0,,1.0,2.0,1.0,3.0,,,,,,,,,Llaneros FC,home,,,,,,
Cristian Valencia,,cristian-valencia,C. Valencia,D,15,186.0,25,842690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,691804800,"{'value': 48000, 'currency': 'EUR'}",,15,False,7.0,6.0,3.0,3.0,0.0,,16.0,9.0,3.1,1.0,"{'original': 3.1, 'alternative': None}",,,,,,,2.0,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,
Jhildrey Lasso,Jhildrey Lasso,jhildrey-lasso,J. Lasso,D,11,173.0,13,1478224,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026604800,"{'value': 145000, 'currency': 'EUR'}",,33,False,26.0,19.0,4.0,1.0,0.0,,90.0,58.0,6.3,21.0,"{'original': 6.3, 'alternative': None}",,2.0,5.0,2.0,2.0,,1.0,,,,5.0,,,2.0,2.0,,,,,,,Llaneros FC,home,,,,,,
Duván Mosquera,Duván Mosquera,duvan-mosquera,D. Mosquera,M,27,175.0,3,1174806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890870400,"{'value': 330000, 'currency': 'EUR'}",,27,False,36.0,29.0,4.0,2.0,0.0,,79.0,53.0,7.3,11.0,"{'original': 7.3, 'alternative': None}",,9.0,2.0,2.0,,,2.0,,,,4.0,,5.0,2.0,,2.0,2.0,2.0,,,,Llaneros FC,home,,,,,,
Marlon Sierra,,marlon-sierra,M. Sierra,M,6,174.0,6,890057,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,780105600,"{'value': 97000, 'currency': 'EUR'}",,6,False,8.0,5.0,1.0,1.0,0.0,,22.0,8.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,1.0,1.0,,,,,,,,,,,Llaneros FC,home,,,,,,
Carlos Sierra,,carlos-sierra,C. Sierra,M,14,183.0,60,895805,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,656812800,"{'value': 280000, 'currency': 'EUR'}",,14,False,29.0,22.0,6.0,2.0,0.0,,79.0,36.0,6.3,8.0,"{'original': 6.3, 'alternative': None}",,2.0,1.0,,,,2.0,,,1.0,5.0,,1.0,,,1.0,1.0,2.0,,,,Llaneros FC,home,,,,,,
Freddy Espinal,Freddy Espinal,freddy-espinal,F. Espinal,M,11,181.0,9,1175063,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878169600,"{'value': 240000, 'currency': 'EUR'}",,11,False,10.0,8.0,1.0,1.0,0.0,,60.0,21.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,1.0,1.0,,,,,1.0,1.0,1.0,5.0,,1.0,5.0,,1.0,,2.0,1.0,,,Llaneros FC,home,,,,,,
Michael Rangel,,michael-rangel,M. Rangel,F,9,186.0,141,1103938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,668390400,"{'value': 190000, 'currency': 'EUR'}",,9,False,18.0,15.0,1.0,1.0,0.0,,61.0,24.0,7.0,4.0,"{'original': 7, 'alternative': None}",1.0,3.0,,,,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,2.0,,,,,Llaneros FC,home,,,,,,
Bryan Urueña,,bryan-uruena,B. Urueña,M,10,175.0,20,830014,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,720489600,"{'value': 240000, 'currency': 'EUR'}",,10,False,44.0,28.0,9.0,4.0,0.0,,90.0,55.0,7.0,22.0,"{'original': 7, 'alternative': None}",,3.0,2.0,1.0,,,,,3.0,,3.0,,1.0,3.0,2.0,,1.0,,,1.0,True,Llaneros FC,home,,,,,,
Jaison Mina,Jaison Mina,jaison-mina,J. Mina,D,28,188.0,9,1174007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949104000,"{'value': 145000, 'currency': 'EUR'}",,23,True,20.0,14.0,4.0,1.0,0.0,,68.0,31.0,7.0,6.0,"{'original': 7, 'alternative': None}",1.0,6.0,,,,,3.0,2.0,,,2.0,1.0,4.0,,,1.0,1.0,1.0,,,,Llaneros FC,home,,,,,,
Brandon Churi,Brandon Churi,brandon-churi,B. Churi,M,19,175.0,8,2022043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1109808000,,,19,True,6.0,5.0,,,0.0,,30.0,10.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",,,1.0,,,,1.0,,,,3.0,,,,1.0,1.0,,,,,,Llaneros FC,home,,,,,,
Kener Valencia,Kener Valencia,kener-valencia,K. Valencia,F,70,184.0,54,1174010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002153600,"{'value': 285000, 'currency': 'EUR'}",,70,True,2.0,1.0,,,0.0,,29.0,3.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,1.0,2.0,,,,,1.0,,1.0,,,,Llaneros FC,home,,,,,,
