name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,totalContest,onTargetScoringAttempt,totalTackle,totalOffside,keyPass,aerialWon,interceptionWon,dispossessed,wonContest,shotOffTarget,outfielderBlock,fouls,challengeLost,blockedScoringAttempt,captain,team,teamType
Jorge Soto,jorge-soto,J. Soto,G,12,187.0,147,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600,"{'value': 410000, 'currency': 'EUR'}",,,,12,False,23.0,18.0,10.0,5.0,0.0,1.0,1.0,1.0,3.0,4.0,90.0,35.0,7.6,5.0,"{'original': 7.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,América de Cali,home
Yerson Candelo,yerson-candelo,Y. Candelo,D,92,172.0,144,158593,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698889600,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. كانديلو', 'hi': 'वाई. कैंडेलो', 'bn': 'ওয়াই. ক্যান্ডেলো'}}",,,92,False,42.0,34.0,4.0,,0.0,1.0,1.0,,,,90.0,67.0,7.3,19.0,"{'original': 7.3, 'alternative': None}",9.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,América de Cali,home
Jean Carlos Pestaña,jean-carlos-pestana,J. C. Pestaña,D,24,186.0,73,882658,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872467200,"{'value': 825000, 'currency': 'EUR'}",,,,24,False,57.0,51.0,9.0,5.0,0.0,5.0,1.0,,,,90.0,63.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",,,,,,,3.0,,,2.0,1.0,,,,,,,,,América de Cali,home
Brayan Medina,medina-brayan,B. Medina,D,23,195.0,106,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000,"{'value': 910000, 'currency': 'EUR'}",,,,23,False,57.0,50.0,5.0,3.0,0.0,5.0,5.0,1.0,,,90.0,74.0,7.8,9.0,"{'original': 7.8, 'alternative': None}",,,,2.0,2.0,1.0,,,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,América de Cali,home
Marcos Mina,marcos-mina,M. Mina,D,14,163.0,80,1098198,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923875200,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,39.0,26.0,3.0,,0.0,1.0,1.0,,,,90.0,64.0,7.1,22.0,"{'original': 7.1, 'alternative': None}",3.0,,,2.0,,1.0,,,,1.0,2.0,1.0,,2.0,,1.0,,,,América de Cali,home
Éder Balanta,eder-balanta,É. Balanta,M,3,181.0,493,322529,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730857600,"{'value': 760000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. بالانتا', 'hi': 'ई. बलंता', 'bn': 'ই. বালান্টা'}}",,,3,False,57.0,47.0,7.0,6.0,0.0,4.0,2.0,1.0,,,90.0,66.0,7.2,13.0,"{'original': 7.2, 'alternative': None}",1.0,,,4.0,1.0,1.0,2.0,,,1.0,,,,,,2.0,1.0,,,América de Cali,home
Rafael Carrascal,rafael-carrascal,R. Carrascal,M,15,173.0,256,818936,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,722736000,"{'value': 325000, 'currency': 'EUR'}",,,,15,False,74.0,72.0,13.0,12.0,0.0,2.0,,,,,90.0,82.0,7.8,7.0,"{'original': 7.8, 'alternative': None}",2.0,,1.0,2.0,,,2.0,,4.0,,,,,,,,1.0,,,América de Cali,home
Duván Vergara,duvan-vergara,D. Vergara,M,11,173.0,932,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200,"{'value': 2900000, 'currency': 'EUR'}",,,,11,False,47.0,36.0,1.0,1.0,0.0,3.0,,2.0,,,90.0,67.0,7.6,19.0,"{'original': 7.6, 'alternative': None}",6.0,4.0,,3.0,2.0,,,,3.0,1.0,1.0,1.0,,2.0,,,,1.0,True,América de Cali,home
Sebastián Navarro,sebastian-navarro,S. Navarro,M,21,186.0,123,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 840000, 'currency': 'EUR'}",,,,21,False,19.0,17.0,,,0.0,1.0,,,,,67.0,23.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,1.0,2.0,1.0,1.0,,,,,,,1.0,,,1.0,,,,América de Cali,home
Cristian Barrios,cristian-barrios,C. Barrios,M,7,163.0,267,910158,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895536000,"{'value': 1200000, 'currency': 'EUR'}",,,,7,False,32.0,27.0,4.0,1.0,0.0,6.0,,2.0,,,90.0,47.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",,,,3.0,1.0,1.0,3.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,América de Cali,home
Luis Ramos,luis-ramos,L. Ramos,F,9,175.0,1211,984107,"{'alpha2': 'PE', 'alpha3': 'PER', 'name': 'Peru', 'slug': 'peru'}",EUR,945043200,"{'value': 730000, 'currency': 'EUR'}",,,,9,False,19.0,16.0,1.0,1.0,0.0,3.0,,1.0,,,59.0,25.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,,,2.0,1.0,,,,,2.0,,,,,,1.0,,,,América de Cali,home
