name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,challengeLost,dispossessed,totalContest,totalTackle,fouls,keyPass,shotOffTarget,outfielderBlock,interceptionWon,blockedScoringAttempt,wasFouled,totalCross,onTargetScoringAttempt,accurateCross,wonContest,captain,team,teamType,bigChanceMissed
Álvaro Montero,alvaro-montero,Á. Montero,G,31,195.0,590,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",,,31,False,21.0,14.0,12.0,5.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,90.0,28.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",,,,,,,,,,,,,,,,,,True,Millonarios,home,
Sander Navarro,navarro-sander,S. Navarro,D,34,,72,1512475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1058832000,"{'value': 370000, 'currency': 'EUR'}",,,,34,False,12.0,10.0,1.0,,0.0,,3.0,2.0,,,,,75.0,29.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",1.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,Millonarios,home,
Andrés Llinás,andres-llinas,A. Llinás,D,26,188.0,286,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",,,26,False,27.0,24.0,4.0,2.0,0.0,2.0,2.0,3.0,,,,,90.0,33.0,7.3,3.0,"{'original': 7.3, 'alternative': None}",,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,Millonarios,home,
Jorge Arias,jorge-arias,J. Arias,D,17,184.0,98,355842,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,721612800,"{'value': 370000, 'currency': 'EUR'}",,,,17,False,28.0,25.0,6.0,5.0,0.0,,1.0,5.0,,,,,90.0,39.0,7.2,3.0,"{'original': 7.2, 'alternative': None}",1.0,2.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,Millonarios,home,
Danovis Banguero,danovis-banguero,D. Banguero,D,20,185.0,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600,"{'value': 320000, 'currency': 'EUR'}",,,,20,False,34.0,26.0,5.0,2.0,0.0,,,2.0,,,,,90.0,56.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",1.0,4.0,2.0,1.0,,,,,1.0,,,,,,,,,,Millonarios,home,
Dewar Victoria,dewar-victoria,D. Victoria,M,8,176.0,50,1164480,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,984960000,"{'value': 290000, 'currency': 'EUR'}",,Dewar Victoria,,8,False,32.0,24.0,4.0,1.0,0.0,,2.0,3.0,,,,,90.0,41.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,4.0,1.0,,,,3.0,2.0,,,,1.0,2.0,,,,,,Millonarios,home,
Nicolas Arevalo,arevalo-nicolas,N. Arévalo,M,5,176.0,99,1466638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047513600,"{'value': 340000, 'currency': 'EUR'}",,,,5,False,33.0,28.0,4.0,3.0,0.0,,3.0,,,,,,90.0,45.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",,1.0,,,,2.0,1.0,2.0,,,,,1.0,1.0,,,,,Millonarios,home,
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171.0,1027,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",Daniel Ruiz,,18,False,20.0,12.0,6.0,4.0,0.0,1.0,3.0,,,,,,66.0,37.0,7.1,16.0,"{'original': 7.1, 'alternative': None}",,3.0,,1.0,2.0,2.0,,2.0,2.0,,,1.0,,3.0,1.0,,,,Millonarios,home,
Néyser Villarreal,neyser-villareal,N. Villarreal,F,88,186.0,1053,1539599,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1114300800,"{'value': 1200000, 'currency': 'EUR'}",,Néyser Villarreal,,88,False,7.0,7.0,,,0.0,,4.0,,,,,,90.0,16.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",3.0,4.0,,,4.0,,,,,,,,1.0,1.0,,1.0,3.0,,Millonarios,home,
Kevin Palacios,kevin-palacios,K. Palacios,M,77,173.0,96,1131653,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949276800,"{'value': 375000, 'currency': 'EUR'}",,Kevin Palacios,,77,False,19.0,14.0,1.0,1.0,0.0,1.0,5.0,,,,,,75.0,32.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",,2.0,,2.0,,4.0,,,3.0,,,,,,,,,,Millonarios,home,
