name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,challengeLost,totalContest,wonContest,totalClearance,totalTackle,wasFouled,fouls,outfielderBlock,interceptionWon,keyPass,aerialLost,aerialWon,dispossessed,shotOffTarget,onTargetScoringAttempt,goals,totalOffside,accurateCross,captain,team,teamType,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,blockedScoringAttempt,bigChanceCreated,bigChanceMissed
Álvaro Montero,alvaro-montero,Á. Montero,G,31,195.0,590,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",,,31,False,35.0,18.0,21.0,5.0,0.0,4.0,8.0,90.0,45.0,8.3,18.0,"{'original': 8.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,True,Millonarios,home,,,,,,
Sander Navarro,navarro-sander,S. Navarro,D,34,,72,1512475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1058832000,"{'value': 370000, 'currency': 'EUR'}",,,,34,False,22.0,17.0,3.0,1.0,0.0,,,90.0,41.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",2.0,2.0,5.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,Millonarios,home,,,,,,
Andrés Llinás,andres-llinas,A. Llinás,D,26,188.0,286,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",,,26,False,33.0,27.0,5.0,2.0,0.0,,,90.0,44.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",,,,,,,7.0,,,,2.0,2.0,,,,,,,,,,,Millonarios,home,,,,,,
Jorge Arias,jorge-arias,J. Arias,D,17,184.0,98,355842,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,721612800,"{'value': 370000, 'currency': 'EUR'}",,,,17,False,32.0,28.0,2.0,,0.0,,,90.0,41.0,7.0,5.0,"{'original': 7, 'alternative': None}",,1.0,1.0,,,,5.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,Millonarios,home,,,,,,
Danovis Banguero,danovis-banguero,D. Banguero,D,20,185.0,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600,"{'value': 320000, 'currency': 'EUR'}",,,,20,False,31.0,23.0,9.0,4.0,0.0,,,90.0,46.0,7.0,12.0,"{'original': 7, 'alternative': None}",,6.0,4.0,,1.0,1.0,6.0,1.0,,2.0,,2.0,,2.0,2.0,2.0,,,,,,,Millonarios,home,,,,,,
Juan Pereira,juan-pereira,J. Pereira,M,21,182.0,102,974041,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 470000, 'currency': 'EUR'}",,,,21,False,35.0,28.0,3.0,1.0,0.0,,,90.0,48.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",,1.0,5.0,,,,4.0,3.0,1.0,1.0,,3.0,,,1.0,,,,,,,,Millonarios,home,,,,,,
Nicolas Arevalo,arevalo-nicolas,N. Arévalo,M,5,176.0,99,1466638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047513600,"{'value': 340000, 'currency': 'EUR'}",,,,5,False,25.0,21.0,2.0,1.0,0.0,,,55.0,31.0,6.2,4.0,"{'original': 6.2, 'alternative': None}",,2.0,4.0,,,,,4.0,,2.0,,1.0,1.0,,,,,,,,,,Millonarios,home,,,,,,
Jhon Córdoba,jhon-cordoba,J. Córdoba,M,15,181.0,246,961647,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 1200000, 'currency': 'EUR'}",,,,15,False,7.0,6.0,1.0,1.0,0.0,,,89.0,24.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",2.0,6.0,3.0,,,,,2.0,,3.0,,,,,1.0,3.0,1.0,2.0,1.0,1.0,,,Millonarios,home,,,,,,
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171.0,1027,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",Daniel Ruiz,,18,False,22.0,15.0,2.0,,1.0,,,60.0,30.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",2.0,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,1.0,,Millonarios,home,,,,,,
Jader Valencia,jader-valencia,J. Valencia,M,16,188.0,141,886565,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942624000,"{'value': 420000, 'currency': 'EUR'}",,,,16,False,14.0,12.0,,,0.0,,,76.0,34.0,7.6,6.0,"{'original': 7.6, 'alternative': None}",,5.0,6.0,1.0,4.0,1.0,2.0,4.0,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,,,,Millonarios,home,,,,,,
