name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,dispossessed,totalContest,shotOffTarget,blockedScoringAttempt,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,keyPass,aerialWon,wonContest,clearanceOffLine,outfielderBlock,aerialLost,challengeLost,onTargetScoringAttempt,goals,bigChanceCreated,bigChanceMissed,totalOffside,accurateCross,captain,team,teamType
Alejandro Rodríguez,Alejandro Rodríguez,,alejandro-rodriguez,A. Rodríguez,G,38,188.0,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600.0,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",38,False,21.0,9.0,14.0,2.0,0.0,1.0,1.0,90.0,25.0,6.2,12.0,"{'original': 6.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home
Fabián Viáfara,,,fabian-viafara,F. Viáfara,D,27,167.0,35,588548,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,700704000.0,"{'value': 430000, 'currency': 'EUR'}",,27,False,27.0,22.0,2.0,1.0,1.0,,,90.0,63.0,7.0,20.0,"{'original': 7, 'alternative': None}",3.0,7.0,5.0,1.0,5.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,Deportivo Cali,home
Juan Quintero,,,juan-quintero,Juan Quintero,D,3,183.0,140,589394,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,795916800.0,"{'value': 670000, 'currency': 'EUR'}",,3,False,28.0,26.0,4.0,3.0,0.0,,,90.0,40.0,7.5,3.0,"{'original': 7.5, 'alternative': None}",,1.0,6.0,,2.0,,,5.0,,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,,,,,,,,,True,Deportivo Cali,home
José Caldera,José Caldera,,jose-caldera,J. Caldera,D,12,185.0,40,1127886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1012780800.0,"{'value': 470000, 'currency': 'EUR'}",,12,False,25.0,17.0,8.0,,0.0,,,90.0,39.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",,4.0,3.0,,,,,8.0,1.0,2.0,,2.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,Deportivo Cali,home
Yulián Gómez,,,yulian-gomez,Y. Gómez,D,26,170.0,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800.0,"{'value': 440000, 'currency': 'EUR'}",,26,False,30.0,22.0,7.0,4.0,0.0,,,90.0,53.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",1.0,4.0,4.0,,1.0,,,3.0,3.0,4.0,,1.0,1.0,,,,1.0,2.0,,1.0,,,,,,,Deportivo Cali,home
Yeison Gordillo,,,yeison-gordillo,Y. Gordillo,M,30,176.0,75,285429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709430400.0,"{'value': 310000, 'currency': 'EUR'}",,30,False,35.0,28.0,4.0,,0.0,,,90.0,45.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",1.0,4.0,1.0,,,1.0,,2.0,2.0,1.0,,3.0,,,,,,1.0,,,,,,,,,Deportivo Cali,home
Victor Mejia,,,victor-mejia,V. Mejia,M,6,182.0,20,355878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,728784000.0,"{'value': 390000, 'currency': 'EUR'}",,6,False,26.0,24.0,1.0,1.0,0.0,,,76.0,36.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,4.0,3.0,,1.0,,,1.0,4.0,,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,Deportivo Cali,home
Jarlan Barrera,,,jarlan-barrera,J. Barrera,M,7,171.0,286,796511,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,811209600.0,"{'value': 595000, 'currency': 'EUR'}",,7,False,33.0,27.0,3.0,3.0,1.0,,,82.0,43.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",1.0,5.0,3.0,1.0,1.0,,1.0,,,2.0,,4.0,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,Deportivo Cali,home
Javier Reina,,,javier-reina,J. Reina,M,10,173.0,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200.0,"{'value': 210000, 'currency': 'EUR'}",,10,False,34.0,32.0,2.0,2.0,0.0,,,77.0,50.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",3.0,10.0,2.0,2.0,3.0,,,1.0,2.0,2.0,,2.0,1.0,,,,,1.0,2.0,,,,,,2.0,,Deportivo Cali,home
Andrey Estupiñán,,,andrey-estupinan,A. Estupiñán,F,11,175.0,125,944462,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773366400.0,"{'value': 320000, 'currency': 'EUR'}",,11,False,19.0,14.0,4.0,2.0,1.0,,,76.0,33.0,8.5,9.0,"{'original': 8.5, 'alternative': None}",,5.0,7.0,,1.0,,,,1.0,2.0,5.0,3.0,2.0,,,,,1.0,,1.0,1.0,2.0,,1.0,,,Deportivo Cali,home
Emiliano Rodriguez,,,rodriguez-emiliano,E. Rodriguez,F,9,190.0,365,1177548,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,1058313600.0,"{'value': 1300000, 'currency': 'EUR'}",,9,False,11.0,7.0,2.0,,0.0,,,51.0,19.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",,3.0,2.0,,,,,,,1.0,1.0,,,,,,,3.0,,1.0,1.0,,,,,,Deportivo Cali,home
Cristian Graciano,,,graciano-cristian,C. Graciano,D,44,176.0,28,1476923,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052784000.0,"{'value': 325000, 'currency': 'EUR'}",,44,True,21.0,18.0,3.0,1.0,0.0,,,39.0,27.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,3.0,,1.0,,,3.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,Deportivo Cali,home
Michael John Kamara,,,mj-kamara,M. Kamara,D,42,185.0,7,1890278,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1156982400.0,,,42,True,6.0,6.0,,,0.0,,,14.0,8.0,6.2,1.0,"{'original': 6.2, 'alternative': None}",,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,Deportivo Cali,home
Jean Galindo,Jean Galindo,,jean-galindo,J. Galindo,,33,,18,1965572,{},EUR,,,,33,True,4.0,2.0,1.0,,0.0,,,14.0,6.0,6.0,4.0,"{'original': 6, 'alternative': None}",,3.0,,,2.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,Deportivo Cali,home
Gian Cabezas,Gian Cabezas,,gian-cabezas,G. Cabezas,M,28,178.0,42,1099301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041379200.0,"{'value': 420000, 'currency': 'EUR'}",,28,True,6.0,6.0,,,0.0,,,13.0,9.0,6.2,2.0,"{'original': 6.2, 'alternative': None}",,2.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,Deportivo Cali,home
