name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,blockedScoringAttempt,totalTackle,wasFouled,aerialWon,challengeLost,totalClearance,outfielderBlock,interceptionWon,totalContest,fouls,keyPass,shotOffTarget,dispossessed,onTargetScoringAttempt,wonContest,goals,totalOffside,captain,team,teamType
Álvaro Montero,alvaro-montero,Á. Montero,G,31,195.0,590,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",,,31,False,19.0,17.0,4.0,3.0,0.0,1.0,1.0,90.0,26.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,True,Millonarios,home
Sander Navarro,navarro-sander,S. Navarro,D,34,,72,1512475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1058832000,"{'value': 370000, 'currency': 'EUR'}",,,,34,False,22.0,17.0,3.0,1.0,0.0,,,62.0,34.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,Millonarios,home
Andrés Llinás,andres-llinas,A. Llinás,D,26,188.0,286,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",,,26,False,49.0,43.0,4.0,2.0,0.0,,,90.0,61.0,7.4,6.0,"{'original': 7.4, 'alternative': None}",,,,2.0,6.0,,3.0,,3.0,2.0,6.0,1.0,1.0,,,,,,,,,,,Millonarios,home
Jorge Arias,jorge-arias,J. Arias,D,17,184.0,98,355842,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,721612800,"{'value': 370000, 'currency': 'EUR'}",,,,17,False,53.0,48.0,10.0,5.0,0.0,,,90.0,66.0,7.5,5.0,"{'original': 7.5, 'alternative': None}",,,1.0,1.0,2.0,,2.0,,,,5.0,1.0,3.0,,,,,,,,,,,Millonarios,home
Danovis Banguero,danovis-banguero,D. Banguero,D,20,185.0,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600,"{'value': 320000, 'currency': 'EUR'}",,,,20,False,64.0,52.0,6.0,4.0,0.0,,,90.0,83.0,7.4,16.0,"{'original': 7.4, 'alternative': None}",1.0,,1.0,4.0,2.0,,1.0,,1.0,,2.0,,3.0,1.0,2.0,1.0,,,,,,,,Millonarios,home
Nicolas Arevalo,arevalo-nicolas,N. Arévalo,M,5,176.0,99,1466638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047513600,"{'value': 340000, 'currency': 'EUR'}",,,,5,False,58.0,52.0,2.0,1.0,0.0,,,90.0,73.0,7.6,12.0,"{'original': 7.6, 'alternative': None}",4.0,1.0,,3.0,5.0,,2.0,3.0,,,,,1.0,2.0,1.0,5.0,2.0,,,,,,,Millonarios,home
Daniel Mantilla,daniel-mantilla,D. Mantilla,M,11,173.0,119,924552,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,851472000,"{'value': 550000, 'currency': 'EUR'}",,,,11,False,17.0,15.0,1.0,1.0,0.0,,,45.0,23.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",2.0,,,5.0,,,,,,,,,1.0,,4.0,,,1.0,,,,,,Millonarios,home
Néyser Villarreal,neyser-villareal,N. Villarreal,F,88,186.0,1053,1539599,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1114300800,"{'value': 1200000, 'currency': 'EUR'}",,Néyser Villarreal,,88,False,17.0,14.0,1.0,1.0,1.0,,,80.0,33.0,7.3,8.0,"{'original': 7.3, 'alternative': None}",,,,3.0,4.0,2.0,1.0,3.0,,1.0,,,,2.0,1.0,1.0,4.0,,1.0,,,,,Millonarios,home
Stiven Vega,stiven-vega,S. Vega,M,28,175.0,125,590354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895795200,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. فيغا', 'hi': 'एस. वेगा', 'bn': 'এস. ভেগা'}}",,,28,False,13.0,10.0,,,0.0,,,34.0,17.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,Millonarios,home
Sebastián Mosquera,sebastian-mosquera,S. Mosquera,M,35,,10,2078760,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1165190400,,,Sebastián Mosquera,,35,False,9.0,8.0,,,0.0,,,45.0,13.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,1.0,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,Millonarios,home
Leonardo Castro,leonardo-castro,L. Castro,F,23,174.0,1091,827806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708480000,"{'value': 975000, 'currency': 'EUR'}",,,,23,False,15.0,13.0,2.0,2.0,0.0,,,90.0,26.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,2.0,1.0,1.0,,1.0,,,,Millonarios,home
Dewar Victoria,dewar-victoria,D. Victoria,M,8,176.0,50,1164480,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,984960000,"{'value': 290000, 'currency': 'EUR'}",,Dewar Victoria,,8,True,41.0,33.0,3.0,1.0,0.0,,,56.0,53.0,7.0,10.0,"{'original': 7, 'alternative': None}",,,1.0,3.0,4.0,,2.0,,2.0,,2.0,,2.0,1.0,,1.0,,1.0,,,,,,Millonarios,home
Kevin Palacios,kevin-palacios,K. Palacios,M,77,173.0,96,1131653,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949276800,"{'value': 375000, 'currency': 'EUR'}",,Kevin Palacios,,77,True,19.0,15.0,,,0.0,,,45.0,27.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",,,,2.0,,,,,,,,,,2.0,,1.0,,,2.0,,1.0,,,Millonarios,home
Luis Marimón,luis-marimon,L. Marimón,F,43,,116,1835656,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079568000,,,Luis Marimón,,43,True,4.0,3.0,,,0.0,,,45.0,8.0,7.3,1.0,"{'original': 7.3, 'alternative': None}",,,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,1.0,1.0,,Millonarios,home
Helibelton Palacios,helibelton-palacios,H. Palacios,D,28,181.0,419,329597,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,739584000,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'هيبيلتون بالاسيوس', 'hi': 'हेलीबेल्टन पालासिओस', 'bn': 'হেলিবেল্টন পালাসিওস'}}",,,13,True,10.0,10.0,1.0,1.0,0.0,,,28.0,12.0,6.9,,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,1.0,1.0,,,,,,,Millonarios,home
Jhon Córdoba,jhon-cordoba,J. Córdoba,M,15,181.0,246,961647,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 1200000, 'currency': 'EUR'}",,,,15,True,3.0,3.0,,,0.0,,,10.0,5.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,2.0,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,Millonarios,home
Iván Arboleda,ivan-arboleda,I. Arboleda,G,1,183.0,251,796095,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830044800,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. أربوليدا', 'hi': 'आई. अर्बोलेडा', 'bn': 'আই. আরবোলেদা'}}",,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home
Sergio Mosquera,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000,"{'value': 405000, 'currency': 'EUR'}",,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home
Andrés Mosquera,andres-mosquera,A. Mosquera,G,1,186.0,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",,,1,False,25.0,16.0,13.0,4.0,0.0,2.0,2.0,73.0,27.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away
Jordy Monroy,jordy-ararat,J. Monroy,D,17,185.0,45,823379,"{'alpha2': 'AM', 'alpha3': 'ARM', 'name': 'Armenia', 'slug': 'armenia'}",EUR,820627200,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. أرات', 'hi': 'जे. अरार्ट', 'bn': 'জে. আরারাত'}}",,,17,False,22.0,15.0,4.0,1.0,0.0,,,90.0,51.0,6.7,17.0,"{'original': 6.7, 'alternative': None}",2.0,1.0,,1.0,5.0,,4.0,,1.0,,2.0,,3.0,1.0,,1.0,,,,,,1.0,,Independiente Santa Fe,away
