name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,totalContest,wonContest,outfielderBlock,totalTackle,fouls,keyPass,interceptionWon,penaltyConceded,aerialLost,aerialWon,challengeLost,shotOffTarget,onTargetScoringAttempt,goals,totalOffside,dispossessed,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,captain,team,teamType,errorLeadToAGoal,penaltyWon
Andrés Mosquera,andres-mosquera,A. Mosquera,G,1,186.0,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",,,1,False,19.0,12.0,14.0,7.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,90.0,34.0,7.5,7.0,"{'original': 7.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Jordy Monroy,jordy-ararat,J. Monroy,D,17,185.0,45,823379,"{'alpha2': 'AM', 'alpha3': 'ARM', 'name': 'Armenia', 'slug': 'armenia'}",EUR,820627200,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. أرات', 'hi': 'जे. अरार्ट', 'bn': 'জে. আরারাত'}}",,,17,False,17.0,13.0,2.0,,1.0,2.0,2.0,,,,,73.0,33.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Emanuel Olivera,emanuel-olivera,E. Olivera,D,18,180.0,53,129500,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,639014400,"{'value': 470000, 'currency': 'EUR'}",,,,18,False,33.0,24.0,13.0,4.0,0.0,5.0,1.0,2.0,,,,83.0,40.0,6.3,9.0,"{'original': 6.3, 'alternative': None}",,,1.0,,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,Independiente Santa Fe,home,,
Victor Moreno,victor-moreno,V. Moreno,D,3,180.0,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400,"{'value': 540000, 'currency': 'EUR'}",,,,3,False,28.0,24.0,3.0,1.0,0.0,2.0,6.0,,,,,90.0,38.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,6.0,,,1.0,1.0,2.0,,1.0,,4.0,1.0,,,,,,,,,,,Independiente Santa Fe,home,,
Christian Mafla,christian-mafla,C. Mafla,D,32,175.0,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000,"{'value': 240000, 'currency': 'EUR'}",,,,32,False,19.0,15.0,3.0,,0.0,3.0,5.0,1.0,,,,83.0,37.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Yilmar Velázquez,yilmar-velazquez,Y. Velázquez,M,20,185.0,66,975633,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,935193600,"{'value': 930000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. فيلازكويز', 'hi': 'वाए. वेलाज़क्वेज़', 'bn': 'ওয়াই. ভেলাজকুয়েজ'}}",,,20,False,52.0,46.0,6.0,2.0,0.0,1.0,,1.0,,,,90.0,60.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",,,4.0,,,,,2.0,,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,Independiente Santa Fe,home,,
Johan Torres,johan-torres,J. Torres,M,14,178.0,106,1394757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1094515200,"{'value': 1100000, 'currency': 'EUR'}",,Johan Torres,,14,False,24.0,21.0,1.0,1.0,0.0,2.0,,,,,,83.0,31.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",,,3.0,1.0,,,,,,1.0,,2.0,2.0,,,2.0,1.0,,,,,,,Independiente Santa Fe,home,,
Harold Santiago Mosquera,harold-mosquera,H. S. Mosquera,F,23,168.0,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200,"{'value': 680000, 'currency': 'EUR'}",,,,23,False,42.0,34.0,2.0,2.0,1.0,4.0,,2.0,,,,90.0,52.0,7.4,10.0,"{'original': 7.4, 'alternative': None}",4.0,2.0,,1.0,1.0,,,,2.0,,,,1.0,,1.0,,,2.0,,,,,,Independiente Santa Fe,home,,
Alexis Zapata,alexis-zapata,A. Zapata,M,10,179.0,106,353296,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800064000,"{'value': 670000, 'currency': 'EUR'}",,,,10,False,23.0,18.0,,,0.0,2.0,,1.0,,,,73.0,36.0,7.7,10.0,"{'original': 7.7, 'alternative': None}",4.0,1.0,6.0,1.0,,1.0,,1.0,2.0,,,3.0,1.0,1.0,,3.0,1.0,,,,,,,Independiente Santa Fe,home,,
Omar Fernández,omar-fernandez,O. Fernández,M,8,166.0,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800,"{'value': 945000, 'currency': 'EUR'}",,,,8,False,36.0,33.0,2.0,2.0,0.0,1.0,,,,,,90.0,48.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",2.0,,5.0,,,,1.0,,3.0,1.0,,3.0,,1.0,,,,1.0,1.0,,,,,Independiente Santa Fe,home,,
