name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,totalContest,blockedScoringAttempt,interceptionWon,penaltyConceded,fouls,keyPass,duelWon,shotOffTarget,onTargetScoringAttempt,totalTackle,aerialLost,dispossessed,wonContest,outfielderBlock,challengeLost,wasFouled,goals,aerialWon,totalOffside,penaltyWon,captain,team,teamType,errorLeadToAGoal,goodHighClaim,savedShotsFromInsideTheBox,saves
Santiago Mele,santiago-mele,S. Mele,G,25,182.0,607,846421,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,873504000,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. ميلي', 'hi': 'एस. मेले', 'bn': 'এস. মেলে'}}",,,77,False,12.0,11.0,3.0,2.0,0.0,3.0,2.0,90.0,18.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,
Yeferson Moreno,yeferson-moreno-mosquera,Y. Moreno,D,15,184.0,52,1441785,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074211200,"{'value': 190000, 'currency': 'EUR'}",,Yeferson Moreno,,15,False,24.0,21.0,1.0,1.0,0.0,1.0,,45.0,36.0,6.2,6.0,"{'original': 6.2, 'alternative': None}",4.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,
Christian Javier Báez,christian-javier-baez,C. J. Báez,D,66,180.0,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200,"{'value': 290000, 'currency': 'EUR'}",,,,66,False,42.0,38.0,3.0,1.0,0.0,2.0,,90.0,51.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,Junior Barranquilla,home,,,,
Daniel Rivera,daniel-rivera,D. Rivera,D,5,184.0,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000,"{'value': 775000, 'currency': 'EUR'}",,Daniel Rivera,,5,False,46.0,42.0,3.0,2.0,0.0,6.0,,90.0,58.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,,1.0,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,Junior Barranquilla,home,,,,
Jhomier Guerrero,jhomier-guerrero,J. Guerrero,D,34,170.0,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400,"{'value': 485000, 'currency': 'EUR'}",,Jhomier Guerrero,,34,False,34.0,23.0,5.0,2.0,0.0,4.0,,90.0,60.0,7.1,23.0,"{'original': 7.1, 'alternative': None}",2.0,,2.0,3.0,,,,,,5.0,,1.0,3.0,,1.0,2.0,1.0,,,,,,,,Junior Barranquilla,home,,,,
Yimmi Chará,yimmi-chara,Y. Chará,M,8,169.0,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",,,8,False,60.0,53.0,13.0,11.0,0.0,1.0,,90.0,72.0,7.4,11.0,"{'original': 7.4, 'alternative': None}",2.0,1.0,4.0,1.0,,,,1.0,1.0,5.0,,,3.0,,1.0,1.0,,2.0,1.0,,,,,,Junior Barranquilla,home,,,,
Didier Moreno,didier-moreno,D. Moreno,M,6,177.0,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800,"{'value': 520000, 'currency': 'EUR'}",,,,6,False,49.0,46.0,1.0,1.0,0.0,1.0,,90.0,55.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,4.0,,1.0,,,3.0,1.0,2.0,1.0,,2.0,,,,,1.0,,,,,,,Junior Barranquilla,home,,,,
José Enamorado,enamorado-jose,J. Enamorado,M,99,167.0,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600,"{'value': 1900000, 'currency': 'EUR'}",,,,99,False,13.0,10.0,1.0,1.0,0.0,,,45.0,24.0,7.0,8.0,"{'original': 7, 'alternative': None}",6.0,2.0,2.0,,,,,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,Junior Barranquilla,home,,,,
Guillermo Paiva,guillermo-paiva,G. Paiva,F,9,182.0,387,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000,"{'value': 850000, 'currency': 'EUR'}",,,,9,False,30.0,28.0,3.0,2.0,0.0,,,82.0,37.0,7.7,4.0,"{'original': 7.7, 'alternative': None}",1.0,1.0,2.0,,,,,1.0,3.0,1.0,,2.0,,,1.0,,,,1.0,1.0,,,,,Junior Barranquilla,home,,,,
Bryan Castrillón,bryan-castrillon,B. Castrillón,F,88,169.0,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000,"{'value': 485000, 'currency': 'EUR'}",,,,88,False,21.0,16.0,,,0.0,,,59.0,34.0,6.4,13.0,"{'original': 6.4, 'alternative': None}",2.0,,5.0,3.0,,,,,1.0,1.0,1.0,,,,2.0,,,,1.0,,,,,,Junior Barranquilla,home,,,,
Carlos Bacca,carlos-bacca,C. Bacca,F,70,181.0,2185,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",,,70,False,11.0,8.0,1.0,1.0,0.0,,,77.0,17.0,7.0,3.0,"{'original': 7, 'alternative': None}",,,1.0,,1.0,,,,,3.0,1.0,1.0,,1.0,,,,,1.0,,2.0,2.0,,True,Junior Barranquilla,home,,,,
