name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,fieldTranslations,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,outfielderBlock,totalTackle,wasFouled,fouls,challengeLost,onTargetScoringAttempt,dispossessed,interceptionWon,keyPass,bigChanceCreated,goals,totalOffside,bigChanceMissed,captain,team,teamType,savedShotsFromInsideTheBox
James Aguirre,james-aguirre,J. Aguirre,G,12,181,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400,"{'value': 290000, 'currency': 'EUR'}",,,,12,False,32.0,19.0,24.0,11.0,0.0,1.0,1.0,1.0,1.0,5.0,90.0,44.0,7.7,13.0,"{'original': 7.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,
Juan David Cuesta,juan-david-cuesta,J. D. Cuesta,D,22,174,31,1188964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,880070400,"{'value': 630000, 'currency': 'EUR'}",Juan David Cuesta,,,22,False,32.0,27.0,2.0,1.0,0.0,,3.0,3.0,,,90.0,54.0,7.5,8.0,"{'original': 7.5, 'alternative': None}",4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,Once Caldas,home,
Jorge Cardona,cardona-jorge,J. Cardona,D,34,184,16,960094,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919728000,"{'value': 515000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. L. C. Gutierrez'}}",,34,False,30.0,23.0,10.0,5.0,0.0,7.0,9.0,7.0,,,90.0,43.0,7.5,8.0,"{'original': 7.5, 'alternative': None}",,,1.0,2.0,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,Once Caldas,home,
Jerson Malagón,jerson-malagon,J. Malagón,D,3,185,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,19.0,12.0,5.0,2.0,0.0,4.0,4.0,1.0,,,72.0,23.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,1.0,2.0,,,1.0,,,,,1.0,,,,,,,,,,,Once Caldas,home,
Juan Patiño,juan-patino,J. Patiño,D,33,184,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600,"{'value': 605000, 'currency': 'EUR'}",,,,33,False,29.0,22.0,12.0,5.0,0.0,1.0,3.0,2.0,,,90.0,43.0,7.0,8.0,"{'original': 7, 'alternative': None}",,,2.0,4.0,,,,,,2.0,,1.0,1.0,1.0,,,,,,,,,Once Caldas,home,
Mateo García,mateo-garcia,M. García,M,19,178,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400,"{'value': 955000, 'currency': 'EUR'}",,,,19,False,46.0,41.0,5.0,4.0,0.0,,7.0,1.0,,,90.0,64.0,7.3,12.0,"{'original': 7.3, 'alternative': None}",,,2.0,9.0,4.0,1.0,,,,4.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,Once Caldas,home,
Iván Rojas,ivan-rojas,I. Rojas,M,5,177,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400,"{'value': 670000, 'currency': 'EUR'}",,,,5,False,25.0,20.0,5.0,4.0,0.0,2.0,2.0,,,,72.0,26.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,,2.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,Once Caldas,home,
Jefry Zapata,jefry-zapata,J. Zapata,M,14,176,54,1478221,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949536000,"{'value': 570000, 'currency': 'EUR'}",Jefry Zapata,,,14,False,26.0,21.0,3.0,1.0,0.0,1.0,6.0,1.0,,,63.0,46.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",3.0,1.0,,4.0,2.0,,2.0,,,1.0,4.0,1.0,,,1.0,,1.0,,,,,,Once Caldas,home,
Hugo Dorrego,hugo-dorrego,H. Dorrego,M,30,174,56,311400,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,736905600,"{'value': 240000, 'currency': 'EUR'}",,,,30,False,8.0,8.0,3.0,3.0,1.0,,,,,,80.0,21.0,7.8,7.0,"{'original': 7.8, 'alternative': None}",5.0,1.0,1.0,4.0,2.0,,2.0,,,,,,1.0,2.0,,,3.0,1.0,,,,,Once Caldas,home,
Michael Barrios,michael-barrios,M. Barrios,M,7,163,232,791545,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672192000,"{'value': 570000, 'currency': 'EUR'}",,,,7,False,22.0,18.0,2.0,1.0,0.0,,3.0,2.0,,,90.0,34.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",,,3.0,6.0,3.0,1.0,1.0,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,Once Caldas,home,
