name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,fieldTranslations,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,totalContest,totalClearance,interceptionWon,totalTackle,fouls,keyPass,aerialWon,wasFouled,shotOffTarget,onTargetScoringAttempt,outfielderBlock,wonContest,blockedScoringAttempt,dispossessed,challengeLost,bigChanceCreated,totalOffside,goals,captain,team,teamType,bigChanceMissed,hitWoodwork
James Aguirre,james-aguirre,J. Aguirre,G,12,181,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400,"{'value': 290000, 'currency': 'EUR'}",,,,12,False,32.0,19.0,19.0,7.0,0.0,1.0,1.0,2.0,1.0,1.0,90.0,39.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,,
Juan David Cuesta,juan-david-cuesta,J. D. Cuesta,D,22,174,31,1188964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,880070400,"{'value': 630000, 'currency': 'EUR'}",Juan David Cuesta,,,22,False,26.0,20.0,5.0,1.0,1.0,,,,,,79.0,48.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,Once Caldas,home,,
Jorge Cardona,cardona-jorge,J. Cardona,D,34,184,16,960094,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919728000,"{'value': 515000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. L. C. Gutierrez'}}",,34,False,43.0,34.0,7.0,2.0,0.0,,,,,,90.0,58.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",,,,,7.0,,7.0,1.0,2.0,,1.0,3.0,2.0,,,,,,,,,,,,Once Caldas,home,,
Jerson Malagón,jerson-malagon,J. Malagón,D,3,185,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,48.0,42.0,5.0,2.0,0.0,,,,,,78.0,65.0,7.6,7.0,"{'original': 7.6, 'alternative': None}",1.0,,,,1.0,,5.0,1.0,,,,,1.0,1.0,1.0,3.0,,,,,,,,,Once Caldas,home,,
Juan Patiño,juan-patino,J. Patiño,D,33,184,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600,"{'value': 605000, 'currency': 'EUR'}",,,,33,False,46.0,38.0,5.0,3.0,0.0,,,,,,90.0,66.0,6.8,15.0,"{'original': 6.8, 'alternative': None}",1.0,,1.0,1.0,4.0,2.0,2.0,,2.0,,1.0,,,,,,2.0,1.0,,,,,,,Once Caldas,home,,
Mateo García,mateo-garcia,M. García,M,19,178,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400,"{'value': 955000, 'currency': 'EUR'}",,,,19,False,55.0,51.0,5.0,4.0,0.0,,,,,,90.0,62.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",,,1.0,5.0,3.0,1.0,1.0,,3.0,3.0,1.0,,,,1.0,,,,1.0,,,,,,Once Caldas,home,,
Iván Rojas,ivan-rojas,I. Rojas,M,5,177,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400,"{'value': 670000, 'currency': 'EUR'}",,,,5,False,34.0,33.0,,,1.0,,,,,,90.0,39.0,7.2,2.0,"{'original': 7.2, 'alternative': None}",,,,5.0,,,,1.0,,3.0,3.0,,,2.0,,,,,,2.0,1.0,,,,Once Caldas,home,,
Joel Contreras,contreras-joel,J. Contreras,F,16,165,24,994306,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,925516800,"{'value': 310000, 'currency': 'EUR'}",,,,16,False,24.0,18.0,2.0,1.0,0.0,,,,,,72.0,38.0,7.4,12.0,"{'original': 7.4, 'alternative': None}",4.0,1.0,,1.0,6.0,,,,2.0,,,1.0,3.0,1.0,1.0,,,,1.0,,,2.0,,,Once Caldas,home,,
Michael Barrios,michael-barrios,M. Barrios,M,7,163,244,791545,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672192000,"{'value': 570000, 'currency': 'EUR'}",,,,7,False,15.0,12.0,2.0,2.0,0.0,,,,,,78.0,23.0,7.4,6.0,"{'original': 7.4, 'alternative': None}",,,,3.0,4.0,1.0,,,2.0,1.0,,,2.0,,1.0,,,,1.0,,,,1.0,,Once Caldas,home,,
Johan Esteban Beltran Montaño,johan-esteban-beltran-montano,J. E. B. Montaño,M,8,178,21,1099609,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,,,,,8,False,8.0,7.0,2.0,1.0,0.0,,,,,,11.0,12.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,Once Caldas,home,,
