name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelWon,shotOffTarget,totalClearance,interceptionWon,totalTackle,wasFouled,keyPass,onTargetScoringAttempt,accurateCross,totalContest,wonContest,blockedScoringAttempt,aerialLost,duelLost,challengeLost,fouls,dispossessed,hitWoodwork,totalOffside,captain,team,teamType,savedShotsFromInsideTheBox,saves,outfielderBlock,bigChanceMissed,bigChanceCreated
David Ospina,,,david-ospina,D. Ospina,G,1,183.0,5724,33596,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800,"{'value': 655000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. أوسبينا', 'hi': 'डी. ओस्पिना', 'bn': 'ডি. ওসপিনা'}}",1,False,29.0,28.0,11.0,10.0,0.0,90.0,32.0,7.0,1.0,"{'original': 7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,True,Atlético Nacional,home,,,,,
Andrés Román,,,andres-roman,A. Román,D,6,183.0,385,870013,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812851200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رومان', 'hi': 'ए. रोमान', 'bn': 'এ. রোমান'}}",6,False,28.0,23.0,2.0,2.0,0.0,80.0,41.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,Atlético Nacional,home,,,,,
Juan Arias,,,arias-juan,J. Arias,D,23,184.0,72,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000,,,23,False,59.0,58.0,8.0,8.0,0.0,90.0,65.0,7.4,1.0,"{'original': 7.4, 'alternative': None}",,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,Atlético Nacional,home,,,,,
William Tesillo,,,william-tesillo,W. Tesillo,D,16,184.0,315,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800,"{'value': 520000, 'currency': 'EUR'}",,16,False,75.0,64.0,14.0,7.0,0.0,90.0,90.0,7.6,13.0,"{'original': 7.6, 'alternative': None}",1.0,,2.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,Atlético Nacional,home,,,,,
Camilo Cándido,,,camilo-candido,C. Cándido,D,13,174.0,282,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200,"{'value': 1100000, 'currency': 'EUR'}",,13,False,31.0,26.0,7.0,3.0,0.0,90.0,59.0,7.5,17.0,"{'original': 7.5, 'alternative': None}",5.0,2.0,5.0,,,1.0,3.0,,2.0,1.0,,2.0,,1.0,1.0,5.0,1.0,1.0,,,,,Atlético Nacional,home,,,,,
Marino Hinestroza,,,marino-hinestroza,M. Hinestroza,M,18,170.0,3106,972587,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026086400,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. هينستروزا', 'hi': 'एम. हिनेस्ट्रोज़ा', 'bn': 'এম. হিনেস্ট্রোজা'}}",18,False,42.0,38.0,2.0,2.0,0.0,90.0,72.0,6.6,19.0,"{'original': 6.6, 'alternative': None}",5.0,,5.0,1.0,,,,2.0,1.0,,2.0,10.0,3.0,1.0,,10.0,,1.0,2.0,1.0,1.0,,Atlético Nacional,home,,,,,
Jorman Campuzano,,,jorman-campuzano,J. Campuzano,M,21,175.0,703,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",21,False,78.0,72.0,8.0,5.0,0.0,90.0,87.0,7.3,8.0,"{'original': 7.3, 'alternative': None}",,1.0,5.0,,1.0,,3.0,1.0,2.0,,,,,,1.0,3.0,,,2.0,,,,Atlético Nacional,home,,,,,
Juan Zapata,,,juan-zapata,J. Zapata,M,80,178.0,218,983231,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,958694400,"{'value': 1500000, 'currency': 'EUR'}",,80,False,85.0,75.0,11.0,7.0,0.0,90.0,103.0,7.8,16.0,"{'original': 7.8, 'alternative': None}",1.0,1.0,2.0,4.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,3.0,,1.0,1.0,,,,Atlético Nacional,home,,,,,
Billy Arce,,,billy-arce,B. Arce,M,11,177.0,507,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600,"{'value': 680000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",11,False,55.0,49.0,5.0,3.0,0.0,90.0,77.0,8.2,16.0,"{'original': 8.2, 'alternative': None}",9.0,,1.0,2.0,,,,1.0,8.0,1.0,5.0,1.0,,,,4.0,,2.0,1.0,,,,Atlético Nacional,home,,,,,
Alfredo Morelos,,,alfredo-morelos,A. Morelos,F,9,177.0,2275,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",9,False,31.0,23.0,4.0,3.0,0.0,64.0,39.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",,1.0,2.0,,,,1.0,,2.0,1.0,,,,3.0,1.0,1.0,,,,,,,Atlético Nacional,home,,,,,
Kevin Viveros,,,kevin-viveros,K. Viveros,F,19,180.0,699,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400,"{'value': 1400000, 'currency': 'EUR'}",,19,False,18.0,12.0,1.0,1.0,0.0,90.0,29.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",3.0,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,4.0,,3.0,,,2.0,,Atlético Nacional,home,,,,,
Andrés Sarmiento,,,andres-sarmiento,A. Sarmiento,M,29,170.0,200,842663,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884822400,"{'value': 720000, 'currency': 'EUR'}",,29,True,13.0,11.0,,,0.0,26.0,17.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,,1.0,,,,1.0,,1.0,,,,,,,1.0,,2.0,,,,,Atlético Nacional,home,,,,,
Dairon Asprilla,,,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000,"{'value': 720000, 'currency': 'EUR'}",,27,True,8.0,5.0,1.0,,0.0,10.0,16.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,Atlético Nacional,home,,,,,
Harlen Castillo,,,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600,"{'value': 330000, 'currency': 'EUR'}",,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,,,
Joan Castro,,,joan-castro,J. Castro,D,20,176.0,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 680000, 'currency': 'EUR'}",,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,,,
Juan Felipe Aguirre,,,juan-felipe-aguirre,J. F. Aguirre,D,3,186.0,134,925173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,841276800,"{'value': 825000, 'currency': 'EUR'}",,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,,,
Kilian Toscano,Kilian Toscano,,kilian-toscano,K. Toscano,M,5,180.0,110,1185985,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1078185600,"{'value': 330000, 'currency': 'EUR'}",,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,,,
Faber Andrés Gil,,,faber-andres-gil,F. A. Gil,M,7,178.0,148,831377,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796003200,"{'value': 665000, 'currency': 'EUR'}",,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,,,
Felipe Parra,,,felipe-parra,F. Parra,G,35,186.0,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200,"{'value': 410000, 'currency': 'EUR'}",,35,False,35.0,17.0,30.0,12.0,0.0,90.0,46.0,8.4,18.0,"{'original': 8.4, 'alternative': None}",,,,,,,,,1.0,,,,,,,,,,,,,,Once Caldas,away,6.0,7.0,,,
Juan David Cuesta,Juan David Cuesta,,juan-david-cuesta,J. D. Cuesta,D,22,174.0,31,1188964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,880070400,"{'value': 630000, 'currency': 'EUR'}",,22,False,27.0,15.0,9.0,2.0,0.0,90.0,52.0,7.1,21.0,"{'original': 7.1, 'alternative': None}",2.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,Once Caldas,away,,,1.0,,
Jorge Cardona,,,cardona-jorge,J. Cardona,D,34,184.0,16,960094,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919728000,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. L. C. Gutierrez'}}",34,False,4.0,4.0,,,0.0,28.0,8.0,6.6,,"{'original': 6.6, 'alternative': None}",,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,Once Caldas,away,,,,,
Juan Castaño,,,castano-zuluaga-juan-felipe,J. Castaño,D,15,181.0,19,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800,"{'value': 235000, 'currency': 'EUR'}",,15,False,16.0,8.0,7.0,,0.0,90.0,36.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",,,3.0,,10.0,1.0,1.0,2.0,,,,,,,1.0,1.0,,,,,,,Once Caldas,away,,,3.0,,
Juan Patiño,,,juan-patino,J. Patiño,D,33,184.0,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600,"{'value': 605000, 'currency': 'EUR'}",,33,False,20.0,13.0,5.0,2.0,0.0,90.0,40.0,7.3,12.0,"{'original': 7.3, 'alternative': None}",1.0,1.0,5.0,,4.0,2.0,4.0,,,,,,,,,3.0,2.0,1.0,,,,,Once Caldas,away,,,,,
Mateo García,,,mateo-garcia,M. García,M,19,178.0,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400,"{'value': 955000, 'currency': 'EUR'}",,19,False,26.0,21.0,5.0,3.0,0.0,90.0,38.0,7.0,7.0,"{'original': 7, 'alternative': None}",,,5.0,1.0,2.0,,3.0,2.0,1.0,,,1.0,,,,2.0,,1.0,,,1.0,,Once Caldas,away,,,,,
Iván Rojas,,,ivan-rojas,I. Rojas,M,5,177.0,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400,"{'value': 670000, 'currency': 'EUR'}",,5,False,10.0,7.0,1.0,,0.0,64.0,14.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,1.0,1.0,,,,,,,,,2.0,1.0,1.0,,,,,Once Caldas,away,,,,,
Luis Palacios,,,palacios-luis,L. Palacios,M,24,181.0,30,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800,"{'value': 370000, 'currency': 'EUR'}",,24,False,13.0,9.0,2.0,,0.0,76.0,29.0,5.8,15.0,"{'original': 5.8, 'alternative': None}",,,3.0,1.0,,,1.0,1.0,,,,6.0,1.0,,1.0,8.0,,1.0,1.0,,1.0,,Once Caldas,away,,,,1.0,
Alejandro García,,,alejandro-garcia,A. García,M,20,185.0,85,912291,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983318400,"{'value': 835000, 'currency': 'EUR'}",,20,False,12.0,11.0,,,0.0,76.0,18.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",1.0,,2.0,,1.0,,1.0,1.0,1.0,,,,,,2.0,2.0,,,,,,,Once Caldas,away,,,,,1.0
