name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,interceptionWon,totalTackle,fouls,aerialLost,aerialWon,blockedScoringAttempt,outfielderBlock,accurateCross,totalContest,shotOffTarget,penaltyConceded,keyPass,wasFouled,dispossessed,wonContest,onTargetScoringAttempt,challengeLost,captain,team,teamType,goodHighClaim,punches,penaltyWon,totalOffside,bigChanceMissed,penaltyMiss
Darío Denis,dario-denis,D. Denis,G,23,186,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600,"{'value': 105000, 'currency': 'EUR'}",,,,23,False,21.0,8.0,18.0,5.0,0.0,1.0,2.0,3.0,1.0,1.0,90.0,28.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Yael López,yael-lopez,Y. López,D,22,178,33,971249,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,913852800,"{'value': 205000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. لوبيز', 'hi': 'वाए. लोपेज़', 'bn': 'ওয়াই. লোপেজ'}}",,,22,False,14.0,12.0,2.0,1.0,0.0,3.0,,,,,67.0,31.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Kevin Riascos,kevin-riascos,K. Riascos,D,2,188,16,986979,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,803692800,"{'value': 140000, 'currency': 'EUR'}",,,,2,False,22.0,16.0,7.0,3.0,0.0,3.0,,,,,90.0,33.0,7.4,6.0,"{'original': 7.4, 'alternative': None}",,1.0,2.0,,1.0,,1.0,1.0,1.0,3.0,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Juan Ojeda,juan-ojeda,J. Ojeda,D,30,188,9,822796,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,891648000,"{'value': 110000, 'currency': 'EUR'}",,,,30,False,20.0,15.0,5.0,2.0,0.0,5.0,,,,,59.0,28.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,2.0,2.0,,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Eduardo Banguero,eduardo-banguero,E. Banguero,D,22,177,14,963284,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981244800,"{'value': 410000, 'currency': 'EUR'}",,,,17,False,32.0,26.0,1.0,,0.0,,,,,,90.0,60.0,6.5,16.0,"{'original': 6.5, 'alternative': None}",7.0,3.0,1.0,,1.0,2.0,,,2.0,,2.0,2.0,1.0,1.0,1.0,,,,,,,Boyacá Chicó FC,home,,,,,,
Edgard Camargo,edgard-camargo,E. Camargo,M,28,181,29,1108692,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010102400,"{'value': 140000, 'currency': 'EUR'}",,Edgard Camargo,,28,False,11.0,7.0,,,0.0,1.0,,,,,45.0,13.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,Boyacá Chicó FC,home,,,,,,
Frank Lozano,frank-lozano,F. Lozano,M,19,175,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600,"{'value': 340000, 'currency': 'EUR'}",,,,19,False,29.0,23.0,2.0,1.0,0.0,2.0,,,,,90.0,41.0,7.0,8.0,"{'original': 7, 'alternative': None}",,2.0,3.0,,2.0,,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,,,,True,Boyacá Chicó FC,home,,,,,,
Kevin Londoño,kevin-londono,K. Londoño,M,27,180,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800,"{'value': 440000, 'currency': 'EUR'}",,Kevin Londoño,,8,False,16.0,11.0,2.0,1.0,0.0,,,,,,45.0,18.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,3.0,2.0,,,1.0,1.0,2.0,,,,,,,,,1.0,,,,,Boyacá Chicó FC,home,,,,,,
Estefáno Arango,estefano-arango,E. Arango,M,24,170,35,819034,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758851200,"{'value': 195000, 'currency': 'EUR'}",,,,24,False,33.0,28.0,,,0.0,1.0,,,,,88.0,50.0,6.7,13.0,"{'original': 6.7, 'alternative': None}",3.0,4.0,3.0,,,,1.0,,1.0,,1.0,2.0,,,1.0,2.0,2.0,1.0,2.0,,,Boyacá Chicó FC,home,,,,,,
Jairo Molina,jairo-molina,J. Molina,F,9,183,66,247931,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200,"{'value': 49000, 'currency': 'EUR'}",,,,9,False,4.0,2.0,,,0.0,2.0,,,,,52.0,12.0,5.6,7.0,"{'original': 5.6, 'alternative': None}",2.0,4.0,2.0,,,,2.0,1.0,,,,1.0,,,,1.0,1.0,,,,,Boyacá Chicó FC,home,,,,,,
