name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalClearance,totalTackle,penaltyConceded,wasFouled,fouls,keyPass,outfielderBlock,challengeLost,interceptionWon,totalOffside,blockedScoringAttempt,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,goals,captain,team,teamType,penaltyWon
Salvador Ichazo,salvador-ichazo,S. Ichazo,G,1,185.0,63,158605,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,696384000.0,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. إشازو', 'hi': 'एस. इचाज़ो', 'bn': 'এস. ইচাজো'}}",,,1,False,23.0,16.0,15.0,8.0,0.0,1.0,3.0,1.0,1.0,90.0,30.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Walmer Pacheco,walmer-pacheco,W. Pacheco,D,21,172.0,52,819169,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,790214400.0,"{'value': 700000, 'currency': 'EUR'}",,,,21,False,27.0,21.0,5.0,2.0,0.0,,,,,90.0,47.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,1.0,1.0,4.0,7.0,1.0,5.0,4.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,Deportivo Pereira,home,
José Moya,jose-moya,J. Moya,D,3,184.0,24,285501,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,713145600.0,"{'value': 410000, 'currency': 'EUR'}",,,,3,False,23.0,18.0,6.0,3.0,0.0,,,,,90.0,32.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,3.0,1.0,5.0,2.0,,3.0,1.0,,,2.0,,2.0,,,,,,,,,,,Deportivo Pereira,home,
Jhostin Medranda,jhostin-medranda,J. Medranda,D,,186.0,15,1130645,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,997228800.0,"{'value': 270000, 'currency': 'EUR'}",,Jhostin Medranda,,24,False,14.0,8.0,5.0,,0.0,,,,,90.0,21.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,,,1.0,,1.0,,6.0,,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Jeison Suárez,jeison-suarez,J. Suárez,D,26,174.0,33,819096,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,868320000.0,"{'value': 500000, 'currency': 'EUR'}",,,,26,False,30.0,26.0,6.0,6.0,0.0,,,,,90.0,55.0,7.0,12.0,"{'original': 7, 'alternative': None}",3.0,2.0,,,2.0,2.0,,3.0,1.0,,1.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,,Deportivo Pereira,home,
Jorge Bermúdez,jorge-bermudez,J. Bermúdez,M,5,166.0,12,1016202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981331200.0,"{'value': 360000, 'currency': 'EUR'}",,,,5,False,21.0,13.0,,,0.0,,,,,81.0,31.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",,,,1.0,2.0,3.0,2.0,,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,Deportivo Pereira,home,
Juan David Ríos,juan-david-rios,J. D. Ríos,M,14,173.0,30,829864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686793600.0,"{'value': 470000, 'currency': 'EUR'}",,,,14,False,33.0,28.0,5.0,3.0,0.0,,,,,90.0,40.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,,,4.0,5.0,,,2.0,,2.0,5.0,2.0,,,1.0,,,1.0,1.0,,,,True,Deportivo Pereira,home,
Adrián Estacio,adrian-estacio,A. Estacio,M,97,178.0,35,931632,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,893030400.0,"{'value': 435000, 'currency': 'EUR'}",,,,97,False,12.0,7.0,1.0,,0.0,,,,,63.0,20.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,,,3.0,2.0,1.0,,,,2.0,2.0,1.0,,,,,,,,1.0,,,,Deportivo Pereira,home,
Yesus Cabrera,yesus-cabrera,Yesus Cabrera,M,10,169.0,87,830016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,653356800.0,"{'value': 380000, 'currency': 'EUR'}",,,,10,False,13.0,10.0,1.0,,0.0,,,,,63.0,21.0,7.5,6.0,"{'original': 7.5, 'alternative': None}",4.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,Deportivo Pereira,home,
Kelvin Osorio,kelvin-osorio,K. Osorio,M,33,181.0,29,818997,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,751852800.0,"{'value': 465000, 'currency': 'EUR'}",,,,33,False,25.0,16.0,4.0,2.0,0.0,,,,,72.0,34.0,7.0,11.0,"{'original': 7, 'alternative': None}",2.0,1.0,2.0,1.0,5.0,5.0,1.0,,3.0,,1.0,1.0,2.0,,1.0,1.0,,1.0,,,,,,,Deportivo Pereira,home,
