name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,totalContest,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelWon,challengeLost,totalClearance,outfielderBlock,interceptionWon,totalTackle,wasFouled,fouls,aerialWon,accurateCross,wonContest,clearanceOffLine,dispossessed,onTargetScoringAttempt,goals,keyPass,bigChanceMissed,shotOffTarget,hitWoodwork,captain,team,teamType,fieldTranslations,bigChanceCreated,blockedScoringAttempt,totalOffside
Ruben Escobar,,,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",12,False,11.0,6.0,8.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,90.0,19.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,,
Neymar Uribe,Neymar Uribe,,neymar-uribe,N. Uribe,D,27,172.0,32,1977622,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073606400.0,"{'value': 280000, 'currency': 'EUR'}",27,False,30.0,21.0,3.0,,0.0,4.0,1.0,,,,90.0,50.0,6.5,12.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,Envigado FC,home,,,,
Jhon Gamboa,,,jhon-gamboa,J. Gamboa,D,28,194.0,4,1414723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985046400.0,"{'value': 230000, 'currency': 'EUR'}",28,False,36.0,26.0,12.0,4.0,0.0,3.0,,,,,90.0,48.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",,1.0,,,7.0,2.0,,,,2.0,,,,,,,,,,,,,Envigado FC,home,,,,
Carlos Ramirez,,,carlos-ramirez,C. Ramirez,D,29,182.0,68,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",29,False,33.0,26.0,8.0,3.0,0.0,1.0,,,,,90.0,43.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,,2.0,,7.0,,,1.0,,1.0,1.0,,,,,,,,,,,True,Envigado FC,home,,,,
Emanuel Londoño,Emanuel Londoño,,emanuel-londono,E. Londoño,,33,,9,2063961,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,33,False,25.0,18.0,3.0,2.0,0.0,3.0,1.0,,,,90.0,51.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",3.0,1.0,6.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,Envigado FC,home,,,,
Johan Hinestroza,Johan Hinestroza,,johan-hinestroza,J. Hinestroza,M,14,176.0,11,1106571,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1016064000.0,"{'value': 205000, 'currency': 'EUR'}",14,False,29.0,24.0,3.0,3.0,0.0,2.0,,,,,90.0,37.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,,3.0,,1.0,,,3.0,,,,,,,2.0,,,,,,,,Envigado FC,home,,,,
Edison López,,,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",21,False,31.0,27.0,2.0,1.0,0.0,1.0,,,,,71.0,35.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,2.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,Envigado FC,home,,,,
Carlos Torres,Carlos Torres,,carlos-torres,C. Torres,F,30,,109,1116061,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1035072000.0,"{'value': 320000, 'currency': 'EUR'}",80,False,11.0,9.0,2.0,,0.0,6.0,2.0,,,,66.0,21.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",2.0,1.0,2.0,,,,,,2.0,3.0,,,,,,1.0,1.0,,,,,,Envigado FC,home,,,,
Daniel Arcila,Daniel Arcila,,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,26,False,41.0,32.0,3.0,1.0,0.0,7.0,1.0,,,,82.0,58.0,7.1,14.0,"{'original': 7.1, 'alternative': None}",5.0,,7.0,3.0,,,1.0,1.0,6.0,2.0,,3.0,,,2.0,,,3.0,,,,,Envigado FC,home,,,,
Luis Díaz,Luis Díaz,,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,34,False,12.0,9.0,1.0,1.0,0.0,4.0,1.0,,,,82.0,22.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,5.0,,,,,3.0,1.0,2.0,1.0,,,,,,,,1.0,2.0,1.0,,Envigado FC,home,,,,
