name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,fieldTranslations,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,totalClearance,totalTackle,wasFouled,fouls,keyPass,aerialLost,challengeLost,outfielderBlock,interceptionWon,shotOffTarget,onTargetScoringAttempt,dispossessed,blockedScoringAttempt,totalContest,wonContest,totalOffside,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,goals
James Aguirre,james-aguirre,J. Aguirre,G,12,181,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400,"{'value': 290000, 'currency': 'EUR'}",,,,12,False,20.0,16.0,10.0,6.0,0.0,1.0,90.0,24.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,,,
Juan David Cuesta,juan-david-cuesta,J. D. Cuesta,D,22,174,31,1188964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,880070400,"{'value': 630000, 'currency': 'EUR'}",Juan David Cuesta,,,22,False,50.0,40.0,7.0,4.0,0.0,,90.0,72.0,7.3,17.0,"{'original': 7.3, 'alternative': None}",6.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,Once Caldas,home,,,
Jorge Cardona,cardona-jorge,J. Cardona,D,34,184,16,960094,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919728000,"{'value': 515000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. L. C. Gutierrez'}}",,34,False,40.0,38.0,8.0,7.0,0.0,,90.0,51.0,7.5,2.0,"{'original': 7.5, 'alternative': None}",,,5.0,3.0,7.0,6.0,2.0,,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,Once Caldas,home,,,
Jerson Malagón,jerson-malagon,J. Malagón,D,3,185,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,63.0,56.0,19.0,13.0,0.0,,90.0,73.0,7.7,8.0,"{'original': 7.7, 'alternative': None}",,,,2.0,,2.0,,,2.0,1.0,,,1.0,2.0,3.0,1.0,,,,,,,Once Caldas,home,,,
Juan Patiño,juan-patino,J. Patiño,D,33,184,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600,"{'value': 605000, 'currency': 'EUR'}",,,,33,False,27.0,21.0,8.0,2.0,0.0,,90.0,50.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",5.0,3.0,,2.0,4.0,2.0,4.0,,2.0,2.0,,,,,1.0,,,,,,,,Once Caldas,home,,,
Iván Rojas,ivan-rojas,I. Rojas,M,5,177,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400,"{'value': 670000, 'currency': 'EUR'}",,,,5,False,24.0,20.0,2.0,1.0,0.0,,70.0,26.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,,3.0,,,,,2.0,1.0,,1.0,,,,,,,,,,,Once Caldas,home,,,
Mateo García,mateo-garcia,M. García,M,19,178,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400,"{'value': 955000, 'currency': 'EUR'}",,,,19,False,70.0,67.0,7.0,6.0,0.0,,85.0,81.0,7.5,5.0,"{'original': 7.5, 'alternative': None}",,,,3.0,3.0,,,3.0,1.0,4.0,1.0,,,,,1.0,1.0,2.0,,,,,Once Caldas,home,,,
Jefry Zapata,jefry-zapata,J. Zapata,M,14,176,54,1478221,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949536000,"{'value': 570000, 'currency': 'EUR'}",Jefry Zapata,,,14,False,39.0,31.0,1.0,1.0,0.0,,70.0,64.0,7.6,16.0,"{'original': 7.6, 'alternative': None}",2.0,,,3.0,6.0,,3.0,2.0,,2.0,1.0,1.0,,2.0,2.0,2.0,,2.0,2.0,1.0,,,Once Caldas,home,,,
Alejandro García,alejandro-garcia,A. García,M,20,185,85,912291,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983318400,"{'value': 835000, 'currency': 'EUR'}",,,,20,False,27.0,22.0,4.0,3.0,0.0,,60.0,35.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",6.0,4.0,,2.0,,,,,1.0,3.0,,1.0,,1.0,1.0,,,,,,,,Once Caldas,home,,,
Michael Barrios,michael-barrios,M. Barrios,M,7,163,232,791545,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672192000,"{'value': 570000, 'currency': 'EUR'}",,,,7,False,20.0,16.0,2.0,1.0,0.0,,90.0,35.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",4.0,1.0,,2.0,1.0,,1.0,,,2.0,2.0,,,,1.0,,,1.0,,,2.0,,Once Caldas,home,,,
