name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,onTargetScoringAttempt,blockedScoringAttempt,totalTackle,totalOffside,keyPass,duelLost,goals,outfielderBlock,interceptionWon,fouls,aerialLost,dispossessed,shotOffTarget,challengeLost,totalContest,wonContest,accurateCross,hitWoodwork,bigChanceCreated,captain,team,teamType
James Aguirre,james-aguirre,J. Aguirre,G,12,181.0,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400,"{'value': 290000, 'currency': 'EUR'}",,,,12,False,21.0,13.0,14.0,6.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,90.0,31.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Once Caldas,home
Juan David Cuesta,juan-david-cuesta,J. D. Cuesta,D,22,174.0,31,1188964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,880070400,"{'value': 630000, 'currency': 'EUR'}",Juan David Cuesta,,,22,False,48.0,40.0,7.0,4.0,0.0,2.0,4.0,,,,,,,,90.0,64.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",3.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,Once Caldas,home
Juan Castaño,castano-zuluaga-juan-felipe,J. Castaño,D,15,181.0,19,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800,"{'value': 235000, 'currency': 'EUR'}",,,,15,False,31.0,21.0,10.0,4.0,0.0,3.0,6.0,4.0,,,,,,,90.0,44.0,7.7,10.0,"{'original': 7.7, 'alternative': None}",,1.0,,3.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,Once Caldas,home
Jerson Malagón,jerson-malagon,J. Malagón,D,3,185.0,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,27.0,20.0,5.0,3.0,0.0,2.0,4.0,6.0,1.0,,,,,,90.0,43.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",,1.0,,1.0,,,2.0,,1.0,,,1.0,1.0,1.0,,,,,,,,Once Caldas,home
Juan Patiño,juan-patino,J. Patiño,D,33,184.0,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600,"{'value': 605000, 'currency': 'EUR'}",,,,33,False,30.0,23.0,4.0,1.0,0.0,1.0,2.0,1.0,,,,,,,90.0,43.0,6.3,11.0,"{'original': 6.3, 'alternative': None}",3.0,,,,,,5.0,,,2.0,2.0,,1.0,,2.0,1.0,1.0,,,,,Once Caldas,home
Mateo García,mateo-garcia,M. García,M,19,178.0,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400,"{'value': 955000, 'currency': 'EUR'}",,,,19,False,42.0,36.0,2.0,2.0,0.0,,1.0,,1.0,,,,,,90.0,52.0,7.4,8.0,"{'original': 7.4, 'alternative': None}",1.0,2.0,1.0,,,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,Once Caldas,home
Iván Rojas,ivan-rojas,I. Rojas,M,5,177.0,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400,"{'value': 670000, 'currency': 'EUR'}",,,,5,False,17.0,16.0,4.0,4.0,0.0,,1.0,,,,,,,,60.0,19.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",,,,1.0,,,,,1.0,,,,,,,,,,,,,Once Caldas,home
Jefry Zapata,jefry-zapata,J. Zapata,M,14,176.0,54,1478221,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949536000,"{'value': 570000, 'currency': 'EUR'}",Jefry Zapata,,,14,False,25.0,22.0,1.0,1.0,0.0,,1.0,,1.0,,,,,,60.0,34.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,1.0,,,2.0,6.0,,,,,4.0,1.0,,,1.0,,,,,,Once Caldas,home
Alejandro García,alejandro-garcia,A. García,M,20,185.0,85,912291,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983318400,"{'value': 835000, 'currency': 'EUR'}",,,,20,False,24.0,19.0,3.0,1.0,0.0,,3.0,,3.0,,,,,,80.0,39.0,6.8,12.0,"{'original': 6.8, 'alternative': None}",7.0,,,,,2.0,2.0,,,,,1.0,,,,1.0,,3.0,,,,Once Caldas,home
Michael Barrios,michael-barrios,M. Barrios,M,7,163.0,244,791545,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672192000,"{'value': 570000, 'currency': 'EUR'}",,,,7,False,6.0,3.0,,,0.0,,1.0,,1.0,,,,,,37.0,10.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",3.0,,,,,,1.0,,,,1.0,,,,,,,,,,,Once Caldas,home
