name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,outfielderBlock,totalTackle,wasFouled,keyPass,onTargetScoringAttempt,interceptionWon,accurateCross,dispossessed,fouls,blockedScoringAttempt,goals,totalOffside,captain,team,teamType,goodHighClaim
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200,"{'value': 365000, 'currency': 'EUR'}",,,,30,False,23.0,18.0,9.0,4.0,0.0,4.0,1.0,4.0,1.0,90.0,33.0,7.5,5.0,"{'original': 7.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,
Jhomier Guerrero,jhomier-guerrero,J. Guerrero,D,34,170,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400,"{'value': 485000, 'currency': 'EUR'}",Jhomier Guerrero,,,34,False,34.0,28.0,5.0,3.0,0.0,3.0,,,,90.0,58.0,7.4,12.0,"{'original': 7.4, 'alternative': None}",3.0,2.0,3.0,5.0,8.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,Junior Barranquilla,home,
Christian Javier Báez,christian-javier-baez,C. J. Báez,D,66,180,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200,"{'value': 290000, 'currency': 'EUR'}",,,,66,False,44.0,36.0,14.0,7.0,0.0,6.0,,,,90.0,58.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",,1.0,2.0,1.0,4.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,Junior Barranquilla,home,
José Cuenú,jose-cuenu,J. Cuenú,D,4,192,28,1098309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792979200,"{'value': 495000, 'currency': 'EUR'}",José Cuenú,,,4,False,44.0,39.0,7.0,5.0,0.0,2.0,,,,90.0,50.0,7.4,5.0,"{'original': 7.4, 'alternative': None}",,,3.0,,5.0,,,,,,1.0,1.0,,1.0,,,,,,,,,Junior Barranquilla,home,
Jhon Navia,jhon-navia,J. Navia,D,26,180,29,1128891,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1059264000,"{'value': 340000, 'currency': 'EUR'}",Jhon Navia,,,26,False,37.0,29.0,6.0,3.0,0.0,4.0,,,,90.0,55.0,7.2,14.0,"{'original': 7.2, 'alternative': None}",1.0,,1.0,4.0,3.0,,,,,,1.0,1.0,,1.0,,1.0,1.0,3.0,,,,,Junior Barranquilla,home,
Didier Moreno,didier-moreno,D. Moreno,M,6,177,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800,"{'value': 520000, 'currency': 'EUR'}",,,,6,False,33.0,24.0,,,1.0,,,,,61.0,39.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",1.0,,,2.0,2.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,,,,Junior Barranquilla,home,
Yimmi Chará,yimmi-chara,Y. Chará,M,8,169,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400,"{'value': 410000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",8,False,32.0,27.0,3.0,2.0,0.0,,,,,85.0,44.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",2.0,2.0,,3.0,3.0,,1.0,1.0,,,2.0,,1.0,,,,1.0,,1.0,,,,Junior Barranquilla,home,
Jhon Velez,jhon-velez,J. Velez,M,13,178,108,1174853,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1059091200,"{'value': 415000, 'currency': 'EUR'}",Jhon Velez,,,13,False,37.0,35.0,1.0,1.0,0.0,1.0,,,,60.0,42.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,1.0,1.0,2.0,1.0,,,,,,,,,,,,,1.0,,,,,Junior Barranquilla,home,
Déiber Caicedo,deiber-caicedo,D. Caicedo,M,20,169,315,906010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953942400,"{'value': 1500000, 'currency': 'EUR'}",,,,20,False,8.0,8.0,,,0.0,,,,,30.0,13.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",3.0,1.0,,2.0,1.0,,,,,,1.0,,1.0,,,1.0,,1.0,,,,,Junior Barranquilla,home,
Carlos Bacca,carlos-bacca,C. Bacca,F,70,181,2209,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600,"{'value': 195000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",70,False,10.0,8.0,3.0,2.0,0.0,,,,,61.0,14.0,7.2,2.0,"{'original': 7.2, 'alternative': None}",1.0,3.0,,3.0,,,,,1.0,,,,2.0,1.0,,1.0,,,,,,True,Junior Barranquilla,home,
