name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,totalTackle,wasFouled,keyPass,aerialLost,outfielderBlock,interceptionWon,fouls,wonContest,dispossessed,onTargetScoringAttempt,shotOffTarget,totalOffside,accurateCross,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,captain,team,teamType,punches
James Aguirre,james-aguirre,J. Aguirre,G,12,181.0,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400,"{'value': 290000, 'currency': 'EUR'}",,,,12,False,24.0,13.0,13.0,2.0,0.0,1.0,2.0,6.0,2.0,2.0,90.0,37.0,7.9,11.0,"{'original': 7.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,
Juan David Cuesta,juan-david-cuesta,J. D. Cuesta,D,22,174.0,31,1188964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,880070400,"{'value': 630000, 'currency': 'EUR'}",Juan David Cuesta,,,22,False,22.0,20.0,2.0,,0.0,,,,,,90.0,39.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",4.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,Once Caldas,home,
Juan Castaño,castano-zuluaga-juan-felipe,J. Castaño,D,15,181.0,19,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800,"{'value': 235000, 'currency': 'EUR'}",,,,15,False,29.0,23.0,7.0,5.0,0.0,8.0,,,,,90.0,43.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",,2.0,5.0,4.0,3.0,,2.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,Once Caldas,home,
Jerson Malagón,jerson-malagon,J. Malagón,D,3,185.0,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,16.0,14.0,4.0,3.0,0.0,4.0,,,,,90.0,23.0,7.0,2.0,"{'original': 7, 'alternative': None}",,,3.0,,,,,,,,1.0,1.0,3.0,,,,,,,,,,,Once Caldas,home,
Juan Patiño,juan-patino,J. Patiño,D,33,184.0,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600,"{'value': 605000, 'currency': 'EUR'}",,,,33,False,20.0,16.0,6.0,4.0,0.0,1.0,,,,,45.0,28.0,7.0,6.0,"{'original': 7, 'alternative': None}",1.0,1.0,2.0,4.0,,2.0,2.0,,1.0,,,1.0,2.0,1.0,,,,,,,,,,Once Caldas,home,
Iván Rojas,ivan-rojas,I. Rojas,M,5,177.0,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400,"{'value': 670000, 'currency': 'EUR'}",,,,5,False,31.0,28.0,4.0,4.0,0.0,1.0,,,,,90.0,43.0,7.2,4.0,"{'original': 7.2, 'alternative': None}",,,6.0,6.0,3.0,1.0,6.0,,,,,3.0,2.0,,,,,,,,,,,Once Caldas,home,
Mateo García,mateo-garcia,M. García,M,19,178.0,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400,"{'value': 955000, 'currency': 'EUR'}",,,,19,False,41.0,36.0,5.0,4.0,0.0,,,,,,75.0,65.0,7.6,12.0,"{'original': 7.6, 'alternative': None}",1.0,,7.0,10.0,2.0,3.0,6.0,4.0,1.0,,,1.0,1.0,,1.0,2.0,,,,,,,,Once Caldas,home,
Luis Palacios,palacios-luis,L. Palacios,M,24,181.0,30,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800,"{'value': 370000, 'currency': 'EUR'}",,,,24,False,39.0,26.0,9.0,3.0,0.0,2.0,,,,,90.0,59.0,6.5,22.0,"{'original': 6.5, 'alternative': None}",4.0,,4.0,,,1.0,,,,2.0,,,,,1.0,,1.0,1.0,,,,,,Once Caldas,home,
Johan Esteban Beltran Montaño,johan-esteban-beltran-montano,J. E. B. Montaño,M,8,178.0,21,1099609,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,,,,,8,False,19.0,19.0,2.0,2.0,0.0,,,,,,66.0,31.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",4.0,,4.0,1.0,,1.0,,1.0,3.0,,,,1.0,,2.0,,,,,,,,,Once Caldas,home,
Michael Barrios,michael-barrios,M. Barrios,M,7,163.0,244,791545,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672192000,"{'value': 570000, 'currency': 'EUR'}",,,,7,False,26.0,19.0,,,0.0,,,,,,89.0,51.0,7.8,18.0,"{'original': 7.8, 'alternative': None}",5.0,,3.0,7.0,,5.0,2.0,3.0,3.0,,,,,2.0,,1.0,1.0,,1.0,1.0,1.0,,,Once Caldas,home,
